ostvaruju	ostvarivati	Vmr3p
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
nakon	nakon	Sg
punoljetnosti	punoljetnost	Ncfsg
d	a	Ncfsg
)	)	Z
U	u	Sl
ovršnim	ovršni	Agpmply
postupcima	postupak	Ncmpl
i	i	Cc
postupcima	postupak	Ncmpi
osiguranja	osiguranje	Ncnsg
kada	kada	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
prisilnom	prisilan	Agpnsly
ostvarenju	ostvarenje	Ncnsl
ili	ili	Cc
osiguranju	osiguranje	Ncnsl
tražbine	tražbina	Ncfsg
koja	koji	Pi-fsn
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
postupka	postupak	Ncmsg
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
prema	prema	Sl
odredbama	odredba	Ncfpl
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
može	moći	Vmr3s
odobriti	odobriti	Vmn
pravna	pravni	Agpfsny
pomoć	pomoć	Ncfsn
e	e	I
)	)	Z
Mirno	miran	Agpnsny
rješenje	rješenje	Ncnsn
spora	spor	Ncmsg
f	f	Npmsn
)	)	Z
Ostali	ostali	Agpmpny
sudski	sudski	Agpmpny
postupci	postupak	Ncmpn
(	(	Z
iznimno	iznimno	Rgp
,	,	Z
kada	kada	Cs
takva	takav	Pd-fsn
potreba	potreba	Ncfsn
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
konkretnih	konkretan	Agpfpgy
životnih	životan	Agpfpgy
okolnosti	okolnost	Ncfpg
)	)	Z
g	g	Y
)	)	Z
Stečaj	stečaj	Ncmsan
potrošača	potrošač	Ncmpg

D.	D.	Y
ODABERITE	odabrati	Vmm2p
PONUĐENI	ponuditi	Agpmsayn
OBLIK	oblik	Ncmsan
PRAVNE	pravni	Agpfsgy
POMOĆI	pomoć	Ncfsg
KOJU	koji	Pi-fsa
TRAŽITE	tražiti	Vmm2p

1.	1.	Mdo
Pravni	pravni	Agpmsny
savjet	savjet	Ncmsn
2.	2.	Mdo
Pravna	pravni	Agpfsny
pomoć	pomoć	Ncfsn
u	u	Sl
sastavljanju	sastavljanje	Ncnsl
podnesaka	podnesak	Ncmpg
u	u	Sl
postupku	postupak	Ncmsl
zaštite	zaštita	Ncfsg
prava	pravo	Ncnsg
radnika	radnik	Ncmpg
pred	pred	Si
poslodavcem	poslodavac	Ncmsi
3.	3.	Mdo
Zastupanje	zastupanje	Ncnsn
u	u	Sl
sudskim	sudski	Agpmply
postupcima	postupak	Ncmpl
4.	4.	Mdo
Pravna	pravni	Agpfsny
pomoć	pomoć	Ncfsn
u	u	Sl
mirnom	miran	Agpnsly
rješenju	rješenje	Ncnsl
spora	spor	Ncmsg

Napomena	napomena	Ncfsn
:	:	Z
Ako	ako	Cs
vam	vi	Pp2-pd
je	biti	Var3s
uz	uz	Sa
gore	zlo	Rgp
odabrani	odabrati	Appmsayn
oblik	oblik	Ncmsan
pravne	pravni	Agpfsgy
pomoći	pomoć	Ncfsg
potrebno	potreban	Agpnsny
i	i	Cc
oslobođenje	oslobođenje	Ncnsa
od	od	Sg
plaćanja	plaćanje	Ncnsg
troškova	trošak	Ncmpg
sudskog	sudski	Agpmsgy
postupka	postupak	Ncmsg
iz	iz	Sg
tablice	tablica	Ncfsg
D.	D.	Y
1.	1.	Mdo
ili	ili	Cc
oslobođenje	oslobođenje	Ncnsn
od	od	Sg
plaćanja	plaćanje	Ncnsg
sudskih	sudski	Agpfpgy
pristojbi	pristojba	Ncfpg
iz	iz	Sg
tablice	tablica	Ncfsg
D.	da	Ncfsg
2.	2.	Mdo
moguće	moguć	Agpnsny
je	biti	Var3s
odabrati	odabrati	Vmn
i	i	Qo
jedan	jedan	Mlcmsn
od	od	Sg
tih	taj	Pd-mpg
oblika	oblik	Ncmpg
pravne	pravni	Agpfsgy
pomoći	pomoć	Ncfsg
.	.	Z

D.	D.	Y
1.	1.	Mdo
Oslobođenje	oslobođenje	Ncnsn
od	od	Sg
plaćanja	plaćanje	Ncnsg
troškova	trošak	Ncmpg
sudskog	sudski	Agpmsgy
postupka	postupak	Ncmsg
D.	D.	Y
2.	2.	Mdo
Oslobođenje	oslobođenje	Ncnsn
od	od	Sg
plaćanja	plaćanje	Ncnsg
sudskih	sudski	Agpfpgy
pristojbi	pristojba	Ncfpg
D.	D.	Y
3.	3.	Mdo
Stečaj	stečaj	Ncmsn
potrošača	potrošač	Ncmpg
–	–	Z
oslobođenje	oslobođenje	Ncnsa
obveze	obveza	Ncfsg
uplate	uplata	Ncfsg
predujma	predujam	Ncmsg
troškova	trošak	Ncmpg
izvansudskog	izvansudski	Agpmsgy
postupka	postupak	Ncmsg
nad	nad	Si
potrošačem	potrošač	Ncmsi

Napomene	napomena	Ncfpn
:	:	Z
Ako	ako	Cs
zahtjev	zahtjev	Ncmsan
podnosite	podnositi	Vmr2p
za	za	Sa
oslobođenje	oslobođenje	Ncnsa
obveze	obveza	Ncfsg
uplate	uplata	Ncfsg
predujma	predujam	Ncmsg
troškova	trošak	Ncmpg
izvansudskog	izvansudski	Agpmsgy
postupka	postupak	Ncmsg
nad	nad	Si
potrošačem	potrošač	Ncmsi
(	(	Z
članak	članak	Ncmsn
15.	15.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
stečaju	stečaj	Ncmsl
potrošača	potrošač	Ncmpg
–	–	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
100/15.	100/15.	Mds
)	)	Z
odaberite	odabrati	Vmm2p
D.	D.	Y
3.	3.	Mdo

Ako	ako	Cs
zahtjev	zahtjev	Ncmsan
podnosite	podnositi	Vmr2p
za	za	Sa
oslobođenje	oslobođenje	Ncnsa
obveze	obveza	Ncfsg
uplate	uplata	Ncfsg
predujma	predujam	Ncmsg
troškova	trošak	Ncmpg
postupka	postupak	Ncmsg
stečaja	stečaj	Ncmpg
potrošača	potrošač	Ncmpg
(	(	Z
članak	članak	Ncmsn
45.	45.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
stečaju	stečaj	Ncmsl
potrošača	potrošač	Ncmpg
–	–	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
100/15.	100/15.	Mds
)	)	Z
odaberite	odabrati	Vmm2p
D.	D.	Y
1.	1.	Mdo

E.	ei	Agpnsny
ODOBRAVANJE	odobravanje	Ncnsn
PRAVNE	pravni	Agpfsgy
POMOĆI	pomoć	Ncfsg
BEZ	bez	Sg
UTVRĐIVANJA	utvrđivanje	Ncnsg
IMOVNOG	imovni	Agpnsgy
