uključujući	uključivati	Rr
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
dostavio	dostaviti	Vmp-sm
proizvođač	proizvođač	Ncmsn
,	,	Z
sve	sve	Qo
do	do	Sg
isteka	istek	Ncmsg
valjanosti	valjanost	Ncfsg
te	taj	Pd-fsg
potvrde	potvrda	Ncfsg
.	.	Z

9.	9.	Mdo
Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
primjerak	primjerak	Ncmsn
potvrde	potvrda	Ncfsg
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
,	,	Z
njezinih	njezin	Ps3mpg
priloga	prilog	Ncmpg
i	i	Cc
dodataka	dodatak	Ncmpg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
tehničkom	tehnički	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
,	,	Z
dati	dati	Vmn
na	na	Sa
uvid	uvid	Ncmsan
nadležnom	nadležan	Agpmsly
inspektoru	inspektor	Ncmsl
na	na	Sa
njegov	njegov	Ps3msan
zahtjev	zahtjev	Ncmsan
,	,	Z
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
deset	deset	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
stavljanja	stavljanje	Ncnsg
uređaja	uređaj	Ncmsg
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

10.	10.	Mdo

Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
proizvođača	proizvođač	Ncmsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Dodatka	dodatak	Ncmsg
te	te	Cc
ispuniti	ispuniti	Vmn
obveze	obveza	Ncfpa
iz	iz	Sg
točaka	točka	Ncfpg
7.	7.	Mdo
i	i	Cc
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Dodatka	dodatak	Ncmsg
,	,	Z
ako	ako	Cs
su	biti	Var3p
te	taj	Pd-fpn
obveze	obveza	Ncfpn
navedene	navesti	Appfpny
u	u	Sl
ovlaštenju	ovlaštenje	Ncnsl
.	.	Z

DODATAK	dodatak	Ncmsn
3.	3.	Mdo

MODUL	MODUL	Npmsn
C	C	Npmsn
:	:	Z
SUKLADNOST	sukladnost	Ncfsn
S	sa	Si
TIPOM	tip	Ncmsi
NA	na	Sl
TEMELJU	temelj	Ncmsl
UNUTARNJE	unutarnji	Agpfsgy
KONTROLE	kontrola	Ncfsg
PROIZVODNJE	proizvodnja	Ncfsg

1.	1.	Mdo
Sukladnost	sukladnost	Ncfsn
s	sa	Si
tipom	tip	Ncmsi
na	na	Sl
temelju	temelj	Ncmsl
unutarnje	unutarnji	Agpfsgy
kontrole	kontrola	Ncfsg
proizvodnje	proizvodnja	Ncfsg
dio	dio	Ncmsn
je	biti	Var3s
postupka	postupak	Ncmsg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
u	u	Sl
kojem	koji	Pi-msl
proizvođač	proizvođač	Ncmsn
ispunjava	ispunjavati	Vmr3s
obveze	obveza	Ncfpa
iz	iz	Sg
točaka	točka	Ncfpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
Dodatka	dodatak	Ncmsg
i	i	Cc
osigurava	osiguravati	Vmr3s
i	i	Cc
izjavljuje	izjavljivati	Vmr3s
da	da	Cs
je	biti	Var3s
proizvedeni	proizvesti	Agpmsny
uređaj	uređaj	Ncmsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tipom	tip	Ncmsi
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
izdana	izdati	Appfsny
potvrda	potvrda	Ncfsn
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
,	,	Z
te	te	Cc
da	da	Cs
ispunjava	ispunjavati	Vmr3s
mjerodavne	mjerodavan	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
taj	taj	Pd-msan
uređaj	uređaj	Ncmsan
.	.	Z

2.	2.	Mdo
Proizvodnja	proizvodnja	Ncfsn

Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
poduzeti	poduzeti	Vmn
sve	sav	Agpfpay
potrebne	potreban	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
postupkom	postupak	Ncmsi
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
njegovim	njegov	Agpnsiy
praćenjem	praćenje	Ncnsi
osigurala	osigurati	Vmp-sf
sukladnost	sukladnost	Ncfsa
proizvedenog	proizvesti	Agpmsgy
uređaja	uređaj	Ncmpg
s	sa	Si
odobrenim	odobren	Agpmsiy
tipom	tip	Ncmsi
,	,	Z
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
izdana	izdati	Appfsny
potvrda	potvrda	Ncfsn
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
,	,	Z
i	i	Cc
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
taj	taj	Pd-msan
uređaj	uređaj	Ncmsan
.	.	Z

3.	3.	Mdo
Oznaka	oznaka	Ncfsn
CE	CE	Npmsn
i	i	Cc
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl

3.1.	3.1.	Mdo

Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
staviti	staviti	Vmn
oznaku	oznaka	Ncfsa
CE	CE	Npmsan
na	na	Sa
svaki	svaki	Pi-msan
pojedinačni	pojedinačan	Agpmsayn
uređaj	uređaj	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tipom	tip	Ncmsi
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
izdana	izdati	Appfsny
potvrda	potvrda	Ncfsn
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
i	i	Cc
koji	koji	Pi-msn
ispunjava	ispunjavati	Vmr3s
mjerodavne	mjerodavan	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

3.2.	3.2.	Mdo

Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
sastaviti	sastaviti	Vmn
pisanu	pisan	Agpfsay
EU	E	Npmsd
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
za	za	Sa
svaki	svaki	Pi-msan
model	model	Ncmsan
uređaja	uređaj	Ncmpg
i	i	Cc
dati	dati	Vmn
na	na	Sa
uvid	uvid	Ncmsan
nadležnom	nadležan	Agpmsly
inspektoru	inspektor	Ncmsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovim	njegov	Agpmsiy
zahtjevom	zahtjev	Ncmsi
,	,	Z
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
deset	deset	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
stavljanja	stavljanje	Ncnsg
uređaja	uređaj	Ncmsg
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

U	u	Sl
EU	E	Npmsl
izjavi	izjava	Ncfsl
o	o	Sl
sukladnosti	sukladnost	Ncfsl
navodi	navoditi	Vmr3s
se	sebe	Px--sa
model	model	Ncmsn
uređaja	uređaj	Ncmsg
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
