USTANOVE	ustanova	Ncfpn
JAVNE	javan	Agpfsgy
VATROGASNE	vatrogasan	Agpfsgy
POSTROJBE	postrojba	Ncfsg
(	(	Z
OBVEZA	obveza	Ncfsn
OPĆINA	općina	Ncfpg
I	i	Cc
GRADOVA	grad	Ncmpg
)	)	Z
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
5	5	Mdc
6	6	Mdc
7	7	Mdc
8	8	Mdc
(	(	Z
2	2	Mdc
+	+	Z
3	3	Mdc
+	+	Z
4	4	Mdc
+	+	Z
5	5	Mdc
+	+	Z
6	6	Mdc
+	+	Z
7	7	Mdc
)	)	Z
ZAGREBAČKA	zagrebački	Agpfsny
69.004.085	69.004.085	Mdc
14.339.326	14.339.326	Mdc
5.459.750	5.459.750	Mdc
0	0	Mdc
15.644.677	15.644.677	Mdc
14.669.694	14.669.694	Mdc
119.117.532	119.117.532	Mdc
KRAPINSKO-ZAGORSKA	krapinsko-zagorski	Agpfsny
28.085.321	28.085.321	Mdc
12.307.068	12.307.068	Mdc
2.962.000	2.962.000	Mdc
0	0	Mdc
17.366.304	17.366.304	Mdc
9.302.415	9.302.415	Mdc
70.023.108	70.023.108	Mdc
SISAČKO-MOSLAVAČKA	sisačko-moslavački	Agpfsny
41.689.626	41.689.626	Mdc
13.962.513	13.962.513	Mdc
6.809.800	6.809.800	Mdc
7.783.000	7.783.000	Mdc
18.295.348	18.295.348	Mdc
12.674.362	12.674.362	Mdc
101.214.649	101.214.649	Mdc
KARLOVAČKA	karlovački	Agpfsny
29.784.261	29.784.261	Mdc
15.053.057	15.053.057	Mdc
4.351.450	4.351.450	Mdc
2.891.100	2.891.100	Mdc
13.903.406	13.903.406	Mdc
10.033.710	10.033.710	Mdc
76.016.984	76.016.984	Mdc
VARAŽDINSKA	varaždinski	Agpfsny
43.168.023	43.168.023	Mdc
22.850.817	22.850.817	Mdc
3.536.250	3.536.250	Mdc
3.941.400	3.941.400	Mdc
18.172.150	18.172.150	Mdc
6.248.228	6.248.228	Mdc
97.916.868	97.916.868	Mdc
KOPRIVNIČKO-KRIŽEVAČKA	koprivničko-križevački	Agpfsny
26.246.785	26.246.785	Mdc
10.884.414	10.884.414	Mdc
2.867.450	2.867.450	Mdc
5.535.000	5.535.000	Mdc
13.488.949	13.488.949	Mdc
10.964.874	10.964.874	Mdc
69.987.472	69.987.472	Mdc
BJELOVARSKO-BILOGORSKA	bjelovarsko-bilogorski	Agpfsny
27.200.923	27.200.923	Mdc
14.023.178	14.023.178	Mdc
3.926.500	3.926.500	Mdc
3.817.000	3.817.000	Mdc
13.331.457	13.331.457	Mdc
12.217.906	12.217.906	Mdc
74.516.964	74.516.964	Mdc
PRIMORSKO-GORANSKA	primorsko-goranski	Agpfsny
46.569.135	46.569.135	Mdc
29.755.395	29.755.395	Mdc
4.911.100	4.911.100	Mdc
10.643.000	10.643.000	Mdc
22.145.542	22.145.542	Mdc
29.012.660	29.012.660	Mdc
143.036.832	143.036.832	Mdc
LIČKO-SENJSKA	ličko-senjski	Agpfsny
16.039.981	16.039.981	Mdc
5.063.567	5.063.567	Mdc
1.715.000	1.715.000	Mdc
5.414.000	5.414.000	Mdc
8.190.143	8.190.143	Mdc
6.643.026	6.643.026	Mdc
43.065.717	43.065.717	Mdc
VIROVITIČKO-PODRAVSKA	virovitičko-podravski	Agpfsny
20.370.932	20.370.932	Mdc
8.733.232	8.733.232	Mdc
2.770.000	2.770.000	Mdc
0	0	Mdc
15.313.616	15.313.616	Mdc
5.369.092	5.369.092	Mdc
52.556.872	52.556.872	Mdc
POŽEŠKO-SLAVONSKA	požeško-slavonski	Agpfsny
20.946.868	20.946.868	Mdc
9.616.033	9.616.033	Mdc
2.590.900	2.590.900	Mdc
7.010.000	7.010.000	Mdc
9.276.334	9.276.334	Mdc
4.720.065	4.720.065	Mdc
54.160.200	54.160.200	Mdc
BRODSKO-POSAVSKA	brodsko-posavski	Agpfsny
36.014.341	36.014.341	Mdc
14.320.449	14.320.449	Mdc
4.135.500	4.135.500	Mdc
6.430.000	6.430.000	Mdc
15.333.358	15.333.358	Mdc
8.658.371	8.658.371	Mdc
84.892.019	84.892.019	Mdc
ZADARSKA	zadarski	Agpfsny
35.372.147	35.372.147	Mdc
18.953.272	18.953.272	Mdc
3.417.000	3.417.000	Mdc
6.195.800	6.195.800	Mdc
16.216.438	16.216.438	Mdc
22.621.069	22.621.069	Mdc
102.775.726	102.775.726	Mdc
OSJEČKO-BARANJSKA	osječko-baranjski	Agpfsny
61.619.765	61.619.765	Mdc
31.841.442	31.841.442	Mdc
9.655.800	9.655.800	Mdc
15.055.000	15.055.000	Mdc
20.575.571	20.575.571	Mdc
15.741.781	15.741.781	Mdc
154.489.359	154.489.359	Mdc
ŠIBENSKO-KNINSKA	šibensko-kninski	Agpfsny
22.274.835	22.274.835	Mdc
9.296.601	9.296.601	Mdc
4.850.100	4.850.100	Mdc
7.426.500	7.426.500	Mdc
15.152.389	15.152.389	Mdc
14.532.931	14.532.931	Mdc
