periodu	period	Ncmsd
od	od	Sg
17.01.2014.	17.01.2014.	Mds
g.	g.	Y
pa	pa	Cc
do	do	Sg
15.	15.	Mdo
travnja	travanj	Ncmsg
2015.	2015.	Mdo
...	...	Z

(...)	(...)	Ncfsn

...	...	Z
da	da	Cs
bi	biti	Vaa3s
sud	sud	Ncmsn
mogao	moći	Vmp-sm
donijeti	donijeti	Vmn
odluku	odluka	Ncfsa
s	sa	Si
kojim	koji	Pi-msi
od	od	Sg
roditelja	roditelj	Ncmpg
će	htjeti	Var3s
djeca	dijete	Ncnpn
nastaviti	nastaviti	Vmn
živjeti	živjeti	Vmn
,	,	Z
o	o	Sl
alimentaciji	alimentacija	Ncfsl
i	i	Cc
o	o	Sl
susretima	susret	Ncmpl
i	i	Cc
druženjima	druženje	Ncmpl
drugog	drugi	Mlomsg
roditelja	roditelj	Ncmsg
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
bilo	biti	Vap-sn
da	da	Cs
je	biti	Var3s
majka	majka	Ncfsn
tijekom	tijekom	Sg
parnice	parnica	Ncfsg
tj.	tja	Ncfsg
u	u	Sl
postupku	postupak	Ncmsl
P-259	P-259	Mdc
/	/	Z
13	13	Mdc
postavila	postaviti	Vmp-sf
takav	takav	Pd-msan
tužbeni	tužbeni	Agpmsayn
zahtjev	zahtjev	Ncmsan
.	.	Z

Budući	budući	Cs
da	da	Cs
majka	majka	Ncfsn
,	,	Z
kao	kao	Cs
protivna	protivan	Agpfsny
strana	strana	Ncfsn
to	taj	Pd-nsa
nije	biti	Var3s
učinila	učiniti	Vmp-sf
,	,	Z
sud	sud	Ncmsn
je	biti	Var3s
odlučivao	odlučivati	Vmp-sm
bez	bez	Sg
postavljenog	postavljen	Agpmsgy
tužbenog	tužbeni	Agpmsgy
zahtjeva	zahtjev	Ncmsg
,	,	Z
...	...	Z
sud	sud	Ncmsn
je	biti	Var3s
odlučio	odlučiti	Vmp-sm
temeljem	temelj	Ncmsi
‘	‘	Z
zahtjeva	zahtjev	Ncmpg
’	’	Z
o	o	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
I.	i.	Agpmsny
podnositelj	podnositelj	Ncmsn
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
nije	biti	Var3s
imao	imati	Vmp-sm
prilike	prilika	Ncfsg
očitovati	očitovati	Vmn
.	.	Z

(...)	(...)	Ncfsn

Budući	budući	Cs
da	da	Cs
je	biti	Var3s
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
sud	sud	Ncmsn
svoju	svoj	Px-fsa
odluku	odluka	Ncfsa
utemeljio	utemeljiti	Vmp-sm
upravo	upravo	Rgp
na	na	Sa
spomenutim	spomenuti	Ncfpa
(	(	Z
ne	ne	Qz
)	)	Z
prijedlozima	prijedlog	Ncmpi
/	/	Z
zahtjevima	zahtjev	Ncmpi
,	,	Z
o	o	Sl
kojima	koji	Pi-fpl
podnositelji	podnositelj	Ncmpn
nisu	biti	Var3p
imali	imati	Vmp-pm
mogućnosti	mogućnost	Ncfsg
očitovati	očitovati	Vmn
se	sebe	Px--sa
,	,	Z
da	da	Cs
je	biti	Var3s
postupak	postupak	Ncmsn
u	u	Sl
cijelosti	cijelost	Ncfsl
vođen	voditi	Appmsnn
samovoljno	samovoljno	Rgp
,	,	Z
bez	bez	Sg
poštivanja	poštivanje	Ncnsg
načela	načelo	Ncnsg
procesne	procesni	Agpfsgy
ravnopravnosti	ravnopravnost	Ncfsg
stranaka	stranka	Ncfpg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
sud	sud	Ncmsn
dopunski	dopunski	Agpmsny
odlučivao	odlučivati	Vmp-sm
bez	bez	Sg
preotvaranja	preotvaranje	Ncnsg
glavne	glavni	Agpfsgy
rasprave	rasprava	Ncfsg
,	,	Z
slijedi	slijediti	Vmr3s
da	da	Cs
je	biti	Var3s
podnositeljima	podnositelj	Ncmpd
povrijeđeno	povrijeđen	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
pošteno	pošten	Agpnsay
suđenje	suđenje	Ncnsa
...	...	Z

Podnositelji	podnositelj	Ncmpn
nadalje	nadalje	Rgp
ističu	isticati	Vmr3p
da	da	Cs
su	biti	Var3p
sudovi	sud	Ncmpn
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
postupili	postupiti	Vmp-pm
arbitrarno	arbitrarno	Rgp
tako	tako	Cs
što	što	Cs
su	biti	Var3p
primijenili	primijeniti	Vmp-pm
nepostojeći	nepostojeći	Agpmsayn
pravni	pravni	Agpmsayn
institut	institut	Ncmsan
prilikom	prilikom	Sg
uređivanja	uređivanje	Ncnsg
odnosa	odnos	Ncmpg
roditelja	roditelj	Ncmpg
i	i	Cc
djece	dijete	Ncnpg
...	...	Z

