obavljanje	obavljanje	Ncnsn
poslova	posao	Ncmpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
osobnim	osoban	Agpfpiy
iskaznicama	iskaznica	Ncfpi
nastavlja	nastavljati	Vmr3s
obavljati	obavljati	Vmn
te	taj	Pd-mpa
poslove	posao	Ncmpa
sukladno	sukladno	Rgp
danom	dan	Agpnsly
ovlaštenju	ovlaštenje	Ncnsl
do	do	Sg
donošenja	donošenje	Ncnsg
nove	nov	Agpfsgy
odluke	odluka	Ncfsg
,	,	Z
sukladno	sukladan	Agpnsny
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Članak	članak	Ncmsn
33.	33.	Mdo

Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsann
za	za	Sa
unutarnje	unutarnji	Agpmpay
poslove	posao	Ncmpa
donijet	donijeti	Vmn
će	htjeti	Var3s
pravilnik	pravilnik	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
,	,	Z
članka	članak	Ncmsg
20.	20.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
,	,	Z
članka	članak	Ncmsg
21.	21.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
članka	članak	Ncmsg
23.	23.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Članak	članak	Ncmsn
34.	34.	Mdo

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Zakon	zakon	Ncmsan
o	o	Sl
osobnoj	osoban	Agpfsly
iskaznici	iskaznica	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
11/02.	11/02.	Mds
,	,	Z
122/02.	122/02.	Mds
,	,	Z
31/06.	31/06.	Mds
i	i	Cc
68/13.	68/13.	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
35.	35.	Mdo

Ovaj	ovaj	Pd-msn
Zakon	zakon	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/15	03/15	Mdc
-	-	Z
01/56	01/56	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
29.	29.	Mdo
svibnja	svibanj	Ncmsg
2015.	2015.	Mdo

HRVATSKI	hrvatski	Agpmsny
SABOR	sabor	Ncmsn

Predsjednik	predsjednik	Ncmsn
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
Josip	Josip	Npmsn
Leko	Leko	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

