videokapsulom	videokapsul	Npmsi
(	(	Z
11	11	Mdc
)	)	Z
Ne	ne	Qz
uključuje	uključivati	Vmr3s
videokapsulu	videokapsula	Ncfsa
,	,	Z
gastroskopiju	gastroskopija	Ncfsa
,	,	Z
mrežicu	mrežica	Ncfsa
i	i	Cc
materijal	materijal	Ncmsan
za	za	Sa
vađenje	vađenje	Ncnsa
stranog	stran	Agpnsgy
tijela	tijelo	Ncnsg
(	(	Z
omča	omča	Ncfsn
ili	ili	Cc
košarica	košarica	Ncfsn
)	)	Z
.	.	Z
4,26	4,26	Mdc
937,20	937,20	Mdc
GE008	GE008	Mdc
Enteroskopija	Enteroskopi	Npmsg
single	singl	Agpmsny
ballon	ballon	Ncmsn
ili	ili	Cc
double	double	Ncmsan
ballon	ballon	Agpmsayn
videoenteroskopom	videoenteroskopom	Ncmsan
(	(	Z
15	15	Mdc
)	)	Z
61,45	61,45	Mdc
13.519,00	13.519,00	Mdc
GE009	GE009	Y
Ezofagogastroduodenoskopija	Ezofagogastroduodenoskopija	Npfsn
Nije	biti	Var3s
uključena	uključen	Agpfsny
biopsija	biopsija	Ncfsn
i	i	Cc
PHD	PHD	Npmsn
3,09	3,09	Mdc
679,80	679,80	Mdc
GE010	ge01i	Agpnsny
Postavljanje	postavljanje	Ncnsn
intragastričnog	intragastričan	Agpmsgy
balona	balon	Ncmsg
149,95	149,95	Mdc
32.989,00	32.989,00	Mdc
GE011	ge01i	Agpnsny
Vađenje	vađenje	Ncnsn
intragastričnog	intragastričan	Agpmsgy
balona	balon	Ncmsg
5,85	5,85	Mdc
1.287,00	1.287,00	Mdc
GE012	GE012	Mdc
Djelomična	djelomičan	Agpfsny
kolonoskopija	kolonoskopija	Ncfsn
Nije	biti	Var3s
uključena	uključen	Agpfsny
biopsija	biopsija	Ncfsn
i	i	Cc
PHD	PHD	Npmsn
3,68	3,68	Mdc
809,60	809,60	Mdc
GE013	GE013	Pi-fsn
Kolonoskopija	kolonoskopija	Ncfsn
totalna	totalan	Agpfsny
Nije	biti	Var3s
uključena	uključen	Agpfsny
biopsija	biopsija	Ncfsn
i	i	Cc
PHD	PHD	Npmsn
5,07	5,07	Mdc
1.115,40	1.115,40	Mdc
GE014	GE014	Pi-fsn
Kolonoskopija	kolonoskopija	Ncfsn
totalna	totalan	Agpfsny
s	sa	Si
ileoskopijom	ileoskopija	Ncfsi
Nije	biti	Var3s
uključena	uključen	Agpfsny
biopsija	biopsija	Ncfsn
i	i	Cc
PHD	PHD	Npmsn
5,41	5,41	Mdc
1.190,20	1.190,20	Mdc
GE015	GE015	Mdc
Rektoskopija	Rektoskopi	Npmsg
2,30	2,30	Mdc
506,00	506,00	Mdc
GE016	GE016	Mdc
Rektosigmoidoskopija	Rektosigmoidoskopi	Npmsg
2,99	2,99	Mdc
657,80	657,80	Mdc
GE018	GE018	Y
PEG	PEG	Npmsn
(	(	Z
15	15	Mdc
)	)	Z
Nije	biti	Var3s
uključen	uključiti	Appmsnn
EGD	EGD	Npmsn
,	,	Z
set	set	Ncmsn
za	za	Sa
perkutanu	perkutan	Agpfsay
endoskopsku	endoskopski	Agpfsay
gastrostomu	gastrostoma	Ncfsa
(	(	Z
PEG	PEG	Npmsn
)	)	Z
i	i	Cc
rad	rad	Ncmsan
anesteziologa	anesteziolog	Ncmsg
.	.	Z
3,11	3,11	Mdc
684,20	684,20	Mdc
GE019	GE019	Mdo
Dilatacija	dilatacija	Ncfsn
kod	kod	Sg
endoskopskog	endoskopski	Agpmsgy
zahvata	zahvat	Ncmsg
(	(	Z
11	11	Mdc
,	,	Z
15	15	Mdc
)	)	Z
Ne	ne	Qz
uključuje	uključivati	Vmr3s
endoskopiju	endoskopija	Ncfsa
.	.	Z

Ne	ne	Qz
uključuje	uključivati	Vmr3s
trošak	trošak	Ncmsan
ugradbenog	ugradbeni	Agpmsgy
materijala	materijal	Ncmsg
ni	ni	Cc
balon	balon	Ncmsn
dilatatora	dilatator	Ncmsg
.	.	Z
2,36	2,36	Mdc
519,20	519,20	Mdc
GE020	GE020	Mdc
Dilatacije	dilatacija	Ncfsg
malignih	maligan	Agpfpgy
stenoza	stenoza	Ncfpg
kolona	kolona	Ncfpg
balon	balon	Ncmsn
dilatatorom	dilatator	Ncmsi
ili	ili	Cc
Savaryevim	savaryev	Aspmsiy
dilatatorom	dilatator	Ncmsi
(	(	Z
11	11	Mdc
,	,	Z
15	15	Mdc
)	)	Z
Dilatacija	dilatacija	Ncfsn
ahalazije	ahalazija	Ncfsg
neekspanzivnim	neekspanzivnim	Mlomsan
balon	balon	Ncmsan
dilatatorima	dilatator	Ncmpi
,	,	Z
benignih	benigan	Agpmpgy
i	i	Cc
malignih	maligan	Agpfpgy
stenoza	stenoza	Ncfpg
jednjaka	jednjak	Ncmpg
po	po	Sl
Savaryju	Savary	Npmsl
i	i	Cc
TTS	tt	Agpmsiy
balonom	balon	Ncmsi
.	.	Z

Ne	ne	Qz
uključuje	uključivati	Vmr3s
endoskopiju	endoskopija	Ncfsa
,	,	Z
dilataciju	dilatacija	Ncfsa
,	,	Z
trošak	trošak	Ncmsan
ugradbenog	ugradbeni	Agpmsgy
materijala	materijal	Ncmsg
i	i	Cc
balon	balon	Ncmsn
dilatatora	dilatator	Ncmsg
.	.	Z
2,01	2,01	Mdc
442,20	442,20	Mdc
GE021	GE021	Mdc
Endoskopsko	endoskopski	Agpnsny
umetanje	umetanje	Ncnsn
stenta	stent	Ncmsg
u	u	Sa
jednjak	jednjak	Ncmsan
ili	ili	Cc
kolon	kolon	Ncmsan
(	(	Z
11	11	Mdc
,	,	Z
15	15	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
žicu	žica	Ncfsa
vodilicu	vodilica	Ncfsa
.	.	Z

Ne	ne	Qz
uključuje	uključivati	Vmr3s
stent	stent	Ncmsan
,	,	Z
gastroskopiju	gastroskopija	Ncfsa
i	i	Cc
radiologiju	radiologija	Ncfsa
.	.	Z
31,23	31,23	Mdc
6.870,60	6.870,60	Mdc
GE023	GE023	Pi-fsn
Biopsija	biopsija	Ncfsn
sluznice	sluznica	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
izraslina	izraslina	Ncfsn
kod	kod	Sg
endoskopije	endoskopija	Ncfsg
,	,	Z
nije	biti	Var3s
drugdje	drugdje	Rgp
navedeno	navesti	Appnsny
(	(	Z
9	9	Mdc
)	)	Z
1,65	1,65	Mdc
363,00	363,00	Mdc
GE024	GE024	Mdc
Endoskopska	endoskopski	Agpfsny
mukozektomija	mukozektomija	Ncfsn
(	(	Z
15	15	Mdc
)	)	Z
»	»	Z
Inject	Inject	Xf
,	,	Z
suck	suck	Xf
and	and	Xf
cut	cut	Xf
«	«	Z
ili	ili	Cc
»	»	Z
band	band	Ncmsn
and	and	Xf
snare	snare	Xf
«	«	Z
tehnikama	tehnika	Ncfpi
.	.	Z

Nije	biti	Var3s
uključena	uključen	Agpfsny
mukozektomija	mukozektomija	Ncfsn
pri	pri	Sl
polipektomiji	polipektomija	Ncfsl
debelog	debeo	Agpnsgy
crijeva	crijevo	Ncnsg
klasičnim	klasičan	Agpfpiy
omčama	omča	Ncfpi
.	.	Z

Nije	biti	Var3s
uključena	uključen	Agpfsny
endoskopska	endoskopski	Agpfsny
pretraga	pretraga	Ncfsn
(	(	Z
ili	ili	Cc
kolon	kolon	Ncmsn
ili	ili	Cc
gastro	gastro	Agpmsly
)	)	Z
,	,	Z
nisu	biti	Var3p
uključeni	uključen	Agpmpny
materijali	materijal	Ncmpn
set	set	Ncmsan
za	za	Sa
ligaciju	ligacija	Ncfsa
,	,	Z
omča	omča	Ncfsn
(	(	Z
band	band	Ncmsn
and	and	Xf
snare	snare	Xf
)	)	Z
,	,	Z
ili	ili	Cc
tehnika	tehnika	Ncfsn
(	(	Z
Inject	Inject	Npmsn
,	,	Z
suck	suck	Xf
and	and	Xf
cut	cut	Xf
)	)	Z
–	–	Z
igla	igla	Ncfsn
za	za	Sa
sklerozaciju	sklerozacija	Ncfsa
,	,	Z
adrenalin	adrenalin	Ncmsan
,	,	Z
metilensko	metilenski	Agpnsny
modrilo	modrilo	Ncnsn
,	,	Z
omča	omča	Ncfsn
,	,	Z
klipsa	klipsati	Vmr3s
.	.	Z
4,51	4,51	Mdc
992,20	992,20	Mdc
GE026	GE026	Mdc
Abdominalna	abdominalan	Agpfsny
punkcija	punkcija	Ncfsn
s	sa	Si
evakuacijom	evakuacija	Ncfsi
ascitesa	ascites	Ncmsg
4,43	4,43	Mdc
974,60	974,60	Mdc
GE028	GE028	Mdc
Litotripsija	Litotripsi	Npmsg
žučnih	žučan	Agpmpgy
kamenaca	kamenac	Ncmpg
(	(	Z
15	15	Mdc
)	)	Z
Nije	biti	Var3s
uključen	uključiti	Appmsnn
ERCP	ERCP	Npmsn
,	,	Z
radiološko	radiološki	Agpnsny
praćenje	praćenje	Ncnsn
1,54	1,54	Mdc
338,80	338,80	Mdc
GE029	GE029	Mdc
13	13	Mdc
C-Urea	C-Ure	Npmsg
izdisajni	izdisajan	Agpmsny
test	test	Ncmsn
za	za	Sa
određivanje	određivanje	Ncnsa
H.	ha	Ncfsg
Pylori	pylor	Aspmsgn
statusa	status	Ncmsg
2,41	2,41	Mdc
530,20	530,20	Mdc
GE030	GE030	Mdc
Endoskopsko	endoskopski	Agpnsny
zaustavljanje	zaustavljanje	Ncnsn
krvarenja	krvarenje	Ncnsg
elektrokoagulacijom	elektrokoagulacija	Ncfsi
ili	ili	Cc
upotrebom	upotreba	Agpfsny
elektroda	elektroda	Ncfsn
(	(	Z
11	11	Mdc
,	,	Z
15	15	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
EGD	egd	Ncmsan
,	,	Z
kolonoskopiju	kolonoskopija	Ncfsa
.	.	Z

Ne	ne	Qz
uključuje	uključivati	Vmr3s
iglu	igla	Ncfsa
za	za	Sa
sklerozaciju	sklerozacija	Ncfsa
,	,	Z
polidokanol	polidokanol	Ncmsan
,	,	Z
APC	APC	Npmsn
sondu	sonda	Ncfsa
,	,	Z
klipse	klips	Ncmpa
,	,	Z
fibrinsko	fibrinski	Agpnsay
ljepilo	ljepilo	Ncnsa
,	,	Z
histroakril	histroakril	Pi3n-n
i	i	Cc
materijal	materijal	Ncmsan
za	za	Sa
termalnu	termalan	Agpfsay
