su	biti	Var3p
:	:	Z

–		Agpfpgy
kategorija	kategorija	Ncfpg
I	i	Cc

Modul	modul	Ncmsn
A	a	Cc

–		Agpfpgy
kategorija	kategorija	Ncfpg
II	ii	Mrc

Modul	modul	Ncmsn
A1	A1	Xf

Modul	modul	Ncmsn
D1	D1	X

Modul	modul	Ncmsn
E1	E1	X

–		Agpfpgy
kategorija	kategorija	Ncfpg
III	III	Mrc

Modul	modul	Ncmsn
B1	B1	X
+	+	Z
D	D	X

Modul	modul	Ncmsn
B1	B1	X
+	+	Z
F	F	X

Modul	modul	Ncmsn
B	b	X
+	+	Z
E	e	I

Modul	modul	Ncmsn
B	b	X
+	+	Z
C1	C1	Xf

Modul	modul	Ncmsn
H	h	Y

–		Agpfpgy
kategorija	kategorija	Ncfpg
IV	IV	Mrc

Modul	modul	Ncmsn
B	b	X
+	+	Z
D	D	X

Modul	modul	Ncmsn
B	b	Y
+	+	Z
F	F	X

Modul	modul	Ncmsn
G	g	X

Modul	modul	Ncmsn
H1	H1	X

1.4.	1.4.	Mdo

Tlačna	tlačni	Agpfsny
se	sebe	Px--sa
oprema	oprema	Ncfsn
podvrgava	podvrgavati	Vmr3s
jednom	jedan	Mlcmsl
od	od	Sg
postupaka	postupak	Ncmpg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
za	za	Sa
kojeg	koji	Pi-msg
se	sebe	Px--sa
proizvođač	proizvođač	Ncmsn
opredijelio	opredijeliti	Vmp-sm
između	između	Sg
onih	onaj	Pd-mpg
predviđenih	predvidjeti	Appmpgy
za	za	Sa
kategoriju	kategorija	Ncfsa
u	u	Sa
koju	koji	Pi-fsa
je	biti	Var3s
oprema	oprema	Ncfsn
klasificirana	klasificirati	Appfsny
.	.	Z

Proizvođač	proizvođač	Ncmsn
može	moći	Vmr3s
također	također	Rgp
primijeniti	primijeniti	Vmn
i	i	Cc
postupak	postupak	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
višu	visok	Agpfsay
kategoriju	kategorija	Ncfsa
ako	ako	Cs
ona	on	Pp3fsn
postoji	postojati	Vmr3s
.	.	Z

1.5.	1.5.	Mdo

U	u	Sl
okviru	okvir	Ncmsl
postupaka	postupak	Ncmpg
osiguranja	osiguranje	Ncnsg
kvalitete	kvaliteta	Ncfsg
za	za	Sa
opremu	oprema	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.1.	1.1.	Mds
(	(	Z
a	a	Cc
)	)	Z
,	,	Z
prve	prvi	Mlofsg
alineje	alineja	Ncfsg
točke	točka	Ncfsg
1.1.	1.1.	Mds
(	(	Z
b	b	X
)	)	Z
i	i	Cc
