12.	12.	Mdo
tjednu	tjedan	Ncmsl
,	,	Z
vrši	vršiti	Vmr3s
se	sebe	Px--sa
provjera	provjera	Ncfsn
HCV	HCV	Npmsn
RNA	RNA	Npmsn
PCR	PCR	Npmsn
nakon	nakon	Sg
24	24	Mdc
tjedna	tjedan	Ncmsg
terapije	terapija	Ncfsg
i	i	Cc
prekida	prekid	Ncmsg
ukoliko	ukoliko	Cs
je	biti	Var3s
viremija	viremija	Ncfsn
prisutna	prisutan	Agpfsny
.	.	Z

2.	2.	Mdo
Bolesnici	bolesnik	Ncmpn
s	sa	Si
genotipom	genotip	Ncmsi
1	1	Mdc
i	i	Cc
4	4	Mdc
i	i	Cc
viremijom	viremija	Ncfsi
manjom	mali	Agcfsiy
od	od	Sg
600000	600000	Mdc
IU	IU	Y
/	/	Z
ml	ml	Cc
liječe	liječiti	Vmr3p
se	sebe	Px--sa
24	24	Mdc
tjedna	tjedan	Ncmsg
.	.	Z

Primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
pegilirani	pegiliran	Agpmsny
interferon	interferon	Ncmsn
alfa-2a	alfa-2	Ncmpg
u	u	Sl
dozi	doza	Ncfsl
od	od	Sg
180	180	Mdc
mcg	mcg	Ncfpg
1	1	Mdc
x	X	Cc
tjedno	tjedno	Rgp
uz	uz	Sa
ribavirin	ribavirin	Ncfsa
800	800	Mdc
do	do	Sg
1400	1400	Mdc
mg	mg	Y
ovisno	ovisno	Rgp
o	o	Sl
TT	T	Npmsl
podjeljeno	podjeljena	Ncfsl
u	u	Sa
dvije	dva	Mlcf-a
dnevne	dnevni	Agpfsgy
doze	doza	Ncfsg
.	.	Z

Provjera	provjera	Ncfsn
viremije	viremija	Ncfsg
nakon	nakon	Sg
4	4	Mdc
tjedna	tjedan	Ncmsg
terapije	terapija	Ncfsg
(	(	Z
RVR	RVR	Npmsn
)	)	Z
kod	kod	Sg
bolesnika	bolesnik	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
tada	tada	Rgp
HCV	HCV	Npfsn
RNA	RNA	Npfsn
