Jantarna	jantarni	Agpfsny
rotacijska	rotacijski	Agpfsny
i	i	Cc
/	/	Z
ili	ili	Cc
treptava	treptav	Agpfpny
svjetla	svjetlo	Ncnpn
mogu	moći	Vmr3p
biti	biti	Van
postavljena	postaviti	Appfsny
na	na	Sl
osobnim	osoban	Agpmply
i	i	Cc
teretnim	teretan	Agpmply
automobilima	automobil	Ncmpi
službe	služba	Ncfsg
pomoći	pomoć	Ncfsg
i	i	Cc
informacija	informacija	Ncfpg
na	na	Sl
cesti	cesta	Ncfsl
,	,	Z
službe	služba	Ncfpn
održavanja	održavanje	Ncnsg
cesta	cesta	Ncfpg
,	,	Z
komunalne	komunalan	Agpfpny
službe	služba	Ncfpn
,	,	Z
službe	služba	Ncfsg
pratnje	pratnja	Ncfsg
vozila	vozilo	Ncnsg
za	za	Sa
izvanredne	izvanredan	Agpmpay
prijevoze	prijevoz	Ncmpa
,	,	Z
vozilima	vozilo	Ncnpi
kojima	koji	Pi-fpi
se	sebe	Px--sa
prevoze	prevoziti	Vmr3p
izvanredni	izvanredan	Agpmpny
tereti	teret	Ncmpn
,	,	Z
službe	služba	Ncfpn
pratnje	pratnja	Ncfsg
vozila	vozilo	Ncnsg
koje	koji	Pi-fpn
prevoze	prevoziti	Vmr3p
opasne	opasan	Agpfpny
tvari	tvar	Ncfpn
,	,	Z
vozilima	vozilo	Ncnpi
kojima	koji	Pi-fpi
se	sebe	Px--sa
prevoze	prevoziti	Vmr3p
opasne	opasan	Agpfpny
tvari	tvar	Ncfpn
i	i	Cc
vozilima	vozilo	Ncmpg
na	na	Sl
kojima	koji	Ncmpl
se	sebe	Px--sa
ili	ili	Cc
pomoću	pomoć	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
ispitivanje	ispitivanje	Ncnsa
na	na	Sl
cesti	cesta	Ncfsl
i	i	Cc
sl.	sl.	Y

Članak	članak	Ncmsn
43.	43.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sl
motornim	motoran	Agpnply
vozilima	vozilo	Ncnpl
moraju	morati	Vmr3p
biti	biti	Van
ugrađena	ugraditi	Appfsny
dva	dva	Mlc
stražnja	stražnji	Agpmsgn
netrokutasta	netrokutast	Ncmsg
katadioptera	katadiopter	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dodatni	dodatan	Agpmpny
katadiopterski	katadiopterski	Agpmpny
uređaji	uređaj	Ncmpn
i	i	Cc
materijali	materijal	Ncmpn
mogu	moći	Vmr3p
se	sebe	Px--sa
ugrađivati	ugrađivati	Vmn
na	na	Sa
motorno	motoran	Agpnsay
vozilo	vozilo	Ncnsa
samo	samo	Rgp
ako	ako	Cs
ne	ne	Qz
oslabljuju	oslabljivati	Vmr3p
učinkovitost	učinkovitost	Ncfsa
obvezatnih	obvezatan	Agpmpgy
uređaja	uređaj	Ncmpg
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Vanjski	vanjski	Agpmsny
rub	rub	Ncmsn
prividne	prividan	Agpfsgy
površine	površina	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
udaljen	udaljiti	Appmsnn
više	mnogo	Rgc
od	od	Sg
400	400	Mdc
mm	mm	Y
od	od	Sg
krajnjega	krajnji	Agpmsgy
vanjskog	vanjski	Agpmsgy
ruba	rub	Ncmsg
vozila	vozilo	Ncnpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Udaljenost	udaljenost	Ncfsn
između	između	Sg
unutarnjih	unutarnji	Agpmpgy
rubova	rub	Ncmpg
prividnih	prividan	Agpfpgy
površina	površina	Ncfpg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
manja	mali	Agcfsny
od	od	Sg
600	600	Mdc
mm	mm	Y
,	,	Z
osim	osim	Sg
za	za	Sa
vozila	vozilo	Ncnpa
kategorije	kategorija	Ncfpa
M1	M1	Pi-fpa
i	i	Cc
N1	ni	Agpnsny
.	.	Z

Udaljenost	udaljenost	Ncfsn
može	moći	Vmr3s
biti	biti	Van
smanjena	smanjiti	Appfsny
na	na	Sa
400	400	Mdc
mm	mm	Y
ako	ako	Cs
je	biti	Var3s
sveukupna	sveukupan	Agpfsny
širina	širina	Ncfsn
vozila	voziti	Vmp-sf
manja	mali	Agcfsny
od	od	Sg
1300	1300	Mdc
mm	mm	Y
.	.	Z

