njegovom	njegov	Ps3msl
izboru	izbor	Ncmsl
,	,	Z
dati	dati	Vmn
odgovarajući	odgovarajući	Agpmsayn
listić	listić	Ncmsan
i	i	Cc
omogućiti	omogućiti	Vmn
mu	on	Pp3msd
glasovanje	glasovanje	Ncnsa
,	,	Z
vodeći	vodeći	Agpmsny
računa	računati	Vmr3s
o	o	Sl
tajnosti	tajnost	Ncfsl
glasovanja	glasovanje	Ncnsg
.	.	Z

Pri	pri	Sl
tome	taj	Pd-nsl
će	htjeti	Var3s
birač	birač	Ncmsn
nakon	nakon	Sg
glasovanja	glasovanje	Ncnsg
sam	biti	Var1s
presaviti	presaviti	Vmn
glasački	glasački	Agpmsayn
listić	listić	Ncmsan
,	,	Z
(	(	Z
tako	tako	Cs
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
zaštite	zaštita	Ncfsg
prava	pravo	Ncnsg
tajnosti	tajnost	Ncfsg
glasovanja	glasovanje	Ncnsg
ne	ne	Qz
vidi	vidjeti	Vmr3s
kako	kako	Cs
je	biti	Var3s
birač	birač	Ncmsn
popunio	popuniti	Vmp-sm
glasački	glasački	Agpmsayn
listić	listić	Ncmsan
)	)	Z
,	,	Z
potom	potom	Rgp
će	htjeti	Var3s
takav	takav	Pd-msn
glasački	glasački	Agpmsny
listić	listić	Ncmsn
staviti	staviti	Vmn
u	u	Sa
zasebnu	zaseban	Agpfsay
omotnicu	omotnica	Ncfsa
(	(	Z
kuvertu	kuverta	Ncfsa
)	)	Z
i	i	Cc
zatvoriti	zatvoriti	Vmn
je	biti	Var3s
u	u	Sl
prisutnosti	prisutnost	Ncfsl
članova	član	Ncmpg
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
.	.	Z

Na	na	Sa
omotnicu	omotnica	Ncfsa
s	sa	Si
glasačkim	glasački	Agpmsiy
listićem	listić	Ncmsi
upisat	upisati	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
izbornu	izborni	Agpfsay
jedinicu	jedinica	Ncfsa
(	(	Z
izbornu	izborni	Agpfsay
jedinicu	jedinica	Ncfsa
prema	prema	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
ili	ili	Cc
za	za	Sa
XII	XII	Npmsan
.	.	Z
izbornu	izborni	Agpfsay
jedinicu	jedinica	Ncfsa
)	)	Z
birač	birač	Ncmsn
glasovao	glasovati	Vmp-sm
.	.	Z

Članovi	član	Ncmpn
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
će	htjeti	Var3s
po	po	Sl
povratku	povratak	Ncmsl
na	na	Sa
biračko	birački	Agpnsay
mjesto	mjesto	Ncnsa
,	,	Z
predati	predati	Vmn
omotnicu	omotnica	Ncfsa
predsjedniku	predsjednik	Ncmsd
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
koji	koji	Pi-msn
će	htjeti	Var3s
izvaditi	izvaditi	Vmn
presavijeni	presavijen	Agpmsayn
glasački	glasački	Agpmsayn
listić	listić	Ncmsan
iz	iz	Sg
omotnice	omotnica	Ncfsg
i	i	Cc
odmah	odmah	Rgp
bez	bez	Sg
pregledavanja	pregledavanje	Ncnsg
,	,	Z
presavijeni	presavijen	Agpmsayn
glasački	glasački	Agpmsayn
listić	listić	Ncmsan
ubaciti	ubaciti	Vmn
u	u	Sa
odgovarajuću	odgovarajući	Agpfsay
glasačku	glasački	Agpfsay
kutiju	kutija	Ncfsa
,	,	Z
a	a	Cc
preostale	preostao	Agpmpay
neiskorištene	neiskorišten	Agpmpay
glasačke	glasački	Agpmpay
listiće	listić	Ncmpa
će	htjeti	Var3s
priložiti	priložiti	Vmn
uz	uz	Sa
ostale	ostali	Agpmpay
neiskorištene	neiskorišten	Agpmpay
glasačke	glasački	Agpmpay
listiće	listić	Ncmpa
na	na	Sl
tom	taj	Pd-nsl
biračkom	birački	Agpnsly
mjestu	mjesto	Ncnsl
.	.	Z

Predsjednik	predsjednik	Ncmsn
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
ili	ili	Cc
osoba	osoba	Ncfsn
koju	koji	Pi-fsa
on	on	Pp3msn
odredi	odrediti	Vmr3s
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
na	na	Sa
izvadku	izvadka	Ncfsa
iz	iz	Sg
popisa	popis	Ncmsg
birača	birač	Ncmpg
zaokružiti	zaokružiti	Vmn
redni	redni	Agpmsayn
broj	broj	Ncmsan
ispred	ispred	Sg
imena	ime	Ncnsg
i	i	Cc
prezimena	prezime	Ncnsg
birača	birač	Ncmpg
koji	koji	Pi-msn
je	biti	Var3s
glasovao	glasovati	Vmp-sm
na	na	Sa
opisani	opisati	Agpmsayn
način	način	Ncmsan
.	.	Z

Prilikom	prilikom	Sg
zaokruživanja	zaokruživanje	Ncnsg
rednog	redni	Agpmsgy
broja	broj	Ncmsg
ispred	ispred	Sg
imena	ime	Ncnsg
i	i	Cc
prezimena	prezime	Ncnsg
birača	birač	Ncmpg
koji	koji	Pi-msn
je	biti	Var3s
glasovao	glasovati	Vmp-sm
izvan	izvan	Sg
biračkog	birački	Agpnsgy
mjesta	mjesto	Ncnsg
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
