korisnicima	korisnik	Ncmpd
proračuna	proračun	Ncmsg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Ministarstva	ministarstvo	Ncnsg
.	.	Z

Služba	služba	Ncfsn
procjenjuje	procjenjivati	Vmr3s
sustave	sustav	Ncmpa
,	,	Z
procese	proces	Ncmpa
i	i	Cc
sustav	sustav	Ncmsn
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
na	na	Sl
temelju	temelj	Ncmsl
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
,	,	Z
provodi	provoditi	Vmr3s
unutarnje	unutarnji	Agpfpay
revizije	revizija	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
najboljom	dobar	Agpfsiy
strukovnom	strukovni	Agpfsiy
praksom	praksa	Ncfsi
i	i	Cc
standardima	standard	Ncmpi
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
usklađenim	uskladiti	Appmply
s	sa	Si
Međunarodnim	međunarodni	Agpmpiy
standardima	standard	Ncmpi
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
i	i	Cc
kodeksom	kodeks	Ncmsi
strukovne	strukovni	Agpfsgy
etike	etika	Ncfsg
unutarnjih	unutarnji	Agpmpgy
revizora	revizor	Ncmpg
,	,	Z
testira	testirati	Vmr3s
,	,	Z
analizira	analizirati	Vmr3s
i	i	Cc
ocjenjuje	ocjenjivati	Vmr3s
sve	sav	Agpfpay
poslovne	poslovan	Agpfpay
funkcije	funkcija	Ncfpa
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Ministarstva	ministarstvo	Ncnsg
,	,	Z
obavlja	obavljati	Vmr3s
revizije	revizija	Ncfpa
informacijskih	informacijski	Agpmpgy
sustava	sustav	Ncmpg
,	,	Z
financijske	financijski	Agpfsgy
revizije	revizija	Ncfsg
i	i	Cc
revizije	revizija	Ncfsg
uspješnosti	uspješnost	Ncfsg
poslovanja	poslovanje	Ncnsg
i	i	Cc
daje	davati	Vmr3s
preporuke	preporuka	Ncfpa
ministru	ministar	Ncmsd
u	u	Sa
svrhu	svrha	Ncfsa
postizanja	postizanje	Ncnsg
veće	velik	Agcfsgy
učinkovitosti	učinkovitost	Ncfsg
i	i	Cc
djelotvornosti	djelotvornost	Ncfsg
sustava	sustav	Ncmsg
,	,	Z
izrađuje	izrađivati	Vmr3s
strateške	strateški	Agpfpay
i	i	Cc
godišnje	godišnje	Rgp
planove	plan	Ncmpa
revizije	revizija	Ncfsg
,	,	Z
obavlja	obavljati	Vmr3s
posebne	poseban	Agpfpay
revizije	revizija	Ncfpa
na	na	Sa
zahtjev	zahtjev	Ncmsan
ministra	ministar	Ncmsg
ili	ili	Cc
prema	prema	Sl
potrebi	potreba	Ncfsl
,	,	Z
obavlja	obavljati	Vmr3s
reviziju	revizija	Ncfsa
o	o	Sl
korištenju	korištenje	Ncnsl
sredstava	sredstvo	Ncnpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
drugih	drugi	Mlofpg
međunarodnih	međunarodni	Agpfpgy
organizacija	organizacija	Ncfpg
i	i	Cc
institucija	institucija	Ncfpg
,	,	Z
izrađuje	izrađivati	Vmr3s
izvješća	izvješće	Ncnsg
o	o	Sl
obavljenoj	obaviti	Agpfsly
unutarnjoj	unutarnji	Agpfsly
reviziji	revizija	Ncfsl
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
ministru	ministar	Ncmsd
,	,	Z
prati	pratiti	Vmr3s
provedbe	provedba	Ncfpa
preporuka	preporuka	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
izvješćima	izvješće	Ncnpl
iz	iz	Sg
prethodno	prethodno	Rgp
obavljenih	obaviti	Agpfpgy
revizija	revizija	Ncfpg
,	,	Z
izrađuje	izrađivati	Vmr3s
periodična	periodičan	Agpfsny
i	i	Cc
godišnja	godišnji	Agpnpay
