razdoblja	razdoblje	Ncnpn
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
44.	44.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
Delegirane	delegiran	Agpfpay
uredbe	uredba	Ncfpa
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
639/2014.	639/2014.	Mds

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
godine	godina	Ncfsg
kada	kada	Cs
je	biti	Var3s
nacionalni	nacionalan	Agpmsny
omjer	omjer	Ncmsn
smanjen	smanjiti	Appmsnn
za	za	Sa
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
%	%	Z
obavještava	obavještavati	Vmr3s
poljoprivrednike	poljoprivrednik	Ncmpa
koji	koji	Pi-mpn
podliježu	podlijegati	Vmr3p
obvezi	obveza	Ncfsd
prenamjene	prenamjena	Ncfsg
i	i	Cc
o	o	Sl
pravilima	pravilo	Ncnpl
sprječavanja	sprječavanje	Ncnsg
novih	nov	Agpfpgy
prenamjena	prenamjena	Ncfpg
trajnih	trajan	Agpmpgy
travnjaka	travnjak	Ncmpg
.	.	Z

Obveza	obveza	Ncfsn
prenamjene	prenamjena	Ncfsg
mora	morati	Vmr3s
se	sebe	Px--sa
ispuniti	ispuniti	Vmn
prije	prije	Sg
zadnjeg	zadnji	Agpmsgy
dana	dan	Ncmsg
roka	rok	Ncmsg
za	za	Sa
zakašnjele	zakašnjeli	Agpmpay
zahtjeve	zahtjev	Ncmpa
za	za	Sa
slijedeću	slijedeći	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Okolišno-osjetljivi	okolišno-osjetljiv	Agpmpny
travnjaci	travnjak	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
