unatoč	unatoč	Sd
tome	taj	Pd-nsd
što	što	Pi3n-n
je	biti	Var3s
evidentno	evidentan	Agpnsny
da	da	Cs
ni	ni	Qz
jedan	jedan	Mlcmsn
niti	niti	Cc
drugi	drugi	Mlomsn
operator	operator	Ncmsn
nisu	biti	Var3p
postupali	postupati	Vmp-pm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
Zakona	Zakon	Npmsg
i	i	Cc
Pravilnika	pravilnik	Ncmsg
budući	budući	Cs
da	da	Cs
je	biti	Var3s
najprije	najprije	Rgp
Tele2	Tele2	Mdc
blokirao	blokirati	Vmp-sm
prijenos	prijenos	Ncmsan
brojeva	broj	Ncmpg
,	,	Z
iako	iako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
ostvario	ostvariti	Vmp-sm
prvi	prvi	Mlomsan
poziv	poziv	Ncmsan
,	,	Z
a	a	Cc
potom	potom	Rgp
ga	on	Pp3msa
ovdje	ovdje	Rgp
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
nije	biti	Var3s
izvijestila	izvijestiti	Vmp-sf
da	da	Cs
je	biti	Var3s
prijenos	prijenos	Ncmsn
brojeva	broj	Ncmpg
onemogućio	onemogućiti	Vmp-sm
davatelj	davatelj	Ncmsn
broja	broj	Ncmsg
Tele2	Tele2	Npmsn
.	.	Z

Vezano	vezano	Rgp
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
preostala	preostao	Agpmsgn
tri	tri	Mlc
broja	broj	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
podnio	podnijeti	Vmp-sm
29.	29.	Mdo
travnja	travanj	Ncmsg
2013.	2013.	Mdo
,	,	Z
a	a	Cc
u	u	Sl
kojem	koji	Pi-msl
zahtjevu	zahtjev	Ncmsl
da	da	Cs
je	biti	Var3s
zaposlenica	zaposlenica	Ncfsn
Konzuma	konzum	Ncmsg
samovoljno	samovoljno	Rgp
navela	navesti	Vmp-sf
7.	7.	Mdo
svibnja	svibanj	Ncmsg
2013.	2013.	Mdo
kao	kao	Cs
novi	nov	Agpmsayn
datum	datum	Ncmsan
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
,	,	Z
tužitelj	tužitelj	Ncmsn
u	u	Sl
cijelosti	cijelost	Ncfsl
ustraje	ustrajati	Vmr3s
kod	kod	Sg
navoda	navod	Ncmsg
iz	iz	Sg
tužbe	tužba	Ncfsg
predloživši	predložiti	Rr
da	da	Cs
se	sebe	Px--sa
poništi	poništiti	Vmr3s
osporavano	osporavati	Agpnsny
rješenje	rješenje	Ncnsn
tuženika	tuženik	Ncmpg
i	i	Cc
predmet	predmet	Ncmsn
vrati	vratiti	Vmr3s
tuženiku	tuženik	Ncmsd
na	na	Sa
ponovan	ponovan	Agpmsann
postupak	postupak	Ncmsan
.	.	Z

U	u	Sl
podnesku	podnesak	Ncmsl
zaprimljenom	zaprimiti	Appmsly
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
20.	20.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
tuženik	tuženik	Ncmsn
je	biti	Var3s
ispričao	ispričati	Vmp-sm
izostanak	izostanak	Ncmsan
s	sa	Sg
ročišta	ročište	Ncnsg
zakazanog	zakazati	Appnsgy
za	za	Sa
27.	27.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
,	,	Z
uz	uz	Sa
obrazloženje	obrazloženje	Ncnsa
da	da	Cs
zbog	zbog	Sg
organizacijskih	organizacijski	Agpmpgy
razloga	razlog	Ncmpg
nije	biti	Var3s
u	u	Sl
mogućnosti	mogućnost	Ncfsl
pristupiti	pristupiti	Vmn
na	na	Sa
zakazanu	zakazan	Agpfsay
raspravu	rasprava	Ncfsa
,	,	Z
zbog	zbog	Sg
čega	što	Pi3n-g
je	biti	Var3s
predložio	predložiti	Vmp-sm
da	da	Cs
se	sebe	Px--sa
rasprava	rasprava	Ncfsn
održi	održati	Vmr3s
u	u	Sl
njegovoj	njegov	Ps3fsl
odsutnosti	odsutnost	Ncfsl
.	.	Z

U	u	Sl
ovom	ovaj	Pd-msl
upravnom	upravan	Agpmsly
sporu	spor	Ncmsl
održano	održati	Appnsny
je	biti	Var3s
ročište	ročište	Ncnsn
27.	27.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
u	u	Sl
prisutnosti	prisutnost	Ncfsl
tužitelja	tužitelj	Ncmsg
,	,	Z
a	a	Cc
u	u	Sl
odsutnosti	odsutnost	Ncfsl
uredno	uredno	Rgp
pozvanog	pozvan	Agpmsgy
tuženika	tuženik	Ncmsg
i	i	Cc
zainteresirane	zainteresiran	Agpfpay
osobe	osoba	Ncfpa
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
39.	39.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
37.	37.	Mdo
stavkom	stavka	Ncfsi
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
20/10	20/10	Mdc
,	,	Z
143/12	143/12	Mdc
i	i	Cc
152/14	152/14	Mdc
,	,	Z
u	u	Sl
nastavku	nastavak	Ncmsl
teksta	tekst	Ncmsg
ZUS	ZUS	Npmsn
)	)	Z
te	te	Cc
je	biti	Var3s
strankama	stranka	Ncfpi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
6.	6.	Mdo
ZUS-a	ZUS	Npmsg
dana	dan	Ncmsg
mogućnost	mogućnost	Ncfsn
izjasniti	izjasniti	Vmn
se	sebe	Px--sa
o	o	Sl
zahtjevima	zahtjev	Ncmpl
i	i	Cc
navodima	navod	Ncmpl
drugih	drugi	Mlofpg
