HADŽIM	hadžii	Agpnsny
,	,	Z
KREŠO	KREŠO	Npmsn
MP	MP	Npmsn
TORPEDO	TORPEDO	Npmsn
311	311	Mdc
C	C	Y
105.866,28	105.866,28	Mdc
13.485,62	13.485,62	Mdc
135.409,61	135.409,61	Mdc
0,00	0,00	Mdc
0,00	0,00	Mdc
254.761,51	254.761,51	Mdc
406	406	Mdc
5810090085	5810090085	Mdc
BIČANIĆ	BIČANIĆ	Npfsg
,	,	Z
TADIJA	TADIJA	Npfsn
MP	MP	Npmsn
TORPEDO	TORPEDO	Npmsn
312	312	Mdc
C	C	Y
72.059,66	72.059,66	Mdc
9.170,52	9.170,52	Mdc
95.545,32	95.545,32	Mdc
0,00	0,00	Mdc
0,00	0,00	Mdc
176.775,50	176.775,50	Mdc
407	407	Mdc
5810092148	5810092148	Mdc
MUŽA	muž	Ncmpg
,	,	Z
STJEPAN	Stjepan	Npmsn
MP	MP	Npmsn
TORPEDO	TORPEDO	Npmsn
313	313	Mdc
C	C	Y
99.412,64	99.412,64	Mdc
12.660,04	12.660,04	Mdc
126.417,65	126.417,65	Mdc
0,00	0,00	Mdc
0,00	0,00	Mdc
238.490,34	238.490,34	Mdc
408	408	Mdc
5810088437	5810088437	Mdc
BALENOVIĆ	BALENOVIĆ	Npfsg
,	,	Z
STIPICA	STIPICA	Npfsn
MP	MP	Npmsn
TORPEDO	TORPEDO	Npmsn
314	314	Mdc
C	C	Y
100.308,71	100.308,71	Mdc
12.771,31	12.771,31	Mdc
126.083,52	126.083,52	Mdc
0,00	0,00	Mdc
0,00	0,00	Mdc
239.163,54	239.163,54	Mdc
409	409	Mdc
5810080813	5810080813	Mdc
KOVAČ	kovač	Ncmsn
,	,	Z
DRAŽEN	dražiti	Appmsnn
MP	MP	Npmsn
TORPEDO	TORPEDO	Npmsn
315	315	Mdc
C	C	Y
100.057,78	100.057,78	Mdc
12.746,44	12.746,44	Mdc
121.767,80	121.767,80	Mdc
0,00	0,00	Mdc
0,00	0,00	Mdc
234.572,02	234.572,02	Mdc
410	410	Mdc
5810092870	5810092870	Mdc
ŠALOV	šalov	Aspmsnn
,	,	Z
DAMIR	Damir	Npmsn
MP	MP	Npmsn
TORPEDO	TORPEDO	Npmsn
316	316	Mdc
C	C	Y
100.281,45	100.281,45	Mdc
12.782,28	12.782,28	Mdc
122.867,80	122.867,80	Mdc
0,00	0,00	Mdc
0,00	0,00	Mdc
235.931,52	235.931,52	Mdc
411	411	Mdc
5810092904	5810092904	Mdc
LIPOŠČAK	LIPOŠČA	Npmsg
,	,	Z
DRAGAN	Dragan	Npmsn
MP	MP	Npmsn
TORPEDO	TORPEDO	Npmsn
317	317	Mdc
C	C	Y
100.379,88	100.379,88	Mdc
12.794,87	12.794,87	Mdc
123.001,37	123.001,37	Mdc
0,00	0,00	Mdc
0,00	0,00	Mdc
236.176,12	236.176,12	Mdc
412	412	Mdc
5301144131	5301144131	Mdc
PETTERS	PETTERS	Xf
DARKO	Darko	Npmsn
HBOR	HBOR	Npmsn
–	–	Z
HPB	HPB	Npmsn
318	318	Mdc
C	C	Y
35.349,54	35.349,54	Mdc
0,00	0,00	Mdc
89.621,35	89.621,35	Mdc
3.589,35	3.589,35	Mdc
0,00	0,00	Mdc
128.560,24	128.560,24	Mdc
413	413	Mdc
5301144288	5301144288	Mdc
