2,17	2,17	Mdc
477,40	477,40	Mdc
LC004	LC004	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
punktata	punktat	Ncmpg
(	(	Z
do	do	Sg
tri	tri	Mlc
preparata	preparat	Ncmsg
jedne	jedan	Agpfsgy
lezija	lezija	Ncfsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
citotehnologa	citotehnolog	Ncmsg
i	i	Cc
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmsg
citologa	citolog	Ncmsg
1,48	1,48	Mdc
325,60	325,60	Mdc
LC005	LC005	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
punktata	punktat	Ncmpg
dobivenih	dobiveni	Ncfpg
pri	pri	Sl
endoskopskom	endoskopski	Agpmsly
UZV-u	UZV	Npmsl
i	i	Cc
procjena	procjena	Ncfsn
uzorka	uzorak	Ncmsg
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
brzim	brz	Agpnsiy
bojenjem	bojenje	Ncnsi
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmpg
3,79	3,79	Mdc
833,80	833,80	Mdc
LC006	LC006	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
punktata	punktat	Ncmpg
(	(	Z
4	4	Mdc
i	i	Cc
više	mnogo	Rgc
preparata	preparat	Ncmpg
jedne	jedan	Mlcfsg
lezije	lezija	Ncfsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
citotehnologa	citotehnolog	Ncmsg
i	i	Cc
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
liječnika	liječnik	Ncmpg
specijalista	specijalist	Ncmpg
citologa	citolog	Ncmsg
2,41	2,41	Mdc
530,20	530,20	Mdc
LC007	LC007	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
uzorka	uzorak	Ncmsg
otiska	otisak	Ncmsg
bioptata	bioptata	Pi3n-n
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
liječnika	liječnik	Ncmpg
specijalista	specijalist	Ncmpg
citologa	citolog	Ncmsg
1,72	1,72	Mdc
378,40	378,40	Mdc
LC008	LC008	Mdo
Procjena	procjena	Ncfsn
citološkog	citološki	Agpmsgy
uzorka	uzorak	Ncmsg
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
brzim	brz	Agpnsiy
bojenjem	bojenje	Ncnsi
(	(	Z
ROSE	rosa	Ncfsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
procjenu	procjena	Ncfsa
uzorka	uzorak	Ncmsg
1,39	1,39	Mdc
305,80	305,80	Mdc
LC009	LC009	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
tekućih	tekući	Agpmpgy
uzoraka	uzorak	Ncmpg
(	(	Z
do	do	Sg
tri	tri	Mlc
preparata	preparat	Ncmsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmpg
citologa	citolog	Ncmpg
,	,	Z
ne	ne	Qz
uključuje	uključivati	Vmr3s
kvantitativnu	kvantitativan	Agpfsay
analizu	analiza	Ncfsa
2,28	2,28	Mdc
501,60	501,60	Mdc
LC010	LC010	Mdc
Citološka	citološki	Agpfsny
obrada	obrada	Ncfsn
i	i	Cc
analiza	analiza	Ncfsn
tekućih	tekući	Agpmpgy
uzoraka	uzorak	Ncmpg
,	,	Z
uključujući	uključivati	Rr
obradu	obrada	Ncfsa
u	u	Sl
Cytolitu	Cytolit	Npmsl
(	(	Z
tekućina	tekućina	Ncfsn
za	za	Sa
ispiranje	ispiranje	Ncnsa
viška	višak	Ncmsg
eritrocita	eritrocit	Ncmsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
i	i	Cc
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
citotehnologa	citotehnolog	Ncmsg
i	i	Cc
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmpg
citologa	citologa	Ncfsg
–	–	Z
veza	veza	Ncfpg
na	na	Sa
šifru	šifra	Ncfsa
DTP-a	DTP	Npmsg
LH051	LH051	Mdc
2,34	2,34	Mdc
514,80	514,80	Mdc
LC011	LC011	Mdc
Citomorfološko	Citomorfološko	Sa
diferenciranje	diferenciranje	Ncnsa
stanica	stanica	Ncfpg
(	(	Z
kvantitativna	kvantitativan	Agpfsny
analiza	analiza	Ncfsn
)	)	Z
u	u	Sl
tekućim	tekući	Agpmply
citološkim	citološki	Agpmply
uzorcima	uzorak	Ncmpl
Uključuje	uključivati	Vmr3s
kvantitativnu	kvantitativan	Agpfsay
analizu	analiza	Ncfsa
već	već	Cc
obojanog	obojan	Agpmsgy
uzorka	uzorak	Ncmsg
likvora	likvor	Ncmpg
,	,	Z
zglobne	zglobni	Agpfsgy
tekućine	tekućina	Ncfsg
,	,	Z
ascitesa	ascites	Ncmsg
,	,	Z
pleuralnog	pleuralni	Agpmsgy
izljeva	izljev	Ncmsg
i	i	Cc
sl.	sl.	Y
(	(	Z
analiziranje	analiziranje	Ncnsn
stanica	stanica	Ncfpg
)	)	Z
i	i	Cc
nalaz	nalaz	Ncmsan
liječnika	liječnik	Ncmpg
specijaliste	specijalist	Ncmpa
citologa	citolog	Ncmsg
1,32	1,32	Mdc
290,40	290,40	Mdc
LC012	LC012	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
sekreta	sekret	Ncmpg
dojki	dojka	Ncfpg
(	(	Z
tri	tri	Mlc
uzorka	uzorak	Ncmsg
)	)	Z
iz	iz	Sg
jedne	jedan	Mlcfsg
dojke	dojka	Ncfsg
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmsg
citologa	citolog	Ncmsg
2,49	2,49	Mdc
547,80	547,80	Mdc
LC013	LC013	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
