suđenju	suđenje	Ncnsd
ne	ne	Qz
mogu	moći	Vmr3p
biti	biti	Van
pozvani	pozvati	Appmpny
na	na	Sa
odgovornost	odgovornost	Ncfsa
za	za	Sa
izraženo	izraziti	Agpnsay
mišljenje	mišljenje	Ncnsa
ili	ili	Cc
glasovanje	glasovanje	Ncnsn
pri	pri	Sl
donošenju	donošenje	Ncnsl
sudbene	sudbeni	Agpfsgy
odluke	odluka	Ncfsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
kršenju	kršenje	Ncnsl
zakona	zakon	Ncmsg
od	od	Sg
strane	strana	Ncfsg
suca	sudac	Ncmsg
koje	koji	Pi-fpa
je	biti	Var3s
kazneno	kazneni	Agpnsny
djelo	djelo	Ncnsn
.	.	Z

(...)	(...)	Agpmsny
Podnositelj	podnositelj	Ncmsn
se	sebe	Px--sa
inkriminira	inkriminirati	Vmr3s
da	da	Cs
bi	biti	Vaa3s
tzv.	tzv.	Y
neprocijenjeno	neprocijenjen	Agpnsny
(	(	Z
turističko	turistički	Agpnsny
)	)	Z
zemljište	zemljište	Ncnsa
uknjižio	uknjižiti	Vmp-sm
pravnoj	pravni	Agpfsdy
osobi	osoba	Ncfsd
,	,	Z
slijedniku	slijednik	Ncmsl
nekadašnjeg	nekadašnji	Agpnsgy
društvenog	društven	Agpnsgy
poduzeća	poduzeće	Ncnsg
,	,	Z
bez	bez	Sg
odobrenja	odobrenje	Ncnsg
Fonda	fond	Ncmsg
za	za	Sa
privatizaciju	privatizacija	Ncfsa
,	,	Z
te	te	Cc
da	da	Cs
isto	isto	Rgp
čini	činiti	Vmr3s
kazneno	kazneni	Agpnsny
djelo	djelo	Ncnsn
iz	iz	Sg
čl.	čl.	Y
337.	337.	Mdo
st.	st.	Y
4.	4.	Mdo
Kaznenog	kazneni	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

Podnositelj	podnositelj	Ncmsn
smatra	smatrati	Vmr3s
da	da	Cs
mu	on	Pp3msd
je	biti	Var3s
prvostupanjskom	prvostupanjski	Agpfsiy
i	i	Cc
drugostupanjskom	drugostupanjski	Agpfsiy
presudom	presuda	Ncfsi
povrijeđeno	povrijeđen	Agpnsny
ustavno	ustavan	Agpnsny
pravo	pravo	Ncnsn
iz	iz	Sg
čl.	čl.	Y
119.	119.	Mdo
st.	st.	Y
2.	2.	Mdo
Ustava	ustav	Ncmsg
budući	budući	Cs
da	da	Cs
je	biti	Var3s
u	u	Sl
inkriminiranom	inkriminiran	Agpnsly
razdoblju	razdoblje	Ncnsl
u	u	Sl
svezi	sveza	Ncfsl
pretvorbi	pretvorba	Ncfsl
društvenih	društven	Agpnpgy
poduzeća	poduzeće	Ncnpg
postojao	postojati	Vmp-sm
veliki	velik	Agpmsny
broj	broj	Ncmsn
gorućih	gorući	Agpnpgy
nerazriješenih	nerazriješen	Agpnpgy
pravnih	pravni	Agpnpgy
pitanja	pitanje	Ncnpg
,	,	Z
čije	čiji	Pi-nsn
je	biti	Var3s
rješavanje	rješavanje	Ncnsn
uzrokovalo	uzrokovati	Vmp-sn
oprečnu	oprečan	Agpfsay
praksu	praksa	Ncfsa
sudova	sud	Ncmpg
,	,	Z
a	a	Cc
upravo	upravo	Rgp
jedno	jedan	Mlcnsn
od	od	Sg
najvažnijih	važan	Agsnpgy
pitanja	pitanje	Ncnpg
bilo	biti	Vap-sn
je	biti	Var3s
pitanje	pitanje	Ncnsn
osnove	osnova	Ncfsg
,	,	Z
trenutka	trenutak	Ncmsg
i	i	Cc
načina	način	Ncmsg
