CAF-a	CAF	Npmsg
,	,	Z
postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
korištenja	korištenje	Ncnsg
ISO	ISO	Npmsn
standarda	standard	Ncmpg
,	,	Z
kao	kao	Cs
i	i	Cc
rješenja	rješenje	Ncnsg
iz	iz	Sg
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
upravljanja	upravljanje	Ncnsg
kvalitetom	kvaliteta	Ncfsi
,	,	Z
o	o	Sl
čemu	što	Pi3n-l
će	htjeti	Var3s
se	sebe	Px--sa
odlučiti	odlučiti	Vmn
na	na	Sl
temelju	temelj	Ncmsl
prethodno	prethodno	Rgp
provedene	provesti	Agpfsgy
analize	analiza	Ncfsg
,	,	Z
a	a	Cc
vodeći	vodeći	Agpmsny
računa	računati	Vmr3s
o	o	Sl
specifičnostima	specifičnost	Ncfpl
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

Dio	dio	Ncmsn
pravnog	pravni	Agpmsgy
okvira	okvir	Ncmsg
sustava	sustav	Ncmsg
upravljanja	upravljanje	Ncnsg
kvalitetom	kvaliteta	Ncfsi
u	u	Sl
javnoj	javan	Agpfsly
upravi	uprava	Ncfsl
uspostavljen	uspostaviti	Appmsnn
je	biti	Var3s
kroz	kroz	Sa
sustav	sustav	Ncmsan
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
definiran	definirati	Appmsnn
Zakonom	zakon	Ncmsi
o	o	Sl
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
[	[	Z
16	16	Mdc
]	]	Z
te	te	Cc
pripadajućim	pripadajući	Agpmpiy
podzakonskim	podzakonski	Agpmpiy
propisima	propis	Ncmpi
i	i	Cc
priručnicima	priručnik	Ncmpi
[	[	Z
17	17	Mdc
]	]	Z
.	.	Z

Zakon	zakon	Ncmsn
obvezuje	obvezivati	Vmr3s
institucije	institucija	Ncfpa
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
na	na	Sa
uspostavu	uspostava	Ncfsa
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
