764,18	764,18	Mdc
RRN05	RRN05	X
N06AX16	N06AX16	X
124	124	Mdc
venlafaksin	venlafaksin	Rgp
0,1	0,1	Mdc
g	g	Y
1,97	1,97	Mdc
2,07	2,07	Mdc
O	o	Sa
Jadran	Jadran	Npmsan
–	–	Z
Galenski	galenski	Agpmsny
Laboratorij	laboratorij	Ncmsn
d.	d.	Y
d.	d.	Y
JGL	JGL	Npmsn
d.	d.	Y
d.	d.	Y
Faxiven	Faxiven	Npmsn
caps	cape	Ncnpg
.	.	Z
s	sa	Si
prod	pra	Ncfsi
.	.	Z
oslob	os	Ncmpi
.	.	Z
,	,	Z
tvrda	tvrd	Agpfsny
28	28	Mdc
x37	x37	Y
,	,	Z
5	5	Mdc
mg	mg	Y
0,74	0,74	Mdc
0,77	0,77	Mdc
20,66	20,66	Mdc
21,69	21,69	Mdc
R	R	Y
N06AX16	N06AX16	X
125	125	Mdc
venlafaksin	venlafaksin	Rgp
0,1	0,1	Mdc
g	g	Y
1,78	1,78	Mdc
1,86	1,86	Mdc
O	o	Sa
Jadran	Jadran	Npmsan
–	–	Z
Galenski	galenski	Agpmsny
Laboratorij	laboratorij	Ncmsn
d.	d.	Y
d.	d.	Y
JGL	JGL	Npmsn
d.	d.	Y
d.	d.	Y
Faxiven	Faxiven	Npmsn
caps	cape	Ncnpg
.	.	Z
s	sa	Si
prod	pra	Ncfsi
.	.	Z
oslob	os	Ncmpi
.	.	Z
,	,	Z
tvrda	tvrd	Agpfsny
28	28	Mdc
x75	xi	Agpmsgy
mg	mg	Agpmsgy
1,33	1,33	Mdc
1,40	1,40	Mdc
37,29	37,29	Mdc
39,15	39,15	Mdc
R	R	Y
N06AX16	N06AX16	X
126	126	Mdc
venlafaksin	venlafaksin	Rgp
0,1	0,1	Mdc
g	g	Y
1,36	1,36	Mdc
1,43	1,43	Mdc
O	o	Sa
Jadran	Jadran	Npmsan
–	–	Z
Galenski	galenski	Agpmsny
Laboratorij	laboratorij	Ncmsn
d.	d.	Y
d.	d.	Y
JGL	JGL	Npmsn
d.	d.	Y
d.	d.	Y
Faxiven	Faxiven	Npmsn
caps	cape	Ncnpg
.	.	Z
s	sa	Si
prod	pra	Ncfsi
.	.	Z
oslob	os	Ncmpi
.	.	Z
,	,	Z
tvrda	tvrd	Agpfsny
28	28	Mdc
x150	x150	Mdc
mg	mg	Y
2,04	2,04	Mdc
2,14	2,14	Mdc
57,15	57,15	Mdc
60,01	60,01	Mdc
R	R	Y
N07XX09	N07XX09	X
161	161	Mdc
DS	DS	Y
