prometu	promet	Ncmsl
,	,	Z

10.	10.	Mdo
donosi	donositi	Vmr3s
godišnji	godišnji	Agpmsayn
izvještaj	izvještaj	Ncmsan
o	o	Sl
radu	rad	Ncmsl
Agencije	agencija	Ncfsg
i	i	Cc
upućuje	upućivati	Vmr3s
ga	on	Pp3msa
Vladi	Vlada	Npfsd
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
radi	radi	Sg
prihvaćanja	prihvaćanje	Ncnsg
,	,	Z
«	«	Z
.	.	Z

Dosadašnje	dosadašnji	Agpfpny
točke	točka	Ncfpn
8.	8.	Mdo
do	do	Sg
10.	10.	Mdo
postaju	postaja	Ncfsa
točke	točka	Ncfsg
11.	11.	Mdo
do	do	Sg
13.	13.	Mdo

Dosadašnja	dosadašnji	Agpfsny
točka	točka	Ncfsn
11.	11.	Mdo
,	,	Z
koja	koji	Pi-fsn
postaje	postajati	Vmr3s
točka	točka	Ncfsn
14.	14.	Mdo
,	,	Z
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
odlučuje	odlučivati	Vmr3s
o	o	Sl
drugim	drugi	Mlonpl
pitanjima	pitanje	Ncnpl
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Zakonu	zakon	Ncmsl
,	,	Z
zakonu	zakon	Ncmsl
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
koncesije	koncesija	Ncfsg
i	i	Cc
zakonu	zakon	Ncmsl
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
javna	javan	Agpfsny
nabava	nabava	Ncfsn
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Naslov	naslov	Ncmsn
iznad	iznad	Sg
članka	članak	Ncmsg
26.	26.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
4.	4.	Mdo
Pravo	pravo	Ncnsa
obavljanja	obavljanje	Ncnsg
usluge	usluga	Ncfsg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
od	od	Sg
općeg	opći	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
interesa	interes	Ncmsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Pravo	pravo	Ncnsn
obavljanja	obavljanje	Ncnsg
usluge	usluga	Ncfsg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
na	na	Sl
linijama	linija	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
