poslovanja	poslovanje	Ncnpn
koji	koji	Pi-mpn
su	biti	Var3p
relevantni	relevantan	Agpmpny
za	za	Sa
pojedini	pojedini	Agpmsayn
proizvod	proizvod	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
kredit	kredit	Ncmsn
nominiran	nominirati	Appmsnn
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
,	,	Z
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
potrošaču	potrošač	Ncmsd
dati	dati	Vmn
informacije	informacija	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
usporedno	usporedan	Agpnsny
za	za	Sa
isti	isti	Agpmsayn
iznos	iznos	Ncmsan
i	i	Cc
rok	rok	Ncmsn
dospijeća	dospijeće	Ncnsg
kredita	kredit	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
odobrava	odobravati	Vmr3s
u	u	Sl
domaćoj	domaći	Agpfsly
valuti	valuta	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
u	u	Sl
ponudi	ponuda	Ncfsl
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
ne	ne	Qz
postoji	postojati	Vmr3s
usporedivi	usporediv	Agpmsny
kredit	kredit	Ncmsn
u	u	Sl
domaćoj	domaći	Agpfsly
valuti	valuta	Ncfsl
,	,	Z
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
to	taj	Pd-nsn
posebno	posebno	Rgp
naznačiti	naznačiti	Vmn
u	u	Sl
Obrascu	obrazac	Ncmsl
s	sa	Si
informacijama	informacija	Ncfpi
i	i	Cc
potrošaču	potrošač	Ncmsl
uručiti	uručiti	Vmn
informativnu	informativan	Agpfsay
listu	lista	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
.	.	Z

Oblik	oblik	Ncmsn
informacija	informacija	Ncfpg

Članak	članak	Ncmsn
3.	3.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Informacije	informacija	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
dati	dati	Vmn
potrošačima	potrošač	Ncmpd
u	u	Sl
formi	forma	Ncfsl
obrazaca	obrazac	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
u	u	Sl
Prilogu	prilog	Ncmsl
Odluke	odluka	Ncfsg
i	i	Cc
čine	činiti	Vmr3p
njezin	njezin	Ps3msan
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Popis	popis	Ncmsn
izabranih	izabran	Agpfpgy
vrsta	vrsta	Ncfpg
kredita	kredit	Ncmpg
i	i	Cc
informacija	informacija	Ncfpg
uključenih	uključiti	Appfpgy
u	u	Sa
informativnu	informativan	Agpfsay
listu	lista	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
sadržan	sadržati	Appmsnn
je	biti	Var3s
u	u	Sl
Prilogu	prilog	Ncmsl
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
(	(	Z
IV	IV	Mrc
.	.	Z

Obrazac	obrazac	Ncmsn
)	)	Z
i	i	Cc
čini	činiti	Vmr3s
njezin	njezin	Ps3msn
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kreditne	kreditan	Agpfpny
institucije	institucija	Ncfpn
dužne	dužan	Agpfsgy
su	biti	Var3p
Hrvatskoj	hrvatski	Agpfsdy
narodnoj	narodni	Agpfsdy
banci	banka	Ncfsd
dostaviti	dostaviti	Vmn
prvi	prvi	Mlomsan
ispunjeni	ispunjen	Agpmsayn
Obrazac	obrazac	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
najkasnije	kasno	Rgs
do	do	Sg
15.	15.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
informacija	informacija	Ncfpg
uključenih	uključen	Agpfpgy
u	u	Sa
informativnu	informativan	Agpfsay
listu	lista	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
kreditne	kreditan	Agpfpny
institucije	institucija	Ncfpn
dužne	dužan	Agpfsgy
su	biti	Var3p
Hrvatskoj	Hrvatska	Npfsd
narodnoj	narodni	Agpfsly
banci	banka	Ncfsl
odmah	odmah	Rgp
dostaviti	dostaviti	Vmn
