nazočnosti	nazočnost	Ncfpa
oca	oac	Ncmsg
i	i	Cc
djelatnika	djelatnik	Ncmpg
Centra	centar	Ncmsg
(...)	(...)	Z
.	.	Z

Ovaj	ovaj	Pd-msn
sud	sud	Ncmsn
je	biti	Var3s
stajališta	stajalište	Ncnsg
da	da	Cs
promjena	promjena	Ncfsn
mišljenja	mišljenje	Ncnsg
Centra	centar	Ncmsg
S.	S.	Y
sukladno	sukladno	Rgp
izmijenjenim	izmijeniti	Agpfpiy
okolnostima	okolnost	Ncfpi
o	o	Sl
tome	taj	Pd-nsl
s	sa	Si
kim	kim	Ncmsn
bi	biti	Vaa3s
trebala	trebati	Vmp-sf
djeca	dijete	Ncnpn
živjeti	živjeti	Vmn
nije	biti	Var3s
također	također	Rgp
osnova	osnova	Ncfsn
niti	niti	Cc
razlog	razlog	Ncmsn
zbog	zbog	Sg
kojeg	koji	Pi-msg
bi	biti	Vaa3s
sud	sud	Ncmsn
presudio	presuditi	Vmp-sm
u	u	Sa
korist	korist	Ncfsa
tuženika	tuženik	Ncmpg
,	,	Z
jer	jer	Cs
Centar	centar	Ncmsn
svoje	svoj	Px-nsa
izmijenjeno	izmijeniti	Agpnsay
mišljenje	mišljenje	Ncnsa
nije	biti	Var3s
potkrijepio	potkrijepiti	Vmp-sm
nikakvim	nikakav	Agpmpdy
argumentima	argument	Ncmpd
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
po	po	Sl
mišljenju	mišljenje	Ncnsl
ovog	ovaj	Pd-msg
suda	sud	Ncmsg
trebali	trebati	Vmp-pm
biti	biti	Van
detaljno	detaljan	Agpnsny
i	i	Cc
stručno	stručno	Rgp
izneseni	iznijeti	Appmpny
i	i	Cc
razrađeni	razraditi	Appmpny
.	.	Z

Čak	čak	Qo
što	što	Qo
više	mnogo	Rgc
,	,	Z
u	u	Sl
tom	taj	Pd-msl
izmijenjenom	izmijeniti	Agpnsly
mišljenju	mišljenje	Ncnsl
Centar	centar	Ncmsn
potvrđuje	potvrđivati	Vmr3s
tezu	teza	Ncfsa
suda	sud	Ncmsg
koja	koji	Pi-fsn
se	sebe	Px--sa
dade	dati	Vmr3s
zaključiti	zaključiti	Vmn
iz	iz	Sg
dosadašnjih	dosadašnji	Agpnpgy
obrazlaganja	obrazlaganje	Ncnpg
,	,	Z
a	a	Cc
to	taj	Pd-nsn
je	biti	Var3s
da	da	Cs
‘	i	Agpnsny
...	...	Z
ne	ne	Qz
smatraju	smatrati	Vmr3p
C.	C.	Y
B.	B.	Y
ugrožavajućom	ugrožavajući	Agpfsiy
po	po	Sa
svoju	svoj	Px-fsa
djecu	dijete	Ncnpa
...	...	Z
’	’	Z
,	,	Z
te	te	Cc
‘	ti	Vmr1s
...	...	Z
da	da	Cs
ista	isti	Agpfsny
ima	imati	Vmr3s
plan	plan	Ncmsan
ići	ići	Vmn
živjeti	živjeti	Vmn
s	sa	Si
djedom	djed	Ncmsi
barem	barem	Rgp
dok	dok	Cs
se	sebe	Px--sa
ne	ne	Qz
zaposli	zaposliti	Vmr3s
...	...	Z
’	’	Z
,	,	Z
dakle	dakle	Cc
,	,	Z
da	da	Cs
ona	on	Pp3fsn
ima	imati	Vmr3s
plan	plan	Ncmsan
usmjeren	usmjeriti	Appmsann
ka	k	Sd
normalizaciji	normalizacija	Ncfsd
životne	životan	Agpfsgy
situacije	situacija	Ncfsg
,	,	Z
pronalasku	pronalazak	Ncmsl
stana	stan	Ncmsg
i	i	Cc
zaposlenja	zaposlenje	Ncnsg
,	,	Z
a	a	Cc
sve	sav	Agpnsny
u	u	Sl
pravcu	pravac	Ncmsl
osiguravanja	osiguravanje	Ncnsg
adekvatnog	adekvatan	Agpmsgy
doma	dom	Ncmsg
sebi	sebe	Px--sd
i	i	Cc
djeci	dijete	Ncnpd
.	.	Z

Sukus	sukus	Ncmsn
mišljenja	mišljenje	Ncnsg
Stručnog	stručan	Agpmsgy
tima	tim	Ncmsg
CZSS	CZSS	Cc
S.	S.	Y
jeste	biti	Var2p
da	da	Cs
ni	ni	Qo
C.	C.	Y
ni	ni	Cc
A.	A.	Y
nisu	biti	Var3p
adekvatno	adekvatno	Rgp
reagirali	reagirati	Vmp-pm
kako	kako	Cs
bi	biti	Vaa3p
