d	d	Npmsn
)	)	Z
,	,	Z
piše	pisati	Vmr3s
se	sebe	Px--sa
:	:	Z
»	»	Z
U	u	Sl
članku	članak	Ncmsl
2.	2.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
,	,	Z
članku	članak	Ncmsl
4.	4.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
podstavak	podstavak	Ncmsan
3.	3.	Mdo
i	i	Cc
članku	članak	Ncmsl
6.	6.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
podstavku	podstavak	Ncmsl
2.	2.	Mdo
točka	točka	Ncfsn
5.	5.	Mdo
brišu	brisati	Vmr3p
se	sebe	Px--sa
«	«	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Na	na	Sa
način	način	Ncmsan
utvrđen	utvrditi	Appmsnn
odredbom	odredba	Ncfsi
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
brišu	brisati	Vmr3p
se	sebe	Px--sa
članci	članak	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
u	u	Sl
istom	isti	Agpnsly
poglavlju	poglavlje	Ncnsl
,	,	Z
te	te	Cc
se	sebe	Px--sa
na	na	Sa
taj	taj	Pd-msan
način	način	Ncmsan
omogućuje	omogućivati	Vmr3s
da	da	Cs
se	sebe	Px--sa
mijenjaju	mijenjati	Vmr3p
ili	ili	Cc
dopunjuju	dopunjivati	Vmr3p
članci	članak	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
po	po	Sl
redoslijedu	redoslijed	Ncmsl
nalaze	nalaziti	Vmr3p
između	između	Sg
odredaba	odredba	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
brišu	brisati	Vmr3p
.	.	Z

Prijelazne	prijelazan	Agpfpny
i	i	Cc
završne	završan	Agpfpay
odredbe	odredba	Ncfpa
propisa	propis	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
propisa	propis	Ncmsg

Članak	članak	Ncmsn
57.	57.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prijelazne	prijelazan	Agpfpny
i	i	Cc
završne	završan	Agpfpay
odredbe	odredba	Ncfpa
propisa	propis	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
propisa	propis	Ncmpg
objedinjuju	objedinjivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
posebno	poseban	Agpnsay
poglavlje	poglavlje	Ncnsa
ili	ili	Cc
odjeljak	odjeljak	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prijelaznim	prijelazan	Agpfpiy
odredbama	odredba	Ncfpi
propisa	propis	Ncmpg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
propisa	propis	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
propisati	propisati	Vmn
obveza	obveza	Ncfsn
usklađivanja	usklađivanje	Ncnsg
nižih	nizak	Agcmpgy
propisa	propis	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
toga	toga	Ncfsn
propisa	propis	Ncmsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
obvezno	obvezno	Rgp
utvrđuje	utvrđivati	Vmr3s
rok	rok	Ncmsan
za	za	Sa
usklađivanje	usklađivanje	Ncnsa
i	i	Cc
moguće	moguć	Agpfpay
posljedice	posljedica	Ncfpa
ako	ako	Cs
se	sebe	Px--sa
usklađivanje	usklađivanje	Ncnsn
ne	ne	Qz
obavi	obaviti	Vmr3s
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
propisom	propis	Ncmsi
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
propisa	propis	Ncmpg
utvrđuje	utvrđivati	Vmr3s
obveza	obveza	Ncfpg
donošenja	donošenje	Ncnsg
nižeg	nizak	Agcmsgy
propisa	propis	Ncmsg
,	,	Z
nužno	nužan	Agpnsny
je	biti	Var3s
u	u	Sl
prijelaznim	prijelazan	Agpfply
odredbama	odredba	Ncfpl
ovlaštenoj	ovlašten	Agpfsly
osobi	osoba	Ncfsl
