konvencionalni	konvencionalan	Agpmsny
interferon	interferon	Ncmsn
.	.	Z

Kod	kod	Sg
bolesnika	bolesnik	Ncmpg
u	u	Sl
kojih	koji	Pi-mpg
postoji	postojati	Vmr3s
klinička	klinički	Agpfsny
sumnja	sumnja	Ncfsn
na	na	Sa
akutni	akutan	Agpmsayn
hepatitis	hepatitis	Ncmsan
potrebno	potreban	Agpnsny
je	biti	Var3s
odrediti	odrediti	Vmn
HCV	HC	Npmsay
RNA	RN	Npmsay
u	u	Sl
serumu	serum	Ncmsl
dva	dva	Mlc
puta	puta	Rgp
u	u	Sl
razmaku	razmak	Ncmsl
od	od	Sg
3	3	Mdc
mjeseca	mjesec	Ncmsg
prije	prije	Sg
početka	početak	Ncmsg
terapije	terapija	Ncfsg
.	.	Z

Terapijske	terapijski	Agpfpny
smjernice	smjernica	Ncfpn
;	;	Z

1.	1.	Mdo
Bolesnici	bolesnik	Ncmpn
s	sa	Si
genotipom	genotip	Ncmsi
1	1	Mdc
i	i	Cc
4	4	Mdc
i	i	Cc
viremijom	viremija	Ncfsi
većom	velik	Agcfsiy
od	od	Sg
600000	600000	Mdc
IU	IU	Y
/	/	Z
ml	ml	Cc
liječe	liječiti	Vmr3p
se	sebe	Px--sa
48	48	Mdc
tjedana	tjedan	Ncmpg
.	.	Z

Primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
pegilirani	pegiliran	Agpmsny
interferon	interferon	Ncmsn
alfa-2b	alfa-2b	Npmsn
u	u	Sl
dozi	doza	Ncfsl
od	od	Sg
1,5	1,5	Mdc
mcg	mcg	Ncfpg
/	/	Z
kg	kg	Xf
TT	TT	Xf
1	1	Mdc
x	X	Cc
tjedno	tjedno	Rgp
uz	uz	Sa
ribavirin	ribavirin	Ncfsa
800	800	Mdc
do	do	Sg
1400	1400	Mdc
mg	mg	Y
ovisno	ovisno	Rgp
o	o	Sl
TT	T	Npmsl
podjeljeno	podjeljena	Ncfsl
u	u	Sa
dvije	dva	Mlcf-a
dnevne	dnevni	Agpfsgy
doze	doza	Ncfsg
.	.	Z

Provjera	provjera	Ncfsn
viremije	viremija	Ncfsg
u	u	Sa
12	12	Mdc
tjednu	tjedan	Ncmsl
terapije	terapija	Ncfsg
uz	uz	Sa
prekid	prekid	Ncmsan
ako	ako	Cs
ne	ne	Qz
dođe	doći	Vmr3s
do	do	Sg
sniženja	sniženje	Ncnsg
viremije	viremija	Ncfsg
za	za	Sa
više	mnogo	Rgc
od	od	Sg
100	100	Mdc
x		Npmsg
(	(	Z
2	2	Mdc
log	log	Ncmsn
)	)	Z
IU	I	Npmsl
HCV	HCV	Npfsn
RNA	RNA	Npfsn
.	.	Z

Kod	kod	Sg
bolesnika	bolesnik	Ncmpg
u	u	Sl
kojih	koji	Pi-mpg
je	biti	Var3s
reducirana	reducirati	Appfsny
viremija	viremija	Ncfsn
za	za	Sa
više	mnogo	Rgc
od	od	Sg
2	2	Mdc
log	log	Ncmsan
,	,	Z
ali	ali	Cc
imaju	imati	Vmr3p
detektabilnu	detektabilna	Ncfsa
HCV	HC	Npmsg
RNA	RN	Npmsg
u	u	Sl
12.	12.	Mdo
tjednu	tjedan	Ncmsl
,	,	Z
vrši	vršiti	Vmr3s
se	sebe	Px--sa
provjera	provjera	Ncfsn
HCV	HCV	Npmsn
RNA	RNA	Npmsn
PCR	PCR	Npmsn
nakon	nakon	Sg
24	24	Mdc
tjedna	tjedan	Ncmsg
terapije	terapija	Ncfsg
i	i	Cc
prekida	prekid	Ncmsg
ukoliko	ukoliko	Cs
je	biti	Var3s
viremija	viremija	Ncfsn
prisutna	prisutan	Agpfsny
.	.	Z

2.	2.	Mdo
Bolesnici	bolesnik	Ncmpn
s	sa	Si
genotipom	genotip	Ncmsi
1	1	Mdc
i	i	Cc
4	4	Mdc
i	i	Cc
viremijom	viremija	Ncfsi
manjom	mali	Agcfsiy
od	od	Sg
600000	600000	Mdc
IU	IU	Y
/	/	Z
ml	ml	Cc
liječe	liječiti	Vmr3p
se	sebe	Px--sa
24	24	Mdc
tjedna	tjedan	Ncmsg
.	.	Z

Primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
pegilirani	pegiliran	Agpmsny
interferon	interferon	Ncmsn
alfa-2b	alfa-2b	Npmsn
u	u	Sl
dozi	doza	Ncfsl
od	od	Sg
1,5	1,5	Mdc
mcg	mcg	Ncfpg
/	/	Z
kg	kg	Xf
TT	TT	Xf
1	1	Mdc
x	X	Cc
tjedno	tjedno	Rgp
uz	uz	Sa
ribavirin	ribavirin	Ncfsa
800	800	Mdc
do	do	Sg
1400	1400	Mdc
mg	mg	Y
ovisno	ovisno	Rgp
o	o	Sl
TT	T	Npmsl
podijeljeno	podijeliti	Appnsny
u	u	Sa
dvije	dva	Mlcf-a
dnevne	dnevni	Agpfsgy
doze	doza	Ncfsg
.	.	Z

Provjera	provjera	Ncfsn
viremije	viremija	Ncfsg
nakon	nakon	Sg
4	4	Mdc
tjedna	tjedan	Ncmsg
terapije	terapija	Ncfsg
(	(	Z
RVR	RVR	Npmsn
)	)	Z
kod	kod	Sg
bolesnika	bolesnik	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
tada	tada	Rgp
HCV	HCV	Npfsn
RNA	RNA	Npfsn
PCR	PCR	Npfsn
negativni	negativan	Agpmpny
terapija	terapija	Ncfsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
24	24	Mdc
tjedna	tjedan	Ncmsg
.	.	Z

Ukoliko	ukoliko	Cs
se	sebe	Px--sa
ne	ne	Qz
postigne	postići	Vmr3s
RVR	rvi	Agpnsay
liječenje	liječenje	Ncnsa
se	sebe	Px--sa
nastavlja	nastavljati	Vmr3s
dalje	daleko	Rgc
kao	kao	Cs
kod	kod	Sg
visoke	visok	Agpfsgy
viremije	viremija	Ncfsg
iz	iz	Sg
stavke	stavka	Ncfsg
1.	1.	Mdo
Bolesnici	bolesnik	Ncmpn
sa	sa	Si
stadijem	stadij	Ncmsi
fibroze	fibroza	Ncfsg
>	>	Z
=	=	Z
od	od	Sg
F5	f5	Ncfpg
po	po	Sl
Ishak	Isha	Npmsl
Knodellu	Knodell	Npmsl
(	(	Z
ili	ili	Cc
Metavir	Metavir	Npmsn
F4	F4	X
)	)	Z
ili	ili	Cc
fibroscan	fibroscan	Qo
veći	velik	Agcmsny
od	od	Sg
14	14	Mdc
kPa	kp	Ncmpg
liječe	liječiti	Vmr3p
se	sebe	Px--sa
