Hrvatske	Hrvatska	Npfsg
,	,	Z
ali	ali	Cc
sada	sada	Rgp
u	u	Sa
njegovo	njegov	Agpnsay
ime	ime	Ncnsa
.	.	Z

39.	39.	Mdo

S	sa	Sg
aspekta	aspekt	Ncmsg
zaštite	zaštita	Ncfsg
ustavnih	ustavan	Agpnpgy
prava	pravo	Ncnpg
podnositelja	podnositelj	Ncmpg
,	,	Z
jedini	jedini	Agpmsny
prigovor	prigovor	Ncmsn
kojim	koji	Pi-msi
bi	biti	Vaa3s
se	sebe	Px--sa
moglo	moći	Vmp-sn
osporavati	osporavati	Vmn
sudsko	sudski	Agpnsay
utvrđenje	utvrđenje	Ncnsa
o	o	Sl
nedostatku	nedostatak	Ncmsl
aktivne	aktivan	Agpfsgy
legitimacije	legitimacija	Ncfsg
podnositelja	podnositelj	Ncmpg
za	za	Sa
pokretanje	pokretanje	Ncnsa
tog	taj	Pd-msg
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
jest	biti	Var3s
onaj	onaj	Pd-msan
o	o	Sl
nemogućnosti	nemogućnost	Ncfsl
podnositelja	podnositelj	Ncmpg
da	da	Cs
ostvari	ostvariti	Vmr3s
svoje	svoj	Px-nsa
pravo	pravo	Ncnsa
na	na	Sa
pristup	pristup	Ncmsan
sudu	sud	Ncmsl
.	.	Z

Takav	takav	Pd-msn
prigovor	prigovor	Ncmsn
,	,	Z
međutim	međutim	Rgp
,	,	Z
ne	ne	Qz
bi	biti	Vaa3s
bio	biti	Vap-sm
osnovan	osnovan	Agpmsnn
,	,	Z
osobito	osobito	Rgp
stoga	stoga	Cs
što	što	Cs
su	biti	Var3p
podnositeljevu	podnositeljev	Agpfsay
tužbu	tužba	Ncfsa
–	–	Z
unatoč	unatoč	Sl
nedostatku	nedostatak	Ncmsl
njegove	njegov	Ps3fsg
aktivne	aktivan	Agpfsgy
legitimacije	legitimacija	Ncfsg
–	–	Z
nadležni	nadležan	Agpmpny
sudovi	sud	Ncmpn
razmotrili	razmotriti	Vmp-pm
u	u	Sl
istom	isti	Agpmsly
opsegu	opseg	Ncmsl
kao	kao	Cs
i	i	Qo
