SELJAČKA	seljački	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
STJEPAN	Stjepan	Npmsn
RADIĆ	Radić	Npmsn
–	–	Z
HSS	HSS	Npmsn
–	–	Z
SR	SR	Npmsn
BLOK	BLOK	Npmsn
UMIROVLJENICI	umirovljenik	Ncmpn
ZAJEDNO	zajedno	Rgp
–	–	Z
BUZ	BUZ	Npmsn
1.	1.	Mdo
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
LJUBO	LJUBO	Npmsn
JURČIĆ	Jurčić	Npmsn
,	,	Z
dipl.	dipl.	Y
oec.	oec.	Y
3.090	3.090	Mdc
glasova	glas	Ncmpg
29,67	29,67	Mdc
%	%	Z
2.	2.	Mdo
ŽELJKO	Željko	Npmsn
MAVRAČIĆ	MAVRAČIĆ	Npmsn
354	354	Mdc
glasa	glas	Ncmpg
3,39	3,39	Mdc
%	%	Z
3.	3.	Mdo
dr.	dr.	Y
sc.	sc.	Y
JASMINKA	JASMINKA	Npfsn
PLEVNIK	PLEVNIK	Npfsn
,	,	Z
prof.	prof.	Y
122	122	Mdc
glasa	glas	Ncmsg
1,17	1,17	Mdc
%	%	Z
4.	4.	Mdo
SLAVKO	Slavko	Npmsn
KOJIĆ	Kojić	Npmsn
,	,	Z
dipl.	dipl.	Y
oec.	oec.	Y
158	158	Mdc
glasova	glas	Ncmpg
1,51	1,51	Mdc
%	%	Z
5.	5.	Mdo
mr.	mr.	Y
sc.	sc.	Y
ANITA	ANITA	Npfsn
ZELIĆ	ZELIĆ	Npfsn
,	,	Z
dipl.	dipl.	Y
oec.	oec.	Y
56	56	Mdc
glasova	glas	Ncmpg
0,53	0,53	Mdc
%	%	Z
6.	6.	Mdo
NENAD	NENAD	Npmsn
BOŽIĆ	Božić	Npmsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
68	68	Mdc
glasova	glas	Ncmpg
0,65	0,65	Mdc
%	%	Z
7.	7.	Mdo
ZINKA	ZINKA	Npfsn
BRATUŠA	BRATUŠA	Npfsn
59	59	Mdc
glasova	glas	Ncmpg
0,56	0,56	Mdc
%	%	Z
8.	8.	Mdo
KSENIJA	KSENIJA	Npfsn
JAKLENEC	JAKLENEC	Npmsn
51	51	Mdc
glas	glas	Ncmsn
0,48	0,48	Mdc
%	%	Z
9.	9.	Mdo
JADRANKO	JADRANKO	Npmsn
BATURIĆ	BATURIĆ	Npmsn
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
143	143	Mdc
glasa	glas	Ncmsg
1,37	1,37	Mdc
%	%	Z
10.	10.	Mdo

ANTON	Anton	Npmsn
MUŽEVIĆ	MUŽEVIĆ	Npmsn
,	,	Z
dipl.	dipl.	Y
oec.	oec.	Y
41	41	Mdc
glas	glas	Ncmsn
0,39	0,39	Mdc
%	%	Z
11.	11.	Mdo

MARINA	MARINA	Npfsn
HABIJANEC	HABIJANEC	Npmsn
39	39	Mdc
glasova	glas	Ncmpg
0,37	0,37	Mdc
%	%	Z
12.	12.	Mdo

BRANKO	Branko	Npmsn
CVETKOVIĆ	Cvetković	Npmsn
25	25	Mdc
glasova	glas	Ncmpg
0,24	0,24	Mdc
%	%	Z
13.	13.	Mdo

JAKŠA	JAKŠA	Npfsn
BALOEVIĆ	BALOEVIĆ	Npfsn
16	16	Mdc
glasova	glas	Ncmpg
0,15	0,15	Mdc
%	%	Z
14.	14.	Mdo
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
ANA	Ana	Npfsn
STAVLJENIĆ-RUKAVINA	STAVLJENIĆ-RUKAVINA	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
307	307	Mdc
glasova	glas	Ncmpg
2,94	2,94	Mdc
%	%	Z
6.	6.	Mdo
PAMETNO	pametan	Agpnsny
5.238	5.238	Mdc
glasova	glas	Ncmpg
2,42	2,42	Mdc
%	%	Z
ZA	za	Sa
GRAD	grad	Ncmsan
1.	1.	Mdo
mr.	mr.	Y
sc.	sc.	Y
NINA	Nina	Npfsn
ANTIČIĆ	ANTIČIĆ	Npfsn
747	747	Mdc
glasova	glas	Ncmpg
14,26	14,26	Mdc
%	%	Z
2.	2.	Mdo
SVIBOR	SVIBOR	Npmsn
JANČIĆ	Jančić	Npmsn
133	133	Mdc
glasa	glasati	Vmr3s
2,53	2,53	Mdc
%	%	Z
3.	3.	Mdo
BOJANA	BOJANA	Npfsn
NIKITOVIĆ	NIKITOVIĆ	Npfsn
69	69	Mdc
glasova	glas	Ncmpg
1,31	1,31	Mdc
%	%	Z
4.	4.	Mdo
ŽELJKO	Željko	Npmsn
GRABAREVIĆ	GRABAREVIĆ	Npmsn
36	36	Mdc
glasova	glas	Ncmpg
0,68	0,68	Mdc
%	%	Z
5.	5.	Mdo
ŽANA	ŽANA	Npfsn
BARIŠIĆ	Barišić	Npmsn
DOŠEN	DOŠEN	Npmsn
59	59	Mdc
glasova	glas	Ncmpg
1,12	1,12	Mdc
%	%	Z
6.	6.	Mdo
STEVICA	STEVICA	Npfsn
KUHARSKI	kuharski	Agpmsny
137	137	Mdc
glasova	glas	Ncmpg
2,61	2,61	Mdc
%	%	Z
7.	7.	Mdo
ZVONIMIR	ZVONIMIR	Npmsn
MUSTAF	MUSTAF	Npmsn
22	22	Mdc
glasa	glas	Ncmpg
0,42	0,42	Mdc
%	%	Z
8.	8.	Mdo
LEA	LEA	Npfsn
GAGULIĆ	GAGULIĆ	Npfsn
114	114	Mdc
glasova	glas	Ncmpg
2,17	2,17	Mdc
%	%	Z
9.	9.	Mdo
dr.	dr.	Y
sc.	sc.	Y
DRAGO	Drago	Npmsn
CMUK	CMUK	Npmsn
85	85	Mdc
glasova	glas	Ncmpg
1,62	1,62	Mdc
%	%	Z
10.	10.	Mdo

DUBRAVKA	DUBRAVKA	Npfsn
RUSAN	RUSAN	Npmsn
46	46	Mdc
glasova	glas	Ncmpg
0,87	0,87	Mdc
%	%	Z
11.	11.	Mdo

MAJA	MAJA	Npfsn
REČIĆ	REČIĆ	Npfsn
34	34	Mdc
glasa	glas	Ncmsg
0,64	0,64	Mdc
%	%	Z
12.	12.	Mdo

TOMISLAV	TOMISLAV	Npmsn
DELAČ	DELAČ	Npmsn
48	48	Mdc
glasova	glas	Ncmpg
0,91	0,91	Mdc
%	%	Z
13.	13.	Mdo
dr.	dr.	Y
sc.	sc.	Y
SLAĐANA	SLAĐANA	Npfsn
ŠTRKALJ-IVEZIĆ	ŠTRKALJ-IVEZIĆ	Npfsn
102	102	Mdc
glasa	glas	Ncmsg
1,94	1,94	Mdc
%	%	Z
14.	14.	Mdo

VJEKOSLAV	VJEKOSLAV	Npmsn
KREŠIMIR	KREŠIMIR	Npmsn
BENUSSI	BENUSSI	Npmsn
85	85	Mdc
glasova	glas	Ncmpg
1,62	1,62	Mdc
%	%	Z
7.	7.	Mdo
PRIMORSKO	primorski	Agpnsny
GORANSKI	goranski	Agpmsny
SAVEZ	savez	Ncmsn
–	–	Z
PGS	PGS	Npmsn
2.455	2.455	Mdc
glasova	glas	Ncmpg
1,13	1,13	Mdc
%	%	Z
ISTARSKI	istarski	Agpmsny
DEMOKRATSKI	demokratski	Agpmsny
SABOR	sabor	Ncmsn
–	–	Z
IDS	IDS	Npmsn
LISTA	listati	Vmr3s
ZA	za	Sa
RIJEKU	Rijeka	Npfsa
–	–	Z
RI	RI	Pi-msan
1.	1.	Mdo
TANJA	Tanja	Npfsn
JAKOVAC	JAKOVAC	Npfsn
472	472	Mdc
glasa	glas	Ncmpg
19,22	19,22	Mdc
%	%	Z
2.	2.	Mdo
MIRELLA	MIRELLA	Npfsn
MLADIN	MLADIN	Npfsn
56	56	Mdc
glasova	glas	Ncmpg
2,28	2,28	Mdc
%	%	Z
3.	3.	Mdo
NELIDA	NELIDA	Npfsn
POGAČIĆ	POGAČIĆ	Npfsn
15	15	Mdc
glasova	glas	Ncmpg
0,61	0,61	Mdc
%	%	Z
4.	4.	Mdo
MARKO	Marko	Npmsn
SOBOTINČIĆ	SOBOTINČIĆ	Npmsn
94	94	Mdc
glasa	glas	Ncmpg
3,82	3,82	Mdc
%	%	Z
5.	5.	Mdo
BRANKO	Branko	Npmsn
BOŽIĆ	Božić	Npmsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
66	66	Mdc
glasova	glas	Ncmpg
2,68	2,68	Mdc
%	%	Z
6.	6.	Mdo
DAMIR	Damir	Npmsn
ZANOŠKAR	ZANOŠKAR	Npmsn
60	60	Mdc
glasova	glas	Ncmpg
2,44	2,44	Mdc
%	%	Z
7.	7.	Mdo
DAVID	David	Npmsn
MAROT	MAROT	Npmsn
62	62	Mdc
glasa	glas	Ncmpg
2,52	2,52	Mdc
%	%	Z
8.	8.	Mdo
GIOVANNI	GIOVANNI	Npmsn
DAMJANOVIĆ	Damjanović	Npmsn
35	35	Mdc
glasova	glas	Ncmpg
1,42	1,42	Mdc
%	%	Z
9.	9.	Mdo
FERUCIO	FERUCIO	Npmsn
BURBURAN	BURBURAN	Npmsn
42	42	Mdc
glasa	glas	Ncmsg
1,71	1,71	Mdc
%	%	Z
10.	10.	Mdo

PATRICIA	PATRICIA	Npfsn
ČARGONJA	ČARGONJA	Npfsn
69	69	Mdc
glasova	glas	Ncmpg
2,81	2,81	Mdc
%	%	Z
11.	11.	Mdo

ANA	Ana	Npfsn
TROŠELJ	TROŠELJ	Npfsn
46	46	Mdc
glasova	glas	Ncmpg
1,87	1,87	Mdc
%	%	Z
12.	12.	Mdo
mr.	mr.	Y
sc.	sc.	Y
ŽELJKA	ŽELJKA	Npfsn
JURČIĆ	Jurčić	Npfsn
KLEKOVIĆ	KLEKOVIĆ	Npfsn
,	,	Z
prof.	prof.	Y
76	76	Mdc
glasova	glas	Ncmpg
3,09	3,09	Mdc
%	%	Z
13.	13.	Mdo

SNJEŽANA	SNJEŽANA	Npfsn
PODOBNIK	podobnik	Ncmsn
105	105	Mdc
glasova	glas	Ncmpg
4,27	4,27	Mdc
%	%	Z
14.	14.	Mdo

FRANJO	FRANJO	Npmsn
RUŽIĆ	Ružić	Npmsn
99	99	Mdc
glasova	glas	Ncmpg
4,03	4,03	Mdc
%	%	Z
8.	8.	Mdo
HRVATSKA	Hrvatska	Npfsn
STRANKA	stranka	Ncfsn
PRAVA	pravo	Ncnsg
–	–	Z
HSP	HSP	Npmsn
1.496	1.496	Mdc
glasova	glas	Ncmpg
0,69	0,69	Mdc
%	%	Z
HRVATSKA	Hrvatska	Npfsn
ČISTA	čist	Agpfsny
STRANKA	stranka	Ncfsn
PRAVA	pravo	Ncnsg
–	–	Z
HČSP	hčs	Agpfpgy
AKCIJA	akcija	Ncfpg
ZA	za	Sa
BOLJU	dobar	Agcfsay
HRVATSKU	hrvatski	Agpfsay
–	–	Z
ABH	ab	Agpfpgy
OBITELJSKA	obiteljski	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
OS	OS	Npmsn
1.	1.	Mdo
ŽELJKO	Željko	Npmsn
CVRTILA	CVRTILA	Npmsn
312	312	Mdc
glasova	glas	Ncmpg
20,85	20,85	Mdc
%	%	Z
2.	2.	Mdo
ANDREA	ANDRE	Npmsg
VRBANEK	VRBANE	Npmsg
119	119	Mdc
glasova	glas	Ncmpg
7,95	7,95	Mdc
%	%	Z
3.	3.	Mdo
IVAN	Ivan	Npmsn
ILIČIĆ	ILIČIĆ	Npmsn
71	71	Mdc
glas	glas	Ncmsan
4,74	4,74	Mdc
%	%	Z
4.	4.	Mdo
MARIO	MARIO	Npmsn
FILIPI	FILIPI	Npmsn
42	42	Mdc
glasa	glas	Ncmpg
2,80	2,80	Mdc
%	%	Z
5.	5.	Mdo
JOSIP	Josip	Npmsn
LUKETIĆ	LUKETIĆ	Npmsn
43	43	Mdc
glasa	glas	Ncmpg
2,87	2,87	Mdc
%	%	Z
6.	6.	Mdo
MARTIN	Martin	Npmsn
PERVAN	PERVAN	Npmsn
21	21	Mdc
glas	glas	Ncmsn
1,40	1,40	Mdc
%	%	Z
7.	7.	Mdo
BRANKO	Branko	Npmsn
ŠKRTIĆ	ŠKRTIĆ	Npmsn
53	53	Mdc
glasa	glas	Ncmpg
3,54	3,54	Mdc
%	%	Z
8.	8.	Mdo
JOSIP	Josip	Npmsn
TOMIČIĆ	Tomičić	Npmsn
38	38	Mdc
glasova	glas	Ncmpg
2,54	2,54	Mdc
%	%	Z
9.	9.	Mdo
MLADEN	MLADEN	Npmsn
STRINAVIĆ	STRINAVIĆ	Npmsn
28	28	Mdc
glasova	glas	Ncmpg
1,87	1,87	Mdc
%	%	Z
10.	10.	Mdo

ŽELJKO	Željko	Npmsn
VUKIĆ	Vukić	Npmsn
20	20	Mdc
glasova	glas	Ncmpg
1,33	1,33	Mdc
%	%	Z
11.	11.	Mdo

IVAN	Ivan	Npmsn
ANDRIJEVIĆ	ANDRIJEVIĆ	Npmsn
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
26	26	Mdc
glasova	glas	Ncmpg
1,73	1,73	Mdc
%	%	Z
12.	12.	Mdo

VESELKO	VESELKO	Npmsn
KRNJIĆ	KRNJIĆ	Npmsn
22	22	Mdc
glasa	glas	Ncmsg
1,47	1,47	Mdc
%	%	Z
13.	13.	Mdo

IVAN	Ivan	Npmsn
MARKULIN	MARKULIN	Npmsn
22	22	Mdc
glasa	glas	Ncmsg
1,47	1,47	Mdc
%	%	Z
14.	14.	Mdo

MATIJA	Matija	Npmsn
SOVULJ	SOVULJ	Npmsn
,	,	Z
mag.	mag.	Y
oec.	oec.	Y
47	47	Mdc
glasova	glas	Ncmpg
3,14	3,14	Mdc
%	%	Z
9.	9.	Mdo
STRANKA	stranka	Ncfsn
UMIROVLJENIKA	umirovljenik	Ncmpg
–	–	Z
SU	biti	Var3p
1.024	1.024	Mdc
glasa	glas	Ncmpg
0,47	0,47	Mdc
%	%	Z
1.	1.	Mdo
LAZAR	LAZAR	Npmsn
GRUJIĆ	Grujić	Npmsn
,	,	Z
dipl.	dipl.	Y
oec.	oec.	Y
176	176	Mdc
glasova	glas	Ncmpg
17,18	17,18	Mdc
%	%	Z
2.	2.	Mdo
KRISTINA	KRISTINA	Npfsn
TRAMPUŠ	TRAMPUŠ	Npfsn
,	,	Z
bacc.	bacc.	Y
29	29	Mdc
glasova	glas	Ncmpg
2,83	2,83	Mdc
%	%	Z
3.	3.	Mdo
ĐURO	ĐURO	Npmsn
MUČNJAK	MUČNJAK	Npmsn
14	14	Mdc
glasova	glas	Ncmpg
1,36	1,36	Mdc
%	%	Z
4.	4.	Mdo
MARTINA	MARTINA	Npfsn
VOJVODIĆ	Vojvodić	Npfsn
,	,	Z
mag.	mag.	Y
ing.	ing.	Y
agr	agr	Ncmsan
.	.	Z
47	47	Mdc
glasova	glas	Ncmpg
4,58	4,58	Mdc
%	%	Z
5.	5.	Mdo
DUŠAN	Dušan	Npmsn
PJEVAC	PJEVAC	Npmsn
20	20	Mdc
glasova	glas	Ncmpg
1,95	1,95	Mdc
%	%	Z
6.	6.	Mdo
SILVIJA	SILVIJA	Npfsn
ANDRAŠEK	ANDRAŠEK	Npmsn
DRVENKAR	DRVENKAR	Npmsn
,	,	Z
dipl.	dipl.	Y
oec.	oec.	Y
33	33	Mdc
glasa	glas	Ncmpg
3,22	3,22	Mdc
%	%	Z
7.	7.	Mdo
ŽARKO	žarko	Rgp
DELAČ	DELAČ	Npmsn
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
33	33	Mdc
glasa	glas	Ncmpg
3,22	3,22	Mdc
%	%	Z
8.	8.	Mdo
VLADIMIR	Vladimir	Npmsn
ŠTEFANAC	ŠTEFANAC	Npmsn
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
32	32	Mdc
glasa	glas	Ncmpg
3,12	3,12	Mdc
%	%	Z
9.	9.	Mdo
IVAN	Ivan	Npmsn
PINTUR	PINTUR	Npmsn
21	21	Mdc
glas	glas	Ncmsn
2,05	2,05	Mdc
%	%	Z
10.	10.	Mdo

ANICA	ANICA	Npfsn
JELIĆ	Jelić	Npmsn
33	33	Mdc
glasa	glasati	Vmr3s
3,22	3,22	Mdc
%	%	Z
11.	11.	Mdo

SUZANA	suzai	Agpnsgy
ZRNA	zrno	Ncnsg
,	,	Z
dipl.	dipl.	Y
oec.	oec.	Y
29	29	Mdc
glasova	glas	Ncmpg
2,83	2,83	Mdc
%	%	Z
12.	12.	Mdo

STJEPAN	Stjepan	Npmsn
KAZIĆ	KAZIĆ	Npmsn
9	9	Mdc
glasova	glas	Ncmpg
0,87	0,87	Mdc
%	%	Z
13.	13.	Mdo

GORANKA	GORANKA	Npfsn
SKRBIN	SKRBIN	Npfsn
9	9	Mdc
glasova	glas	Ncmpg
0,87	0,87	Mdc
%	%	Z
14.	14.	Mdo

ANTUN	ANTUN	Npmsn
ŠPORER	ŠPORER	Npmsn
37	37	Mdc
glasova	glas	Ncmpg
3,61	3,61	Mdc
%	%	Z
10.	10.	Mdo

DEMOKRATSKA	demokratski	Agpfsny
STRANKA	stranka	Ncfsn
ŽENA	žena	Ncfpg
–	–	Z
DSŽ	DSŽ	Npmsn
924	924	Mdc
glasa	glas	Ncmpg
0,42	0,42	Mdc
%	%	Z
1.	1.	Mdo
MARIJA	Marija	Npfsn
JELINČIĆ	JELINČIĆ	Npfsn
127	127	Mdc
glasova	glas	Ncmpg
13,74	13,74	Mdc
%	%	Z
2.	2.	Mdo
DUNJA	dunja	Ncfsn
KOVAČIĆ	Kovačić	Npmsn
42	42	Mdc
glasa	glasati	Vmr3s
4,54	4,54	Mdc
%	%	Z
3.	3.	Mdo
KATARINA	Katarina	Npfsn
BURIĆ	Burić	Npfsn
45	45	Mdc
glasova	glas	Ncmpg
4,87	4,87	Mdc
%	%	Z
4.	4.	Mdo
ZVJEZDANA	ZVJEZDANA	Npfsn
KOMLJENOVIĆ	KOMLJENOVIĆ	Npfsn
18	18	Mdc
glasova	glas	Ncmpg
1,94	1,94	Mdc
%	%	Z
5.	5.	Mdo
NADA	Nada	Npfsn
PINEK	PINEK	Npfsn
14	14	Mdc
glasova	glas	Ncmpg
1,51	1,51	Mdc
%	%	Z
6.	6.	Mdo
MILICA	MILICA	Npfsn
VUKIĆ	Vukić	Npmsn
22	22	Mdc
glasa	glasati	Vmr3s
2,38	2,38	Mdc
%	%	Z
7.	7.	Mdo
VESNICA	VESNICA	Npfsn
FERČEC	FERČEC	Npfsn
22	22	Mdc
glasa	glas	Ncmpg
2,38	2,38	Mdc
%	%	Z
8.	8.	Mdo
MARTINA	MARTINA	Npfsn
DRAŽETIĆ	DRAŽETIĆ	Npfsn
14	14	Mdc
glasova	glas	Ncmpg
1,51	1,51	Mdc
%	%	Z
9.	9.	Mdo
NIKOLA	Nikola	Npmsn
KOMLJENOVIĆ	KOMLJENOVIĆ	Npmsn
23	23	Mdc
glasa	glas	Ncmsg
2,48	2,48	Mdc
%	%	Z
10.	10.	Mdo

DEJAN	DEJAN	Npmsn
SUBOTIĆ	Subotić	Npmsn
8	8	Mdc
glasova	glas	Ncmpg
0,86	0,86	Mdc
%	%	Z
11.	11.	Mdo

TOMISLAV	TOMISLAV	Npmsn
BIŠKUP	BIŠKUP	Npmsn
15	15	Mdc
glasova	glas	Ncmpg
1,62	1,62	Mdc
%	%	Z
12.	12.	Mdo

BRANKO	Branko	Npmsn
BUDINSKI	BUDINSKI	Npmsn
3	3	Mdc
glasa	glas	Ncmsg
0,32	0,32	Mdc
%	%	Z
13.	13.	Mdo

BRANIMIR	BRANIMIR	Npmsn
MILANKOVIĆ	Milanković	Npmsn
14	14	Mdc
glasova	glas	Ncmpg
1,51	1,51	Mdc
%	%	Z
14.	14.	Mdo

ZAHIR	ZAHIR	Npmsn
KURBAŠIĆ	KURBAŠIĆ	Npmsn
15	15	Mdc
glasova	glas	Ncmpg
1,62	1,62	Mdc
%	%	Z
11.	11.	Mdo

NEZAVISNA	nezavisan	Agpfsny
LISTA	lista	Ncfsn
STIPE	STIPE	Npmsn
PETRINA	PETRINA	Npfsn
–	–	Z
NLSP	NLSP	Npmsn
778	778	Mdc
glasova	glas	Ncmpg
0,35	0,35	Mdc
%	%	Z
SLOBODNA	slobodan	Agpfsny
HRVATSKA	Hrvatska	Npfsn
–	–	Z
SH	sh	Agpmsayn
POKRET	pokret	Ncmsan
ZAJEDNO	zajedno	Rgp
ODRŽIVI	održiv	Agpmsny
RAZVOJ	razvoj	Ncmsn
HRVATSKE	Hrvatska	Npfsg
–	–	Z
ORaH	orah	Ncmsn
1.	1.	Mdo
mr.	mr.	Y
sc.	sc.	Y
KARINO	KARINO	Npmsn
HROMIN	HROMIN	Npmsn
STURM	STURM	Npmsn
165	165	Mdc
glasova	glas	Ncmpg
21,20	21,20	Mdc
%	%	Z
2.	2.	Mdo
MARINA	MARINA	Npfsn
ČEPRNJA	ČEPRNJA	Npfsn
8	8	Mdc
glasova	glas	Ncmpg
1,02	1,02	Mdc
%	%	Z
3.	3.	Mdo
DAMIR-KRISTIJAN	DAMIR-KRISTIJAN	Npfsn
ROGINA	ROGINA	Npfsn
26	26	Mdc
glasova	glas	Ncmpg
3,34	3,34	Mdc
%	%	Z
4.	4.	Mdo
TEODOR	TEODOR	Npfsn
OSTOJIĆ	Ostojić	Npfsn
19	19	Mdc
glasova	glas	Ncmpg

