direktnu	direktan	Agpfsay
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
u	u	Sl
voznom	vozan	Agpmsly
redu	red	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
skraćuje	skraćivati	Vmr3s
relacija	relacija	Ncfsn
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
prijevoz	prijevoz	Ncmsn
,	,	Z
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
nova	nov	Agpfsny
dozvola	dozvola	Ncfsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
izmjenu	izmjena	Ncfsa
voznog	vozan	Agpmsgy
reda	red	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
izravno	izravno	Rgp
izdavatelju	izdavatelj	Ncmsd
dozvole	dozvola	Ncfsg
,	,	Z
bez	bez	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
usklađivanja	usklađivanje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
vrijeme	vrijeme	Ncnsa
važenja	važenje	Ncnsg
dozvole	dozvola	Ncfsg
,	,	Z
a	a	Cc
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
od	od	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmpg
izdavanja	izdavanje	Ncnsg
dozvole	dozvola	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
odobriti	odobriti	Vmn
upis	upis	Ncmsn
zajedničkog	zajednički	Agpnsgy
obavljanja	obavljanje	Ncnsg
prijevoza	prijevoz	Ncmsg
na	na	Sl
postojećoj	postojeći	Agpfsly
liniji	linija	Ncfsl
.	.	Z

U	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
nova	nov	Agpfsny
dozvola	dozvola	Ncfsn
s	sa	Si
istim	isti	Agpmsiy
rokom	rok	Ncmsi
važenja	važenje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
izdavanje	izdavanje	Ncnsa
dozvole	dozvola	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
prijevoznici	prijevoznik	Ncmpn
koji	koji	Pi-mpn
će	htjeti	Var3p
zajednički	zajednički	Rgp
obavljati	obavljati	Vmn
prijevoz	prijevoz	Ncmsan
dužni	dužan	Agpmpny
su	biti	Var3p
priložiti	priložiti	Vmn
:	:	Z

a	a	Cc
)	)	Z
zajednički	zajednički	Agpmsny
vozni	vozan	Agpmsny
red	red	Ncmsn
,	,	Z

b	b	Qr
)	)	Z
odgovarajuće	odgovarajući	Agpmpay
prijevozne	prijevozni	Agpmpay
kapacitete	kapacitet	Ncmpa
i	i	Cc
najmanje	malo	Rgs
jednog	jedan	Mlcmsay
zaposlenog	zaposlen	Agpmsayy
vozača	vozač	Ncmsay
po	po	Sl
autobusu	autobus	Ncmsl
(	(	Z
priložiti	priložiti	Vmn
popis	popis	Ncmsan
autobusa	autobus	Ncmsg
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
najmu	najam	Ncmsl
i	i	Cc
popis	popis	Ncmsan
zaposlenih	zaposlen	Agpmpgy
vozača	vozač	Ncmpg
)	)	Z
za	za	Sa
sve	sav	Agpmpay
prijevoznike	prijevoznik	Ncmpa
,	,	Z

c	C	Npmsn
)	)	Z
itinerar	itinerar	Ncmsan
,	,	Z

d	d	Qr
)	)	Z
cjenik	cjenik	Ncmsan
za	za	Sa
međunarodne	međunarodni	Agpfpay
linije	linija	Ncfpa
za	za	Sa
treće	treći	Ncfpa
države	država	Ncfsg
,	,	Z

e	e	I
)	)	Z
ugovor	ugovor	Ncmsan
o	o	Sl
zajedničkom	zajednički	Agpnsly
obavljanju	obavljanje	Ncnsl
prijevoza	prijevoz	Ncmsg
,	,	Z

f	f	Qr
