imovina	imovina	Ncfsn
korisnika	korisnik	Ncmpg
jednakovaljana	jednakovaljati	Appfsny
je	biti	Var3s
bankovnom	bankovan	Agpnsdy
jamstvu	jamstvo	Ncnsd
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
pod	pod	Si
uvjetima	uvjet	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
63.	63.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1305/1305.	1305/1305.	Mds

(	(	Z
5	5	Mdc
)	)	Z
Isplaćeni	isplatiti	Agpmsny
predujam	predujam	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
opravdava	opravdavati	Vmr3s
se	sebe	Px--sa
plaćenim	platiti	Agpmpiy
računima	račun	Ncmpi
/	/	Z
situacijama	situacija	Ncfpi
i	i	Cc
dokumentacijom	dokumentacija	Ncfsi
navedenom	navesti	Appmsly
u	u	Sl
članku	članak	Ncmsl
23.	23.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
odobrena	odobren	Agpnpay
ulaganja	ulaganje	Ncnpa
pri	pri	Sl
podnošenju	podnošenje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

Zbroj	zbroj	Ncmsn
predujma	predujam	Ncmsg
i	i	Cc
isplaćenih	isplatiti	Agpfpgy
rata	rata	Ncfpg
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
ukupno	ukupno	Rgp
odobrenog	odobren	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
od	od	Sg
ukupno	ukupno	Rgp
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Jamstva	jamstvo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
