kada	kada	Rgp
navedeni	navesti	Appmpny
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn
podliježu	podlijegati	Vmr3p
obvezi	obveza	Ncfsl
revizije	revizija	Ncfsg
,	,	Z
prilažu	prilagati	Vmr3p
se	sebe	Px--sa
revidirani	revidirati	Appmpny
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn
,	,	Z
a	a	Cc
ako	ako	Cs
je	biti	Var3s
član	član	Ncmsn
te	taj	Pd-fsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
matično	matičan	Agpnsny
društvo	društvo	Ncnsn
odnosno	odnosno	Rgp
nadređena	nadrediti	Appfsny
osoba	osoba	Ncfsn
u	u	Sl
grupi	grupa	Ncfsl
,	,	Z
navedena	navesti	Appfsny
dokumentacija	dokumentacija	Ncfsn
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
na	na	Sl
konsolidiranoj	konsolidirati	Agpfsly
osnovi	osnova	Ncfsl
,	,	Z
kad	kad	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
,	,	Z

3.	3.	Mdo
nacrt	nacrt	Ncmsan
zajedničkog	zajednički	Agpmsgy
plana	plan	Ncmsg
pripajanja	pripajanje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
trgovačkim	trgovački	Agpnply
društvima	društvo	Ncnpl
,	,	Z

4.	4.	Mdo
ovjereni	ovjeriti	Appmpny
izvadak	izvadak	Ncmsan
iz	iz	Sg
sudskog	sudski	Agpmsgy
registra	registar	Ncmsg
Društva	društvo	Ncnsg
koje	koji	Pi-nsn
se	sebe	Px--sa
pripaja	pripajati	Vmr3s
,	,	Z
a	a	Cc
ukoliko	ukoliko	Cs
isti	isti	Agpmsny
ne	ne	Qz
sadrži	sadržati	Vmr3s
podatke	podatak	Ncmpa
o	o	Sl
članovima	član	Ncmpl
društva	društvo	Ncnsg
tada	tada	Rgp
i	i	Cc
ispis	ispis	Ncmsan
iz	iz	Sg
registra	registar	Ncmsg
dionica	dionica	Ncfpg
s	sa	Si
navedenim	naveden	Agpmpiy
podacima	podatak	Ncmpi
članova	član	Ncmpg
društva	društvo	Ncnsg
,	,	Z

5.	5.	Mdo
druge	drugi	Mlompa
podatke	podatak	Ncmpa
na	na	Sa
zahtjev	zahtjev	Ncmsan
Agencije	agencija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
3.	3.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
pripajanje	pripajanje	Ncnsa
koji	koji	Pi-msn
Agenciji	agencija	Ncfsl
podnosi	podnositi	Vmr3s
Društvo	društvo	Ncnsa
koje	koji	Pi-nsn
se	sebe	Px--sa
pripaja	pripajati	Vmr3s
Društvu	društvo	Ncnsd
preuzimatelju	preuzimatelj	Ncmsd
sa	sa	Si
sjedištem	sjedište	Ncnsi
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
,	,	Z
7.	7.	Mdo
,	,	Z
9.	9.	Mdo
i	i	Cc
10.	10.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
preuzimatelj	preuzimatelj	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
