465.830	465.830	Mdc
kn	KN	Ncmpg
2,63	2,63	Mdc
%	%	Z
92,50	92,50	Mdc
116.457,50	116.457,50	Mdc
3,70	3,70	Mdc
104	104	Mdc
Tvornica	tvornica	Ncfpg
ugljenografitnih	ugljenografitni	Agpfpgy
i	i	Cc
elektrokontaktnih	elektrokontaktan	Agpmpgy
proizvoda	proizvod	Ncmpg
TUP	tup	Agpmsnn
d.	d.	Y
d.	d.	Y
,	,	Z
Dubrovnik	Dubrovnik	Npmsan
paket	paket	Ncmsan
1	1	Mdc
4.575	4.575	Mdc
200	200	Mdc
kn	KN	Y
915.000	915.000	Mdc
kn	KN	Y
3,05	3,05	Mdc
%	%	Z
50,00	50,00	Mdc
228.750,00	228.750,00	Mdc
2,00	2,00	Mdc
105	105	Mdc
Tvornica	tvornica	Ncfpg
ugljenografitnih	ugljenografitni	Agpfpgy
i	i	Cc
elektrokontaktnih	elektrokontaktan	Agpmpgy
proizvoda	proizvod	Ncmpg
TUP	tup	Agpmsnn
d.	d.	Y
d.	d.	Y
,	,	Z
Dubrovnik	Dubrovnik	Npmsan
paket	paket	Ncmsan
2	2	Mdc
4.575	4.575	Mdc
200	200	Mdc
kn	KN	Y
915.000	915.000	Mdc
kn	KN	Y
3,05	3,05	Mdc
%	%	Z
50,00	50,00	Mdc
228.750,00	228.750,00	Mdc
2,00	2,00	Mdc
106	106	Mdc
Unija-sabirač	Unija-sabirač	Y
d.	d.	Y
d.	d.	Y
,	,	Z
Šibenik	Šibenik	Npmsn
1.039	1.039	Mdc
380,00	380,00	Mdc
394.820	394.820	Mdc
kn	KN	Y
19,06	19,06	Mdc
%	%	Z
95,00	95,00	Mdc
98.705,00	98.705,00	Mdc
3,80	3,80	Mdc
107	107	Mdc
Union	union	Ncmsn
d.	d.	Y
d.	d.	Y
,	,	Z
Zagreb	Zagreb	Npmsn
27	27	Mdc
3.800	3.800	Mdc
kn	KN	Ncmpg
102.600	102.600	Mdc
kn	KN	Ncmpg
0,40	0,40	Mdc
%	%	Z
950,00	950,00	Mdc
25.650,00	25.650,00	Mdc
38,00	38,00	Mdc
108	108	Mdc
Velekem	Velek	Npmsi
d.	d.	Y
d.	d.	Y
,	,	Z
Zagreb	Zagreb	Npmsn
2.505	2.505	Mdc
390	390	Mdc
kn	KN	Y
976.950	976.950	Mdc
kn	KN	Y
3,48	3,48	Mdc
%	%	Z
97,50	97,50	Mdc
244.237,50	244.237,50	Mdc
3,90	3,90	Mdc
109	109	Mdc
Veterinarska	veterinarski	Agpfsny
stanica	stanica	Ncfsn
d.o.o.	d.o.o.	Y
,	,	Z
Zaprešić	Zaprešić	Npmsn
383	383	Mdc
1.900	1.900	Mdc
kn	KN	Ncmpg
727.700	727.700	Mdc
kn	KN	Ncmpg
29,10	29,10	Mdc
%	%	Z
475,00	475,00	Mdc
181.925,00	181.925,00	Mdc
19,00	19,00	Mdc
110	110	Mdc
Vetrinarska	vetrinarski	Agpfsny
ambulanta	ambulanta	Ncfsn
Knin	Knin	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
Knin	Knin	Npmsn
103	103	Mdc
100	100	Mdc
kn	KN	Y
10.300	10.300	Mdc
kn	KN	Y
3,60	3,60	Mdc
%	%	Z
25,00	25,00	Mdc
2.575,00	2.575,00	Mdc
1,00	1,00	Mdc
111	111	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
1	1	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
112	112	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
2	2	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
113	113	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
3	3	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
114	114	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
4	4	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
115	115	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
5	5	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
116	116	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
6	6	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
117	117	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
7	7	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
118	118	Mdc
