ribarstva	ribarstvo	Ncnsg
nadležne	nadležan	Agpfsgy
za	za	Sa
korisnika	korisnik	Ncmpg
,	,	Z
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
dostava	dostava	Ncfsn
smatrati	smatrati	Vmn
obavljenom	obaviti	Ncfsi
istekom	istek	Sg
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Datumom	datum	Ncmsi
podnošenja	podnošenje	Ncnsg
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
smatra	smatrati	Vmr3s
se	sebe	Px--sa
datum	datum	Ncmsn
dostave	dostava	Ncfsg
tražene	tražen	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
tražene	tražen	Agpfsgy
dopune	dopuna	Ncfsg
/	/	Z
obrazloženja	obrazloženje	Ncnsg
/	/	Z
ispravka	ispravka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Za	za	Sa
nepravovremeno	nepravovremeno	Rgp
podnesene	podnesen	Agpfpay
i	i	Cc
nepotpuno	nepotpuno	Rgp
dopunjene	dopuniti	Appmpay
Zahtjeve	zahtjev	Ncmpa
za	za	Sa
potporu	potpora	Ncfsa
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Potpuni	potpun	Agpmpny
i	i	Cc
pravovremeno	pravovremeno	Rgp
dopunjeni	dopuniti	Appmpny
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
ulaze	ulaziti	Vmr3p
u	u	Sa
daljnju	daljnji	Agpfsay
obradu	obrada	Ncfsa
.	.	Z

Rangiranje	rangiranje	Ncnsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
pristiglih	pristigao	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
svim	sav	Agpmpdy
Zahtjevima	zahtjev	Ncmpd
za	za	Sa
potporu	potpora	Ncfsa
dodijelit	dodijeliti	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
bodovi	bod	Ncmpn
temeljem	temelj	Ncmsi
kriterija	kriterij	Ncmsg
za	za	Sa
odabir	odabir	Ncmsan
koji	koji	Pi-mpn
su	biti	Var3p
navedeni	navesti	Appmpny
u	u	Sl
Prilogu	Prilog	Npmsl
I.	I.	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
