nepotpuni	nepotpun	Agpmpny
(	(	Z
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
izdalo	izdati	Vmp-sn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
Zahtjeve	zahtjev	Ncmpa
sukladno	sukladan	Agpnsay
stavku	stavka	Ncfsa
3.	3.	Mdo
točki	točka	Ncfsl
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
trenutak	trenutak	Ncmsn
slanja	slanje	Ncnsg
(	(	Z
datum	datum	Ncmsn
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
slanja	slanje	Ncnsg
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
ili	ili	Cc
trenutak	trenutak	Ncmsan
zaprimanja	zaprimanje	Ncnsg
(	(	Z
datum	datum	Ncmsn
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
u	u	Sl
Upravljačko	Upravljačko	Npfsl
ukoliko	ukoliko	Cs
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
osobno	osobno	Rgp
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Vremenskim	vremenski	Agpmsiy
rokom	rok	Ncmsi
potrebnim	potreban	Agpmsiy
za	za	Sa
podnošenje	podnošenje	Ncnsa
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
Zahtjeve	zahtjev	Ncmpa
sukladno	sukladan	Agpnsay
stavku	stavka	Ncfsa
