navedeno	naveden	Agpnsny
dizalo	dizalo	Ncnsn
ili	ili	Cc
sigurnosna	sigurnosni	Agpfsny
komponenta	komponenta	Ncfsn
za	za	Sa
dizala	dizalo	Ncnpa
sve	sav	Agpmpay
relevantne	relevantan	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Relevantni	relevantan	Agpmpny
gospodarski	gospodarski	Agpmpny
subjekti	subjekt	Ncmpn
prema	prema	Sl
potrebi	potreba	Ncfsl
surađuju	surađivati	Vmr3p
s	sa	Si
nadležnim	nadležan	Agpmpiy
inspekcijskim	inspekcijski	Agpnsiy
tijelom	tijelo	Ncnsi
u	u	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
tijekom	tijekom	Sg
ocjenjivanja	ocjenjivanje	Ncnsg
iz	iz	Sg
prvog	prvi	Mlomsg
stavka	stavak	Ncmsg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
ustanovi	ustanoviti	Vmr3s
da	da	Cs
dizalo	dizalo	Ncnsn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ono	on	Pp3nsn
će	htjeti	Var3s
bez	bez	Sg
odgode	odgoda	Ncfsg
zahtijevati	zahtijevati	Vmn
da	da	Cs
ugraditelj	ugraditelj	Pi-msn
provede	provesti	Vmr3s
sve	sav	Agpfpay
odgovarajuće	odgovarajući	Agpfpay
korektivne	korektivan	Agpfpay
radnje	radnja	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
dizalo	dizati	Vmp-sn
uskladio	uskladiti	Vmp-sm
s	sa	Si
tim	taj	Pd-mpi
zahtjevima	zahtjev	Ncmpi
u	u	Sl
razumnom	razuman	Agpmsly
roku	rok	Ncmsl
koji	koji	Pi-msan
propišu	propisati	Vmr3p
i	i	Cc
koji	koji	Pi-msn
je	biti	Var3s
primjeren	primjeriti	Appmsnn
naravi	narav	Ncfsg
