http://ec.europa.eu/budget/inforeuro/	http://ec.europa.eu/budget/inforeuro	Agpmpgy
)	)	Z
ili	ili	Cc

2.	2.	Mdo
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
kupio	kupiti	Vmp-sm
strana	stran	Agpnpay
sredstva	sredstvo	Ncnpa
plaćanja	plaćanje	Ncnsg
po	po	Sl
nižem	nizak	Agpmsly
tečaju	tečaj	Ncmsl
od	od	Sg
ECB	ECB	Npmsn
u	u	Sl
mjesecu	mjesec	Ncmsl
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
iskazanom	iskazati	Ncfsi
na	na	Sa
šest	šest	Mlc
decimala	decimala	Ncfpg
,	,	Z
obračun	obračun	Ncmsn
potpore	potpora	Ncfsg
temeljit	temeljiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
ostvarenom	ostvariti	Agpmsly
tečaju	tečaj	Ncmsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
dostavi	dostaviti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
odlučiti	odlučiti	Vmn
o	o	Sl
poništenju	poništenje	Ncnsl
obveze	obveza	Ncfsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
dostavi	dostaviti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
nakon	nakon	Sg
propisanog	propisati	Agpmsgy
roka	rok	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
izdati	izdati	Vmn
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
obrade	obrada	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
utvrdi	utvrditi	Vmr3s
ukupna	ukupan	Agpfsny
nepravilnost	nepravilnost	Ncfsn
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
nepravilnosti	nepravilnost	Ncfsl
utvrđene	utvrditi	Appfpny
u	u	Sl
