bošnjačke	bošnjački	Agpfpay
,	,	Z
crnogorske	crnogorski	Agpfsgy
,	,	Z
makedonske	makedonski	Agpfsgy
i	i	Cc
slovenske	slovenski	Agpfsgy
nacionalne	nacionalan	Agpfsgy
manjine	manjina	Ncfsg
u	u	Sl
XII	xia	Ncfsl
.	.	Z
izbornoj	izborni	Agpfsly
jedinici	jedinica	Ncfsl
i	i	Cc

–	–	Z
OZ-17	OZ-17	Mdc
–	–	Z
Očitovanje	očitovanje	Ncnsn
kandidatkinje	kandidatkinja	Ncfsg
/	/	Z
kandidata	kandidat	Ncmsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
kandidature	kandidatura	Ncfsg
.	.	Z

5.	5.	Mdo
Oznake	oznaka	Ncfpn
,	,	Z
nazivi	naziv	Ncmpn
i	i	Cc
sadržaj	sadržaj	Ncmsn
obrasca	obrazac	Ncmsg
sastavni	sastavan	Agpmsny
su	biti	Var3p
dio	dio	Ncmsn
ovih	ovaj	Pd-fpg
Obvezatnih	obvezatan	Agpfpgy
uputa	uputa	Ncfpg
.	.	Z

6.	6.	Mdo
Ove	ovaj	Pd-fsg
Obvezatne	obvezatan	Agpfpny
upute	uputa	Ncfpn
stupaju	stupati	Vmr3p
na	na	Sa
snagu	snaga	Ncfsa
30.	30.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo
,	,	Z
a	a	Cc
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
i	i	Cc
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
www.izbori.hr	www.izbori.hr	X
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
03/16	03/16	Mdc
-	-	Z
01/29	01/29	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
507/11	507/11	Mdc
-	-	Z
16	16	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
28.	28.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Branko	Branko	Npmsn
Hrvatin	Hrvatin	Npmsn
,	,	Z
dipl.	dipl.	Y
iur.	iur.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

OBRASCI	obrazac	Ncmpn

