vanjskih	vanjski	Agpfpgy
i	i	Cc
unutarnjih	unutarnji	Agpmpgy
uvjeta	uvjet	Ncmpg
građevine	građevina	Ncfsg
,	,	Z

–	–	Sl
neto	neto	Agpfsly
površini	površina	Ncfsl
zgrade	zgrada	Ncfsg
i	i	Cc
površini	površina	Ncfsl
grijanog	grijati	Appnsgy
i	i	Cc
hlađenog	hladiti	Appmsgy
dijela	dio	Ncmsg
zgrade	zgrada	Ncfsg
,	,	Z

–	–	Sl
predviđenoj	predvidjeti	Agpfsly
potrošnji	potrošnja	Ncfsl
energije	energija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
vode	voda	Ncfsg
nakon	nakon	Sg
primjene	primjena	Ncfsg
mjera	mjera	Ncfpg
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
,	,	Z

–	–	Sl
zajamčenoj	zajamčiti	Agpfsly
uštedi	ušteda	Ncfsl
energije	energija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
vode	voda	Ncfsg
,	,	Z
po	po	Sl
energentima	energent	Ncmpl
;	;	Z

4.	4.	Mdo
postupcima	postupak	Ncmpi
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
ušteda	ušteda	Ncfpg
energije	energija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
uštede	ušteda	Ncfpn
vode	voda	Ncfsg
;	;	Z

5.	5.	Mdo
vrijednosti	vrijednost	Ncfsg
uštede	ušteda	Ncfsg
energije	energija	Ncfsg
;	;	Z

6.	6.	Mdo
načinu	način	Ncmsl
financiranja	financiranje	Ncnsg
ulaganja	ulaganje	Ncnsg
u	u	Sa
mjere	mjera	Ncfpa
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
;	;	Z

7.	7.	Mdo
načinu	način	Ncmsl
plaćanja	plaćanje	Ncnsg
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
;	;	Z

8.	8.	Mdo
načinu	način	Ncmsl
obračuna	obračun	Ncmsg
naknade	naknada	Ncfsg
za	za	Sa
energetsku	energetski	Agpfsay
uslugu	usluga	Ncfsa
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
način	način	Ncmsan
indeksiranja	indeksiranje	Ncnsg
naknade	naknada	Ncfsg
za	za	Sa
energetsku	energetski	Agpfsay
uslugu	usluga	Ncfsa
;	;	Z

9.	9.	Mdo
razdoblju	razdoblje	Ncnsl
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
sklapa	sklapati	Vmr3s
Ugovor	ugovor	Ncmsn
;	;	Z

10.	10.	Mdo
režimu	režim	Ncmsl
korištenja	korištenje	Ncnsg
građevine	građevina	Ncfsg
;	;	Z

11.	11.	Mdo
obvezi	obveza	Ncfsl
i	i	Cc
pravima	pravo	Ncnpi
naručitelja	naručitelj	Ncmpg
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
;	;	Z

12.	12.	Mdo
obvezi	obveza	Ncfsl
i	i	Cc
pravima	pravo	Ncnpi
pružatelja	pružatelj	Ncmpg
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
;	;	Z

13.	13.	Mdo
opisu	opis	Ncmsl
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
mjere	mjera	Ncfsg
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
uštede	ušteda	Ncfpn
vode	voda	Ncfsg
;	;	Z

14.	14.	Mdo
planu	plan	Ncmsl
primjene	primjena	Ncfsg
mjera	mjera	Ncfpg
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
;	;	Z

15.	15.	Mdo
planu	plan	Ncmsl
praćenja	praćenje	Ncnsg
,	,	Z
mjerenja	mjerenje	Ncnsg
i	i	Cc
verifikacije	verifikacija	Ncfsg
ušteda	ušteda	Ncfsn
energije	energija	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravilnikom	pravilnik	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
praćenje	praćenje	Ncnsa
,	,	Z
mjerenje	mjerenje	Ncnsa
i	i	Cc
verifikacija	verifikacija	Ncfpg
ušteda	ušteda	Ncfpg
;	;	Z

16.	16.	Mdo
cijenama	cijena	Ncfpi
energije	energija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
vode	voda	Ncfpa
po	po	Sl
izvorima	izvor	Ncmpl
važeće	važeći	Agpfsgy
na	na	Sa
dan	dan	Ncmsan
objave	objava	Ncfsg
postupka	postupak	Ncmsg
nabave	nabava	Ncfsg
;	;	Z

17.	17.	Mdo
planu	plan	Ncmsl
plaćanja	plaćanje	Ncnsg
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
;	;	Z

18.	18.	Mdo
nazivu	naziv	Ncmsl
i	i	Cc
broju	broj	Ncmsl
računa	račun	Ncmsg
na	na	Sa
koji	koji	Pi-msan
naručitelj	naručitelj	Ncmsan
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
plaća	plaćati	Vmr3s
uslugu	usluga	Ncfsa
;	;	Z

19.	19.	Mdo
planu	plan	Ncmsl
uštede	ušteda	Ncfsg
;	;	Z

20.	20.	Mdo
sadržaju	sadržaj	Ncmsl
završnog	završan	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
primjeni	primjena	Ncfsl
mjera	mjera	Ncfpg
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Opis	opis	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
mjere	mjera	Ncfsg
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
,	,	Z
plan	plan	Ncmsn
primjene	primjena	Ncfsg
mjera	mjera	Ncfsn
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
,	,	Z
tehničke	tehnički	Agpfsgy
specifikacije	specifikacija	Ncfsg
opreme	oprema	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
ugrađuje	ugrađivati	Vmr3s
,	,	Z
a	a	Cc
osobito	osobito	Rgp
detaljni	detaljan	Agpmsny
kvantitativno-vrijednosni	kvantitativno-vrijednosan	Agpmsny
račun	račun	Ncmsn
za	za	Sa
predložene	predložen	Agpfpay
mjere	mjera	Ncfpa
za	za	Sa
poboljšanje	poboljšanje	Ncnsa
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
te	te	Cc
vrijednost	vrijednost	Ncfsn
ugovorenih	ugovoriti	Agpnpgy
ulaganja	ulaganje	Ncnpg
,	,	Z
koja	koji	Pi-fsn
uključuju	uključivati	Vmr3p
sve	sav	Agpmpay
predviđene	predvidjeti	Agpmpay
radove	rad	Ncmpa
i	i	Cc
materijale	materijal	Ncmpa
,	,	Z
troškove	trošak	Ncmpa
izrade	izrada	Ncfsg
investicijske	investicijski	Agpfsgy
,	,	Z
projektne	projektni	Agpfsgy
i	i	Cc
tehničke	tehnički	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
,	,	Z
troškove	trošak	Ncmpa
financiranja	financiranje	Ncnsg
,	,	Z
osiguranja	osiguranje	Ncnsg
od	od	Sg
rizika	rizik	Ncmsg
te	te	Cc
