području	područje	Ncnsl
;	;	Z

e.	e.	Mro
»	»	Z
Roboti	robot	Ncmpn
«	«	Z
,	,	Z
kontrolori	kontrolor	Ncmpn
»	»	Z
robota	robot	Ncmsg
«	«	Z
,	,	Z
»	»	Z
krajnje	krajnji	Agpfsgy
jedinice	jedinica	Ncfsg
«	«	Z
koji	koji	Pi-mpn
imaju	imati	Vmr3p
bilo	bilo	Qo
koju	koji	Pi-fsa
od	od	Sg
sljedećih	sljedeći	Agpfpgy
značajki	značajka	Ncfpg
:	:	Z

1.	1.	Mdo
posebno	posebno	Rgp
su	biti	Var3p
namijenjeni	namijeniti	Appmpny
vojnoj	vojni	Agpfsly
uporabi	uporaba	Ncfsl
;	;	Z

2.	2.	Mdo
uključuju	uključivati	Vmr3p
sredstva	sredstvo	Ncnpa
za	za	Sa
zaštitu	zaštita	Ncfsa
hidrauličnih	hidrauličan	Agpfpgy
linija	linija	Ncfpg
od	od	Sg
puknuća	puknuće	Ncnsg
uzrokovanih	uzrokovati	Appfpgy
balističkim	balistički	Agpmpiy
fragmentima	fragment	Ncmpi
(	(	Z
npr.	npr.	Y
uključuju	uključivati	Vmr3p
samoljepljive	samoljepljiv	Agpfpny
linije	linija	Ncfpn
)	)	Z
te	te	Cc
koriste	koristiti	Vmr3p
hidrauličke	hidraulički	Agpfpay
tekućine	tekućina	Ncfpa
točke	točka	Ncfsg
žarišta	žarište	Ncnsg
veće	velik	Agcfpny
od	od	Sg
839	839	Mdc
K	k	Y
(	(	Z
566	566	Mdc
°	°	Z
C	C	X
)	)	Z
;	;	Z
ili	ili	Cc

3.	3.	Mdo
posebno	posebno	Rgp
su	biti	Var3p
konstruirani	konstruirati	Appmpny
ili	ili	Cc
vrednovani	vrednovati	Agpmpny
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
okruženju	okruženje	Ncnsl
elektromagnetskog	elektromagnetski	Agpmsgy
impulsa	impuls	Ncmsg
(	(	Z
EMP	EMP	Npmsn
)	)	Z
;	;	Z

Tehnička	tehnički	Agpfsny
napomena	napomena	Ncfsn
:	:	Z

Elektromagnetski	elektromagnetski	Agpmsny
impuls	impuls	Ncmsn
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
uzajamni	uzajaman	Agpmsayn
nenamjerni	nenamjeran	Agpmsayn
utjecaj	utjecaj	Ncmsan
uzrokovan	uzrokovati	Appmsnn
elektromagnetskom	elektromagnetski	Agpfsiy
radijacijom	radijacija	Ncfsi
obližnje	obližnji	Agpfsgy
opreme	oprema	Ncfsg
(	(	Z
npr.	npr.	Y
strojeva	stroj	Ncmpg
,	,	Z
naprava	naprava	Ncfsn
ili	ili	Cc
elektroničkih	elektronički	Agpmpgy
uređaja	uređaj	Ncmpg
)	)	Z
ili	ili	Cc
udarom	udar	Ncmsi
groma	grom	Ncmsg
