jedne	jedan	Mlcfsg
godine	godina	Ncfsg
života	život	Ncmsg
koja	koji	Pi-fsn
su	biti	Var3p
bez	bez	Sg
svijesti	svijest	Ncfsg
.	.	Z

3.2.	3.2.	Mdo

Održavanje	održavanje	Ncnsn
prohodnosti	prohodnost	Ncfsg
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
i	i	Cc
ventilacija	ventilacija	Ncfsn

Znanja	znanje	Ncnpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
opisati	opisati	Vmn
korake	korak	Ncmpa
u	u	Sl
postupku	postupak	Ncmsl
otvaranja	otvaranje	Ncnsg
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
zabacivanjem	zabacivanje	Ncnsi
glave	glava	Ncfsg
uz	uz	Sa
podizanje	podizanje	Ncnsa
brade	brada	Ncfsg
ovisno	ovisno	Rgp
o	o	Sl
dobi	doba	Ncfsl
djeteta	dijete	Ncnsg

2.	2.	Mdo
opisati	opisati	Vmn
korake	korak	Ncmpa
u	u	Sl
postupku	postupak	Ncmsl
otvaranja	otvaranje	Ncnsg
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
potiskivanjem	potiskivanje	Ncnsi
donje	donji	Agpfsgy
čeljusti	čeljust	Ncfsg
prema	prema	Sl
naprijed	naprijed	Rgp
i	i	Qo
gore	zlo	Rgp
kod	kod	Sg
djece	dijete	Ncfsg

3.	3.	Mdo
nabrojiti	nabrojiti	Vmn
indikacije	indikacija	Ncfpa
i	i	Cc
kontraindikacije	kontraindikacija	Ncfsg
za	za	Sa
postavljanje	postavljanje	Ncnsa
orofaringealnog	orofaringealan	Agpmsgy
tubusa	tubus	Ncmsg
kod	kod	Sg
djece	dijete	Ncnpg

4.	4.	Mdo
nabrojiti	nabrojiti	Vmn
indikacije	indikacija	Ncfpa
i	i	Cc
kontraindikacije	kontraindikacija	Ncfsg
za	za	Sa
postavljanje	postavljanje	Ncnsa
nazofaringealnog	nazofaringealan	Agpmsgy
tubusa	tubus	Ncmsg
kod	kod	Sg
djece	dijete	Ncnpg

5.	5.	Mdo
navesti	navesti	Vmn
indikacije	indikacija	Ncfpa
za	za	Sa
ventilaciju	ventilacija	Ncfsa
maskom	maska	Ncfsi
sa	sa	Si
samoširećim	samošireći	Agpmsiy
balonom	balon	Ncmsi
i	i	Cc
spremnikom	spremnik	Ncmsi
kod	kod	Sg
djece	dijete	Ncnpg

6.	6.	Mdo
opisati	opisati	Vmn
postupak	postupak	Ncmsan
aspiracije	aspiracija	Ncfsg
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
.	.	Z

Vještine	vještina	Ncfpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
otvaranja	otvaranje	Ncnsg
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
metodom	metoda	Sg
zabacivanja	zabacivanje	Ncnsg
glave	glava	Ncfsg
uz	uz	Sa
podizanje	podizanje	Ncnsa
brade	brada	Ncfsg
ovisno	ovisno	Rgp
o	o	Sl
dobi	doba	Ncfsl
djeteta	dijete	Ncnsg

2.	2.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
otvaranja	otvaranje	Ncnsg
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
metodom	metoda	Sg
potiskivanja	potiskivanje	Ncnsg
donje	donji	Agpfsgy
čeljusti	čeljust	Ncfsg
prema	prema	Sl
naprijed	naprijed	Rgp
kod	kod	Sg
djece	dijete	Ncnpg

3.	3.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
mjerenja	mjerenje	Ncnsg
i	i	Cc
postavljanja	postavljanje	Ncnsg
orofaringealnog	orofaringealan	Agpmsgy
tubusa	tubus	Ncmsg
kod	kod	Sg
djece	dijete	Ncnpg

4.	4.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
mjerenja	mjerenje	Ncnsg
i	i	Cc
postavljanja	postavljanje	Ncnsg
nazofaringealnog	nazofaringealan	Agpmsgy
tubusa	tubus	Ncmsg
kod	kod	Sg
djece	dijete	Ncnpg

5.	5.	Mdo
pokazati	pokazati	Vmn
ventilaciju	ventilacija	Ncfsa
maskom	maska	Ncfsi
sa	sa	Si
samoširećim	samošireći	Agpmsiy
balonom	balon	Ncmsi
i	i	Cc
spremnikom	spremnik	Ncmsi
kod	kod	Sg
djece	dijete	Ncnpg

6.	6.	Mdo
demonstrirati	demonstrirati	Vmn
aspiraciju	aspiracija	Ncfsa
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
kod	kod	Sg
djece	dijete	Ncnpg
.	.	Z

4.	4.	Mdo
POROD	porod	Ncmsn

Završetkom	završetak	Ncmsi
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
opisati	opisati	Vmn
fiziološki	fiziološki	Agpmsayn
tijek	tijek	Ncmsan
poroda	porod	Ncmsg
,	,	Z
procijeniti	procijeniti	Vmn
rodilju	rodilja	Ncfsa
,	,	Z
voditi	voditi	Vmn
porod	porod	Ncmsan
,	,	Z
zbrinuti	zbrinuti	Vmn
majku	majka	Ncfsa
nakon	nakon	Sg
poroda	porod	Ncmsg
te	te	Cc
procijeniti	procijeniti	Vmn
i	i	Cc
zbrinuti	zbrinuti	Vmn
novorođenče	novorođenče	Ncnsa
.	.	Z

Znanja	znanje	Ncnpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
opisati	opisati	Vmn
ADCDEFG	ADCDEFG	Sa
procjenu	procjena	Ncfsa
trudnice	trudnica	Ncfsg

2.	2.	Mdo
opisati	opisati	Vmn
fiziološki	fiziološki	Agpmsayn
tijek	tijek	Ncmsan
i	i	Cc
vođenje	vođenje	Ncnsa
poroda	porod	Ncmsg

3.	3.	Mdo
navesti	navesti	Vmn
postupke	postupak	Ncmpa
zbrinjavanja	zbrinjavanje	Ncnsg
majke	majka	Ncfsg
nakon	nakon	Sg
poroda	porod	Ncmsg

4.	4.	Mdo
opisati	opisati	Vmn
početnu	početan	Agpfsay
procjenu	procjena	Ncfsa
i	i	Cc
zbrinjavanje	zbrinjavanje	Ncnsa
novorođenčeta	novorođenče	Ncnsg

5.	5.	Mdo
navesti	navesti	Vmn
komplikacije	komplikacija	Ncfpa
poroda	porod	Ncmsg

6.	6.	Mdo
opisati	opisati	Vmn
liječenje	liječenje	Ncnsa
komplikacija	komplikacija	Ncfpg
(	(	Z
krvarenje	krvarenje	Ncnsn
)	)	Z
.	.	Z

Vještine	vještina	Ncfpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
demonstrirati	demonstrirati	Vmn
početnu	početan	Agpfsay
procjenu	procjena	Ncfsa
trudnice	trudnica	Ncfsg

2.	2.	Mdo
demonstrirati	demonstrirati	Vmn
vođenje	vođenje	Ncnsa
poroda	porod	Ncmsg
na	na	Sl
modelu	model	Ncmsl
za	za	Sa
porod	porod	Ncmsan

3.	3.	Mdo
pokazati	pokazati	Vmn
početnu	početan	Agpfsay
procjenu	procjena	Ncfsa
i	i	Cc
zbrinjavanje	zbrinjavanje	Ncnsa
novorođenčeta	novorođenče	Ncnsg
.	.	Z

III	III	Mrc
.	.	Z

Edukacijski	edukacijski	Agpmsny
program	program	Ncmsn
za	za	Sa
medicinske	medicinski	Agpfpay
sestre	sestra	Ncfpa
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
u	u	Sl
timu	tim	Ncmsl
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg

Članak	članak	Ncmsn
10.	10.	Mdo

Edukacijski	edukacijski	Agpmsny
program	program	Ncmsn
za	za	Sa
medicinske	medicinski	Agpfpay
sestre	sestra	Ncfpa
–	–	Z
tehničare	tehničar	Ncmpa
u	u	Sl
timu	tim	Ncmsl
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
obuhvaća	obuhvaćati	Vmr3s
edukacijske	edukacijski	Agpfpay
vježbe	vježba	Ncfpa
za	za	Sa
medicinske	medicinski	Agpfpay
sestre	sestra	Ncfpa
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
i	i	Cc
edukacijske	edukacijski	Agpfpny
vježbe	vježba	Ncfpn
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfpg
za	za	Sa
medicinske	medicinski	Agpfpay
sestre	sestra	Ncfpa
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfpay
službe	služba	Ncfpa
koje	koji	Pi-fpn
medicinskim	medicinski	Agpfpiy
sestrama	sestra	Ncfpi
–	–	Z
tehničarima	tehničar	Ncmpi
omogućuju	omogućivati	Vmr3p
stjecanje	stjecanje	Ncnsa
i	i	Cc
održavanje	održavanje	Ncnsa
kompetencija	kompetencija	Ncfpg
potrebnih	potreban	Agpfpgy
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
timu	tim	Ncmsl
na	na	Sl
terenu	teren	Ncmsl
.	.	Z

Medicinske	medicinski	Agpfpny
sestre-medicinski	sestre-medicinski	Agpmpny
tehničari	tehničar	Ncmpn
u	u	Sl
timu	tim	Ncmsl
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
obvezni	obvezan	Agpmpny
su	biti	Var3p
obnoviti	obnoviti	Vmn
stečena	steći	Agpnpay
znanja	znanje	Ncnpa
i	i	Cc
vještine	vještina	Ncfsg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
datuma	datum	Ncmsg
izdavanja	izdavanje	Ncnsg
potvrdnice	potvrdnica	Ncfsg
koju	koji	Pi-fsa
izdaje	izdavati	Vmr3s
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
hitnu	hitan	Agpfsay
medicinu	medicina	Ncfsa
nakon	nakon	Sg
uspješno	uspješno	Rgp
završenog	završen	Agpmsgy
edukacijskog	edukacijski	Agpmsgy
programa	program	Ncmsg
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

Trajanje	trajanje	Ncnsn
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
je	biti	Var3s
28	28	Mdc
školskih	školski	Agpmpgy
sati	sat	Ncmpg
prema	prema	Sl
Planu	plan	Ncmsl
i	i	Cc
programu	program	Ncmsl
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
za	za	Sa
doktore	doktor	Ncmpa
medicine	medicina	Ncfsg
i	i	Cc
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
sukladno	sukladno	Rgp
Prilogu	Prilog	Npmsd
6.	6.	Mdo
Trajanje	trajanje	Ncnsn
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfsn
je	biti	Var3s
14	14	Mdc
školskih	školski	Agpmpgy
sati	sat	Ncmpg
prema	prema	Sl
Planu	plan	Ncmsl
i	i	Cc
programu	program	Ncmsl
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfpg
za	za	Sa
doktore	doktor	Ncmpa
medicine	medicina	Ncfsg
i	i	Cc
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
sukladno	sukladno	Rgp
Prilogu	Prilog	Npmsd
7.	7.	Mdo

Popis	popis	Ncmsn
opreme	oprema	Ncfsg
potrebne	potreban	Agpfpny
za	za	Sa
provođenje	provođenje	Ncnsa
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Prilogu	prilog	Ncmsl
8.	8.	Mdo
Oprema	oprema	Ncfsn
za	za	Sa
provođenje	provođenje	Ncnsa
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
doktora	doktor	Ncmpg
medicine	medicina	Ncfsg
i	i	Cc
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
.	.	Z

Na	na	Sl
završetku	završetak	Ncmsl
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
za	za	Sa
doktore	doktor	Ncmpa
medicine	medicina	Ncfsg
i	i	Cc
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
i	i	Cc
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfpg
za	za	Sa
doktore	doktor	Ncmpa
medicine	medicina	Ncfsg
i	i	Cc
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
–	–	Z
medicinske	medicinski	Agpmpay
tehničare	tehničar	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
polaznik	polaznik	Ncmsn
pristupa	pristup	Ncmsg
pismenoj	pismen	Agpfsly
i	i	Cc
praktičnoj	praktičan	Agpfsly
provjeri	provjera	Ncfsl
znanja	znanje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Očekivani	očekivati	Appmpny
ishodi	ishod	Ncmpn
učenja	učenje	Ncnsg
po	po	Sl
tematskim	tematski	Agpfply
cjelinama	cjelina	Ncfpl
su	biti	Var3p
sljedeći	sljedeći	Agpmsny
:	:	Z

1.	1.	Mdo
TRAUMA	trauma	Ncfsn

Završetkom	završetak	Ncmsi
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
