Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
najkasnije	kasno	Rgs
do	do	Sg
15.	15.	Mdo
veljače	veljača	Ncfsg
godine	godina	Ncfsg
»	»	Z
n	n	Qr
«	«	Z
i	i	Cc
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
u	u	Sl
elektronskom	elektronski	Agpmsly
obliku	oblik	Ncmsl
na	na	Sl
propisanome	propisati	Agpmsly
obrascu	obrazac	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Godišnje	godišnji	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
radu	rad	Ncmsl
LAG-a	LAG	Npmsg
za	za	Sa
godinu	godina	Ncfsa
»	»	Z
n-1	n-1	Agpmpny
«	«	Z
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
provedene	provesti	Appmpay
sufinancirane	sufinancirati	Agpfpay
aktivnosti	aktivnost	Ncfpa
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
godine	godina	Ncfsg
»	»	Z
n-1	n-1	Mdm
«	«	Z
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
nedostavljanja	nedostavljanje	Ncnsg
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
zaključak	zaključak	Ncmsan
o	o	Sl
neispunjavanju	neispunjavanje	Ncnsl
obveze	obveza	Ncfsg
dostavljanja	dostavljanje	Ncnsg
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
LAG-a	LAG	Npmsg
za	za	Sa
godinu	godina	Ncfsa
»	»	Z
n-1	n-1	Agpmpny
«	«	Z
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
najkasnije	kasno	Rgs
do	do	Sg
15.	15.	Mdo
svibnja	svibanj	Ncmsg
godine	godina	Ncfsg
»	»	Z
n	n	Xf
«	«	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
dostavljanja	dostavljanje	Ncnsg
nepotpunog	nepotpun	Agpnsgy
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zatražiti	zatražiti	Vmn
dodatno	dodatan	Agpnsay
obrazloženje	obrazloženje	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
nadopunu	nadopuna	Ncfsa
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
LAG-a	LAG	Npmsg
za	za	Sa
godinu	godina	Ncfsa
»	»	Z
n-1	n-1	Mdm
«	«	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
LAG	LAG	Npmsn
dostavlja	dostavljati	Vmr3s
dodatno	dodatan	Agpnsay
obrazloženje	obrazloženje	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
nadopunu	nadopuna	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dodatno	dodatan	Agpnsay
obrazloženje	obrazloženje	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
nadopunu	nadopuna	Ncfsa
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
LAG-a	LAG	Npmsg
za	za	Sa
godinu	godina	Ncfsa
»	»	Z
n-1	n-1	Mdm
«	«	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
neuspješne	neuspješan	Agpfsgy
dostave	dostava	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dodatno	dodatan	Agpnsay
obrazloženje	obrazloženje	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
nadopunu	nadopuna	Ncfsa
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
LAG-a	LAG	Npmsg
za	za	Sa
godinu	godina	Ncfsa
»	»	Z
n-1	n-1	Mdm
«	«	Z
,	,	Z
zahtjev	zahtjev	Ncmsan
će	htjeti	Var3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
smatra	smatrati	Vmr3s
se	sebe	Px--sa
uručenim	uručiti	Rgp
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
postavljanja	postavljanje	Ncnsg
obavijesti	obavijest	Ncfsg
na	na	Sa
oglasnu	oglasni	Agpfsay
ploču	ploča	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nedostavljanja	nedostavljanje	Ncnsg
dodatnog	dodatan	Agpnsgy
obrazloženja	obrazloženje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
nadopune	nadopuna	Ncfpn
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
zaključak	zaključak	Ncmsan
o	o	Sl
neispunjavanju	neispunjavanje	Ncnsl
obveze	obveza	Ncfsg
dostavljanja	dostavljanje	Ncnsg
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
LAG-a	LAG	Npmsg
za	za	Sa
godinu	godina	Ncfsa
»	»	Z
n-1	n-1	Agpmpny
«	«	Z
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
temeljem	temelj	Ncmsi
dostavljenih	dostaviti	Agpmpgy
zaključaka	zaključak	Ncmpg
iz	iz	Sg
stavaka	stavak	Ncmpg
3.	3.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donijeti	donijeti	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
izmjeni	izmjena	Ncfsl
Odluke	odluka	Ncfsg
o	o	Sl
odabiru	odabir	Ncmsl
LAG-a	LAG	Npmsg
i	i	Cc
umanjiti	umanjiti	Vmn
za	za	Sa
25	25	Mdc
%	%	Z
iznos	iznos	Ncmsan
dodijeljenih	dodijeljen	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
provedbu	provedba	Ncfsa
Podmjere	Podmjera	Npfsg
19.4.	19.4.	Mds

(	(	Z
9	9	Mdc
)	)	Z
Za	za	Sa
sva	sav	Agpnpay
pravovremena	pravovremen	Agpnpay
i	i	Cc
potpuna	potpun	Agpnpay
izvješća	izvješće	Ncnpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
donijeti	donijeti	Vmn
će	htjeti	Var3s
zaključak	zaključak	Ncmsan
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
obveze	obveza	Ncfsg
dostavljanja	dostavljanje	Ncnsg
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
LAG-a	LAG	Npmsg
za	za	Sa
