završetka	završetak	Ncmsg
vođenja	vođenje	Ncnsg
knjige	knjiga	Ncfsg
)	)	Z
,	,	Z

2.	2.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
u	u	Sl
matičnoj	matičan	Agpfsly
knjizi	knjiga	Ncfsl
,	,	Z

3.	3.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
(	(	Z
djevojačko	djevojački	Agpnsny
prezime	prezime	Ncnsn
)	)	Z
,	,	Z
ime	ime	Ncnsn
oca	oac	Ncmsg
/	/	Z
majke	majka	Ncfsg
korisnika	korisnik	Ncmpg
,	,	Z

4.	4.	Mdo
osobni	osoban	Agpmpny
podaci	podatak	Ncmpn
o	o	Sl
korisniku	korisnik	Ncmsl
(	(	Z
datum	datum	Ncmsn
,	,	Z
mjesto	mjesto	Ncnsn
i	i	Cc
država	država	Ncfsn
rođenja	rođenje	Ncnsg
,	,	Z
državljanstvo	državljanstvo	Ncnsa
,	,	Z
identifikacijski	identifikacijski	Agpmsny
dokument	dokument	Ncmsn
)	)	Z
,	,	Z

5.	5.	Mdo
rješenje	rješenje	Ncnsa
nadležnog	nadležan	Agpmsgy
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
smještaju	smještaj	Ncmsl
(	(	Z
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
)	)	Z
,	,	Z

6.	6.	Mdo
datum	datum	Ncmsan
smještaja	smještaj	Ncmsg
kod	kod	Sg
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
,	,	Z

7.	7.	Mdo
obrazovni	obrazovni	Agpmsayn
status	status	Ncmsan
pri	pri	Sl
odlasku	odlazak	Ncmsl
iz	iz	Sg
matične	matičan	Agpfsgy
države	država	Ncfsg
(	(	Z
završeni	završen	Agpmsny
razred	razred	Ncmsn
odnosno	odnosno	Rgp
postignuta	postignuti	Appfsny
razina	razina	Ncfsn
obrazovanja	obrazovanje	Ncnsg
)	)	Z
,	,	Z

8.	8.	Mdo
datum	datum	Ncmsan
prestanka	prestanak	Ncmsg
smještaja	smještaj	Ncmsg
kod	kod	Sg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
,	,	Z

9.	9.	Mdo
rješenje	rješenje	Ncnsa
nadležnog	nadležan	Agpmsgy
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
prestanku	prestanak	Ncmsl
smještaja	smještaj	Ncmsg
(	(	Z
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
)	)	Z
,	,	Z

10.	10.	Mdo
obrazovni	obrazovni	Agpmsny
status	status	Ncmsn
pri	pri	Sl
odlasku	odlazak	Ncmsl
od	od	Sg
pružatelja	pružatelj	Ncmsg
