Vlatke	Vlatke	Npmsn
Babić	Babić	Npmsn
12	12	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4882	U-I-4882	X
/	/	Z
2014	2014	Mdc
–	–	Z
Delač	Dela	Npmsg
Larisa	Laris	Npmsg
,	,	Z
Lisac	lisac	Ncmsn
26	26	Mdc
,	,	Z
51217	51217	Mdc
Klana	Klan	Npmsg

U-I-4883	U-I-4883	X
/	/	Z
2014	2014	Mdc
–	–	Z
Bujanović	Bujanović	Npfsn
Ankica	Ankica	Npfsn
,	,	Z
G.	G.	Npfsn
Duella	Duella	Npfsn
14	14	Mdc
a	a	Cc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4884	U-I-4884	X
/	/	Z
2014	2014	Mdc
–	–	Z
Kolak	Kolak	Npmsn
Nada	Nada	Npfsn
,	,	Z
Kalvarija	kalvarija	Ncfsn
3	3	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4885	U-I-4885	X
/	/	Z
2014	2014	Mdc
–	–	Z
Juretić	Juretić	Npfsn
Branka	Branka	Npfsn
,	,	Z
G.	G.	Y
Vežica	Vežica	Npfsn
8	8	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4886	U-I-4886	X
/	/	Z
2014	2014	Mdc
–	–	Z
Jokić	Jokić	Npmsn
Jelena	Jelen	Npmsg
,	,	Z
Kalvarija	kalvarija	Ncfsn
2.	2.	Mdo
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4887	U-I-4887	X
/	/	Z
2014	2014	Mdc
–	–	Z
Miličević	Miličević	Npmsn
Ivana	Ivana	Npfsn
,	,	Z
Nautička	Nautička	Npfsn
4	4	Mdc
,	,	Z
51222	51222	Mdc
Bakar	bakar	Ncmsn

U-I-4888	U-I-4888	X
/	/	Z
2014	2014	Mdc
–	–	Z
Herak	Herak	Npfsn
Grozdana	Grozdana	Npfsn
,	,	Z
Vitomira	Vitomira	Npfsn
P.	P.	Npfsn
Širole	Širole	Npfsn
12	12	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4889	U-I-4889	X
/	/	Z
2014	2014	Mdc
–	–	Z
Knaus	Knaus	Npmsn
Denis	Denis	Npmsn
,	,	Z
1.	1.	Mdo
Maja	maj	Ncmsg
12	12	Mdc
,	,	Z
51317	51317	Mdc
Crni	crn	Agpmsny
Lug	lug	Ncmsn

U-I-4890	U-I-4890	X
/	/	Z
2014	2014	Mdc
–	–	Z
Lovrinović	Lovrinović	Npfsn
Mara	Mara	Npfsn
,	,	Z
Šumci	Šumc	Npmpn
6	6	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4988	U-I-4988	X
/	/	Z
2014	2014	Mdc
–	–	Z
Novosel	Novosel	Npmsn
Sanja	sanjati	Vmr3s
,	,	Z
V.	V.	Mro
Bakarića	Bakarić	Npmsay
31	31	Mdc
,	,	Z
Novo	nov	Agpnsny
Selo	selo	Ncnsn
na	na	Sl
Dravi	Drava	Npfsl
,	,	Z
40000	40000	Mdc
Čakovec	Čakovec	Npmsn

U-I-4989	U-I-4989	X
/	/	Z
2014	2014	Mdc
–	–	Z
Jovanović	Jovanović	Npmsn
Stanislava	Stanislav	Npmsay
,	,	Z
Bladska	Bladska	Npfsn
43	43	Mdc
,	,	Z
47000	47000	Mdc
Karlovac	Karlovac	Npmsn

U-I-4990	U-I-4990	X
/	/	Z
2014	2014	Mdc
–	–	Z
Vlašić	Vlašić	Npfsn
Zvjezdana	Zvjezdana	Npfsn
,	,	Z
Dravska	dravski	Agpfsny
8	8	Mdc
,	,	Z
40322	40322	Mdc
Orehovica	Orehovica	Npfsn

U-I-4991	U-I-4991	X
/	/	Z
2014	2014	Mdc
–	–	Z
Modlic	Modlic	Npfsn
Mirjana	Mirjana	Npfsn
,	,	Z
A.	A.	Npmsn
Šenoe	Šenoe	Npmsn
