osiguranju	osiguranje	Ncnsl
od	od	Sg
profesionalne	profesionalan	Agpfsgy
odgovornosti	odgovornost	Ncfsg
,	,	Z

5.	5.	Mdo
se	sebe	Px--sa
protiv	protiv	Sg
nje	on	Pp3fsg
ne	ne	Qz
vodi	voditi	Vmr3s
kazneni	kazneni	Agpmsayn
postupak	postupak	Ncmsan
zbog	zbog	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
koje	koji	Pi-nsn
se	sebe	Px--sa
goni	goniti	Vmr3s
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
,	,	Z

6.	6.	Mdo
protiv	protiv	Sg
nje	on	Pp3fsg
nije	biti	Var3s
izrečena	izreći	Appfsny
pravomoćna	pravomoćan	Agpfsny
osuđujuća	osuđujući	Agpfsny
presuda	presuda	Ncfsn
za	za	Sa
jedno	jedan	Mlcnsn
od	od	Sg
sljedećih	sljedeći	Agpnpgy
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
:	:	Z

–	i	Agpnsny
udruživanje	udruživanje	Ncnsn
za	za	Sa
počinjenje	počinjenje	Ncnsa
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
,	,	Z

–	–	Sa
primanje	primanje	Ncnsa
mita	mit	Ncmsg
u	u	Sl
gospodarskom	gospodarski	Agpnsly
poslovanju	poslovanje	Ncnsl
,	,	Z

–	–	Sa
davanje	davanje	Ncnsa
mita	mit	Ncmsg
u	u	Sl
gospodarskom	gospodarski	Agpnsly
poslovanju	poslovanje	Ncnsl
,	,	Z

–	–	Z
zlouporaba	zlouporaba	Ncfsn
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfsg
,	,	Z

–	–	Z
zlouporaba	zlouporaba	Ncfsn
obavljanja	obavljanje	Ncnsg
dužnosti	dužnost	Ncfsg
državne	državni	Agpfsgy
vlasti	vlast	Ncfsg
,	,	Z

–	–	Sa
protuzakonito	protuzakonit	Agpnsay
posredovanje	posredovanje	Ncnsa
,	,	Z

–	i	Agpnsny
primanje	primanje	Ncnsn
mita	mit	Ncmsg
,	,	Z

–	i	Agpnsny
davanje	davanje	Ncnsn
mita	mit	Ncmsg
,	,	Z

–		Agpfpgy
prijevara	prijevara	Ncfpg
,	,	Z

–	i	Agpfsny
računalna	računalni	Agpfsny
prijevara	prijevara	Ncfsn
,	,	Z

–		Agpfpgy
prijevara	prijevara	Ncfpg
u	u	Sl
gospodarskom	gospodarski	Agpnsly
poslovanju	poslovanje	Ncnsl
ili	ili	Cc
prikrivanje	prikrivanje	Ncnsn
protuzakonito	protuzakonit	Agpnsny
dobivenog	dobiven	Agpmsgy
novca	novac	Ncmsg
,	,	Z

7.	7.	Mdo
je	biti	Var3s
uspješno	uspješno	Rgp
završila	završiti	Vmp-sf
Program	program	Ncmsan
osposobljavanja	osposobljavanje	Ncnsg
prema	prema	Sl
Modulu	modul	Ncmsl
2	2	Mdc
iz	iz	Sg
Priloga	prilog	Ncmsg
4	4	Mdc
B	b	Y
:	:	Z

–	–	Sg
pravilnika	pravilnik	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
određuju	određivati	Vmr3p
uvjeti	uvjet	Ncmpn
i	i	Cc
mjerila	mjerilo	Ncnsg
za	za	Sa
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
energetske	energetski	Agpmpay
preglede	pregled	Ncmpa
i	i	Cc
energetsko	energetski	Agpnsay
certificiranje	certificiranje	Ncnsa
zgrada	zgrada	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
113/08	113/08	Mds
i	i	Cc
89/09	89/09	Mds
)	)	Z
ili	ili	Cc

–	–	Px-msi
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
uvjetima	uvjet	Ncmpl
i	i	Cc
mjerilima	mjerilo	Ncnpl
za	za	Sa
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
energetske	energetski	Agpmpay
preglede	pregled	Ncmpa
građevina	građevina	Ncfpg
i	i	Cc
energetsko	energetski	Agpnsny
certificiranje	certificiranje	Ncnsn
