zatvorenim	zatvoren	Agpnsiy
ispitivanjem	ispitivanje	Ncnsi
prohodnosti	prohodnost	Ncfsg
ductus	ductu	Agpmpgy
choledocusa	choledocus	Ncmpg
ili	ili	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,11	1,11	Mdc
20.812,50	20.812,50	Mdc
H08B	H08B	Sa
Laparoskopska	laparoskopski	Agpfsny
kolecistektomija	kolecistektomija	Ncfsn
,	,	Z
bez	bez	Sg
zatvorenog	zatvoren	Agpnsgy
ispitivanja	ispitivanje	Ncnsg
prohodnosti	prohodnost	Ncfsg
ductus	ductua	Ncfsg
choledocusa	choledocus	Ncmpg
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,9	0,9	Mdc
16.875,00	16.875,00	Mdc
H40Z	h40z	Agpmpny
Endoskopski	endoskopski	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
krvarećih	krvarećan	Agpmsgn
varikoziteta	varikozitet	Ncmsg
jednjaka	jednjak	Ncmsg
2,09	2,09	Mdc
39.187,50	39.187,50	Mdc
H41A	H41A	Pd-mpn
Složeni	složiti	Appmpny
terapijski	terapijski	Agpmpny
postupci	postupak	Ncmpn
pomoću	pomoć	Sg
endoskopske	endoskopski	Agpfsgy
retrogradne	retrogradan	Agpfsgy
kolangiopankreatografije	kolangiopankreatografija	Ncfsg
(	(	Z
ERCP	ERCP	Npmsn
)	)	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
3,05	3,05	Mdc
57.187,50	57.187,50	Mdc
H41B	H41B	Pd-mpn
Složeni	složiti	Appmpny
terapijski	terapijski	Agpmpny
postupci	postupak	Ncmpn
pomoću	pomoć	Sg
endoskopske	endoskopski	Agpfsgy
retrogradne	retrogradan	Agpfsgy
kolangiopankreatografije	kolangiopankreatografija	Ncfsg
(	(	Z
ERCP	ERCP	Npmsn
)	)	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,32	1,32	Mdc
24.750,00	24.750,00	Mdc
H42A	H42	Npmsg
Ostali	ostali	Agpmpny
terapijski	terapijski	Agpmpny
postupci	postupak	Ncmpn
pomoću	pomoć	Sg
endoskopske	endoskopski	Agpfsgy
retrogradne	retrogradan	Agpfsgy
kolangiopankreatografije	kolangiopankreatografija	Ncfsg
(	(	Z
ERCP	ERCP	Npmsn
)	)	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,82	1,82	Mdc
34.125,00	34.125,00	Mdc
H42B	H42B	Pd-mpn
Ostali	ostali	Agpmpny
terapijski	terapijski	Agpmpny
postupci	postupak	Ncmpn
pomoću	pomoć	Sg
endoskopske	endoskopski	Agpfsgy
retrogradne	retrogradan	Agpfsgy
kolangiopankreatografije	kolangiopankreatografija	Ncfsg
(	(	Z
ERCP	ERCP	Npmsn
)	)	Z
s	sa	Si
umjerenim	umjeren	Agpfpiy
KK		Ncfpi
1,27	1,27	Mdc
23.812,50	23.812,50	Mdc
H42C	H42C	Pd-mpn
Ostali	ostali	Agpmpny
terapijski	terapijski	Agpmpny
postupci	postupak	Ncmpn
pomoću	pomoć	Sg
endoskopske	endoskopski	Agpfsgy
retrogradne	retrogradan	Agpfsgy
kolangiopankreatografije	kolangiopankreatografija	Ncfsg
(	(	Z
ERCP	ERCP	Npmsn
)	)	Z
bez	bez	Sg
KK	K	Npmsg
1,01	1,01	Mdc
18.937,50	18.937,50	Mdc
H60A	h60i	Agpfsny
Ciroza	ciroza	Ncfsn
i	i	Cc
alkoholni	alkoholni	Agpmsayn
hepatitis	hepatitis	Ncmsan
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
2,82	2,82	Mdc
52.875,00	52.875,00	Mdc
H60B	H60B	Pi-fsn
Ciroza	ciroza	Ncfsn
i	i	Cc
alkoholni	alkoholni	Agpmsayn
hepatitis	hepatitis	Ncmsan
s	sa	Si
teškim	težak	Agpmpiy
KK	k	Ncmpi
1,68	1,68	Mdc
31.500,00	31.500,00	Mdc
H60C	H60C	Pi-fsn
Ciroza	ciroza	Ncfsn
i	i	Cc
alkoholni	alkoholni	Agpmsayn
hepatitis	hepatitis	Ncmsan
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,91	0,91	Mdc
17.062,50	17.062,50	Mdc
H61A	H61A	Sa
Maligna	maligan	Agpfsny
bolest	bolest	Ncfsn
hepatobilijarnog	hepatobilijarni	Agpmsgy
sustava	sustav	Ncmsg
i	i	Cc
gušterače	gušterača	Ncfsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
69	69	Mdc
godina	godina	Ncfpg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npfsg
,	,	Z
ili	ili	Cc
s	sa	Si
