stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvog	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/103	01/103	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
07/0217	07/0217	Mdc
-	-	Z
15	15	Mdc
-	-	Z
3	3	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
23.	23.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
poljoprivrede	poljoprivreda	Ncfsg
Tihomir	Tihomir	Npmsn
Jakovina	Jakovina	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

Popis	popis	Ncmsn
priloga	prilog	Ncmsg
:	:	Z

Prilog	prilog	Ncmsn
1.	1.	Mdo
:	:	Z

Tablica	tablica	Ncfsn
1.	1.	Mdo
Šifre	šifra	Ncfsg
i	i	Cc
nazivi	naziv	Ncmpn
kultura	kultura	Ncfpg

Tablica	tablica	Ncfsn
2.	2.	Mdo
Šifre	šifra	Ncfsg
i	i	Cc
nazivi	naziv	Ncmpn
potpora	potpora	Ncfpg
u	u	Sl
biljnoj	biljan	Agpfsly
proizvodnji	proizvodnja	Ncfsl

Tablica	tablica	Ncfsn
3.	3.	Mdo
Šifre	šifra	Ncfsg
i	i	Cc
nazivi	naziv	Ncmpn
potpora	potpora	Ncfpg
u	u	Sl
stočarstvu	stočarstvo	Ncnsl

Tablica	tablica	Ncfsn
4.	4.	Mdo
Koeficijenti	koeficijent	Ncmpn
prihvatljivosti	prihvatljivost	Ncfsg
za	za	Sa
kontinentalne	kontinentalan	Agpmpay
travnjake	travnjak	Ncmpa

Tablica	tablica	Ncfsn
5.	5.	Mdo
Koeficijenti	koeficijent	Ncmpn
prihvatljivosti	prihvatljivost	Ncfsg
za	za	Sa
krške	krški	Agpmpay
pašnjake	pašnjak	Ncmpa

Tablica	tablica	Ncfsn
6.	6.	Mdo
Koeficijenti	koeficijent	Ncmpn
za	za	Sa
izračun	izračun	Ncmsan
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg

Tablica	tablica	Ncfsn
7.	7.	Mdo
Popis	popis	Ncmsn
područja	područje	Ncnsg
ekološke	ekološki	Agpfsgy
mreže	mreža	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
Natura	natura	Ncfsn
2000	2000	Mdc
područja	područje	Ncnpa
)	)	Z
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
okolišno	okolišno	Rgp
osjetljivi	osjetljiv	Agpmpny
travnjaci	travnjak	Ncmpn

Tablica	tablica	Ncfsn
8	8	Mdc
a.	a.	Y
Ekološki	ekološki	Agpmsny
značajne	značajan	Agpfsgy
površine	površina	Ncfsg

Tablica	tablica	Ncfsn
8	8	Mdc
b.	b.	Y
Ekološki	ekološki	Agpmsny
značajne	značajan	Agpfsgy
površine	površina	Ncfsg

Tablica	tablica	Ncfsn
9.	9.	Mdo
Pasmine	pasmina	Ncfsg
goveda	govedo	Ncnsg
prihvatljive	prihvatljiv	Agpfpny
za	za	Sa
potporu	potpora	Ncfsa

Tablica	tablica	Ncfsn
10.	10.	Mdo

Ukupne	ukupan	Agpfpny
godišnje	godišnji	Agpfpny
omotnice	omotnica	Ncfpn
proizvodno	proizvodno	Rgp
vezane	vezan	Agpfsgy
potpore	potpora	Ncfsg

Tablica	tablica	Ncfsn
11.	11.	Mdo

Popis	popis	Ncmsn
izvornih	izvoran	Agpmpgy
i	i	Cc
zaštićenih	zaštititi	Agpfpgy
vrsta	vrsta	Ncfpg
i	i	Cc
kultivara	kultivar	Ncmpg
poljoprivrednog	poljoprivredni	Agpnsgy
bilja	bilje	Ncnsg

Tablica	tablica	Ncfsn
12.	12.	Mdo

Usklađenja	usklađenje	Ncnpn
visine	visina	Ncfsg
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
za	za	Sa
duhan	duhan	Ncmsan
prema	prema	Sl
klasi	klasa	Ncfsl

Prilog	prilog	Ncmsn
2.	2.	Mdo
:	:	Z

Jedinstveni	jedinstven	Agpmsny
zahtjev	zahtjev	Ncmsn
i	i	Cc
Izjava	izjava	Ncfsn
o	o	Sl
odustajanju	odustajanje	Ncnsl
od	od	Sg
jedinstvenog	jedinstven	Agpmsgy
zahtjeva	zahtjev	Ncmsg

Prilog	prilog	Ncmsn
3.	3.	Mdo
:	:	Z

Obrazac	obrazac	Ncmsn
1.	1.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
aktivnog	aktivan	Agpnsgy
obavljanja	obavljanje	Ncnsg
poljoprivredne	poljoprivredni	Agpfsgy
djelatnosti	djelatnost	Ncfsg

Obrazac	obrazac	Ncmsn
2.	2.	Mdo
–	–	Z
Izjava	izjava	Ncfsn
o	o	Sl
upravljanju	upravljanje	Ncnsl
pravnom	pravni	Agpfsiy
osobom	osoba	Ncfsi

Obrazac	obrazac	Ncmsn
3.	3.	Mdo
–	–	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
prava	pravo	Ncnsg
na	na	Sa
plaćanja	plaćanje	Ncnpa

Obrazac	obrazac	Ncmsn
4.	4.	Mdo
–	–	Z
Izjava	izjava	Ncfsn
o	o	Sl
postojanju	postojanje	Ncnsl
više	mnogo	Rgc
sile	sila	Ncfsg
ili	ili	Cc
iznimnih	izniman	Agpfpgy
okolnosti	okolnost	Ncfpg
za	za	Sa
potpore	potpora	Ncfpa
vezane	vezan	Agpfsgy
uz	uz	Sa
površinu	površina	Ncfsa

Obrazac	obrazac	Ncmsn
5.	5.	Mdo
–	–	Z
Izjava	izjava	Ncfsn
o	o	Sl
izlučenju	izlučenje	Ncnsl
/	/	Z
nadomještanju	nadomještanje	Ncnsl
stoke	stoka	Ncfsg

Prilog	prilog	Ncmsn
4.	4.	Mdo
:	:	Z

Tablica	tablica	Ncfsn
1.	1.	Mdo
–	–	Z
Popis	Popis	Npmsn
JLS	JLS	Npmsn
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
travnjaci	travnjak	Ncmpn
velike	velik	Agpfsgy
prirodne	prirodan	Agpfsgy
vrijednosti	vrijednost	Ncfsg

Tablica	tablica	Ncfsn
2.	2.	Mdo
–	–	Z
Popis	popis	Ncmsn
područja	područje	Ncnsg
ekološke	ekološki	Agpfsgy
mreže	mreža	Ncfsg
RH	RH	Npfsg
na	na	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
cilj	cilj	Ncmsn
očuvanja	očuvanje	Ncnsg
ptica	ptica	Ncfpg
kosac	kosac	Ncmsn
(	(	Z
Crex	Crex	Npmsn
crex	crex	Xf
)	)	Z

Tablica	tablica	Ncfsn
3.	3.	Mdo
–	–	Z
Popis	popis	Ncmsn
područja	područje	Ncnsg
ekološke	ekološki	Agpfsgy
mreže	mreža	Ncfsg
RH	RH	Npfsg
na	na	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
ciljevi	cilj	Ncmpn
očuvanja	očuvanje	Ncnsg
vrste	vrsta	Ncfsg
leptira	leptir	Ncmsg
veliki	velik	Agpmsny
livadni	livadni	Agpmsny
plavac	plavac	Ncmsn
(	(	Z
Phengaris	Phengaris	Npmsn
teleius	teleius	Xf
)	)	Z
,	,	Z
zagasiti	zagasiti	Vmn
