instrument	instrument	Ncmsn
)	)	Z
«	«	Z
–	–	Z
je	biti	Var3s
bilo	biti	Vap-sn
koji	koji	Pi-msan
uređaj	uređaj	Ncmsan
ili	ili	Cc
sustav	sustav	Ncmsan
s	sa	Si
mjernom	mjerni	Agpfsiy
funkcijom	funkcija	Ncfsi
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
odredbi	odredba	Ncfsl
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

5.	5.	Mdo
»	»	Z
nacionalno	nacionalan	Agpnsny
akreditacijsko	akreditacijski	Agpnsny
tijelo	tijelo	Ncnsn
«	«	Z
–	i	Agpnsny
je	biti	Var3s
nacionalno	nacionalan	Agpnsny
akreditacijsko	akreditacijski	Agpnsny
tijelo	tijelo	Ncnsn
kako	kako	Cs
je	biti	Var3s
definirano	definirati	Appnsny
člankom	članak	Ncmsi
2.	2.	Mdo
točkom	točka	Ncfsi
11.	11.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008	765/2008	Mdc
;	;	Z

6.	6.	Mdo
»	»	Z
normativni	normativan	Agpmsayn
dokument	dokument	Ncmsan
«	«	Z
–	–	Z
je	biti	Var3s
dokument	dokument	Ncmsn
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
tehničke	tehnički	Agpfpay
specifikacije	specifikacija	Ncfpa
koji	koji	Pi-msn
je	biti	Var3s
prihvatila	prihvatiti	Vmp-sf
Međunarodna	međunarodni	Agpfsny
organizacija	organizacija	Ncfsn
za	za	Sa
zakonsko	zakonski	Agpnsay
mjeriteljstvo	mjeriteljstvo	Ncnsa
(	(	Z
Organisation	Organisation	Xf
Internationale	Internationala	Npfsg
Metrologie	Metrologia	Npfsg
Legale	Legala	Npfsg
–	–	Z
u	u	Sl
daljem	dalek	Agcmsly
tekstu	tekst	Ncmsl
:	:	Z
OIML	OIML	Npmsn
)	)	Z
;	;	Z

7.	7.	Mdo
»	»	Z
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
«	«	Z
–	–	Z
je	biti	Var3s
postupak	postupak	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
jesu	biti	Var3p
li	li	Qq
ispunjeni	ispuniti	Appmpny
temeljni	temeljan	Agpmpny
zahtjevi	zahtjev	Ncmpn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
mjerilo	mjerilo	Ncnsa
;	;	Z

8.	8.	Mdo
»	»	Z
opoziv	opoziv	Ncmsan
«	«	Z
–	–	Z
je	biti	Var3s
svaka	svaki	Pi-fsn
mjera	mjera	Ncfsn
usmjerena	usmjeriti	Appfsny
na	na	Sa
povrat	povrat	Ncmsan
mjerila	mjerilo	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
već	već	Rgp
stavljeno	staviti	Appnsny
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
krajnjem	krajnji	Agpmsly
korisniku	korisnik	Ncmsl
;	;	Z

9.	9.	Mdo
»	»	Z
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
«	«	Z
–	–	Z
je	biti	Var3s
svaka	svaki	Pi-fsn
pravna	pravni	Agpfsny
ili	ili	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
,	,	Z
s	sa	Si
poslovnim	poslovan	Agpmsiy
nastanom	nastan	Ncmsi
u	u	Sl
Uniji	unija	Ncfsl
,	,	Z
koju	koji	Pi-fsa
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
pismeno	pismeno	Rgp
ovlastio	ovlastiti	Vmp-sm
da	da	Cs
djeluje	djelovati	Vmr3s
umjesto	umjesto	Sg
njega	njega	Ncfpg
za	za	Sa
posebne	poseban	Agpmpay
zadatke	zadatak	Ncmpa
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

10	10	Mdc
»	»	Z
oznaka	oznaka	Ncfsn
CE	C	Npmsg
«	«	Z
–	–	Z
je	biti	Var3s
oznaka	oznaka	Ncfsn
kojom	koji	Pi-fsi
proizvođač	proizvođač	Ncmsn
