člana	član	Ncmsay
koje	koji	Pi-mpa
imenuje	imenovati	Vmr3s
ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsann
za	za	Sa
branitelje	branitelj	Ncmpa
.	.	Z

Članak	članak	Ncmsn
36.	36.	Mdo

O	o	Sl
utvrđenom	utvrditi	Agpnsly
činjeničnom	činjeničan	Agpnsly
stanju	stanje	Ncnsl
Povjerenstvo	povjerenstvo	Ncnsn
sastavlja	sastavljati	Vmr3s
zapisnik	zapisnik	Ncmsan
sa	sa	Si
zaključkom	zaključak	Ncmsi
.	.	Z

Članak	članak	Ncmsn
37.	37.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
očevidom	očevid	Rgp
utvrđeno	utvrditi	Appnsny
da	da	Cs
Ustanova	ustanova	Ncfsn
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
neke	neki	Pi-mpa
od	od	Sg
uvjeta	uvjet	Ncmpg
propisanih	propisati	Agpmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
Povjerenstvo	povjerenstvo	Ncnsn
će	htjeti	Var3s
zaključkom	zaključak	Ncmsi
odrediti	odrediti	Vmn
rok	rok	Ncmsan
u	u	Sl
kojemu	koji	Pi-msl
je	biti	Var3s
Ustanova	ustanova	Ncfsn
obvezna	obvezan	Agpfsny
otkloniti	otkloniti	Vmn
nedostatke	nedostatak	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
obavijestiti	obavijestiti	Vmn
Povjerenstvo	povjerenstvo	Ncnsn
o	o	Sl
uklanjanju	uklanjanje	Ncnsl
utvrđenih	utvrditi	Appmpgy
nedostataka	nedostatak	Ncmpg
,	,	Z
a	a	Cc
Povjerenstvo	povjerenstvo	Ncnsn
je	biti	Var3s
dužno	dužan	Agpnsny
u	u	Sl
roku	rok	Ncmsl
8	8	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
obavijesti	obavijest	Ncfsg
ponovno	ponovno	Rgp
izvršiti	izvršiti	Vmn
očevid	očevid	Ncmsan
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
tih	taj	Pd-fpg
okolnosti	okolnost	Ncfpg
i	i	Cc
o	o	Sl
tome	taj	Pd-nsl
sastaviti	sastaviti	Vmn
zapisnik	zapisnik	Ncmsan
sa	sa	Si
zaključkom	zaključak	Ncmsi
.	.	Z

Članak	članak	Ncmsn
38.	38.	Mdo

Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
branitelje	branitelj	Ncmpa
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
zaključka	zaključak	Ncmsg
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
minimalnih	minimalan	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
početak	početak	Ncmsan
rada	rad	Ncmsg
i	i	Cc
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
,	,	Z
donosi	donositi	Vmr3s
Odluku	odluka	Ncfsa
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
minimalnih	minimalan	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
početak	početak	Ncmsan
rada	rad	Ncmsg
i	i	Cc
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
.	.	Z

DIO	dio	Ncmsn
PETI	peti	Mlomsn

ZAVRŠNA	završan	Agpfsny
ODREDBA	odredba	Ncfsn

Članak	članak	Ncmsn
39.	39.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/15	02/15	Mdc
-	-	Z
0002/6	0002/6	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
522	522	Mdc
-	-	Z
04/1	04/1	Mdc
-	-	Z
3	3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
3.	3.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Predrag	Predrag	Npmsn
Matić	Matić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

Tablica	tablica	Ncfsn
1	1	Mdc

MINIMALNI	minimalan	Agpmpny
PROSTORNO-TEHNIČKI	prostorno-tehnički	Agpmpny
UVJETI	uvjet	Ncmpn
I	i	Cc
OPREMA	opremati	Vmr3s
USTANOVA	ustanova	Ncfsn
ZA	za	Sa
PRUŽANJE	pružanje	Ncnsa
PODRŠKE	podrška	Ncfsg
I	i	Cc
USLUGA	usluga	Ncfpg
BRANITELJSKO-STRADALNIČKOJ	BRANITELJSKO-STRADALNIČKOJ	Sl
POPULACIJI	populacija	Ncfsl
I	i	Cc
DRUGIM	drugi	Mlofpl
OSOBAMA	osoba	Ncfpl

