dokumentacija	dokumentacija	Ncfsn
tražena	tražiti	Appfsny
putem	put	Sg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
ili	ili	Cc
nije	biti	Var3s
potpuna	potpun	Agpfsny
ili	ili	Cc
nije	biti	Var3s
prihvatljiva	prihvatljiv	Agpfsny
;	;	Z

d	d	Npmsn
)	)	Z
dostavljanja	dostavljanje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
nakon	nakon	Sg
roka	rok	Ncmsg
propisanog	propisati	Appmsgy
Odlukom	odluka	Ncfsi
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
;	;	Z

e	e	I
)	)	Z
onemogućavanja	onemogućavanje	Ncnsg
obavljanja	obavljanje	Ncnsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
te	te	Cc
pristupa	pristup	Ncmsg
prilikom	prilikom	Sg
kontrole	kontrola	Ncfsg
dobavljačima	dobavljač	Ncmpi
;	;	Z

f	i	Agpnsny
)	)	Z
da	da	Cs
kontrola	kontrola	Ncfsn
na	na	Sl
terenu	teren	Ncmsl
utvrdi	utvrditi	Vmr3s
nepoštivanje	nepoštivanje	Ncnsa
i	i	Cc
neispunjavanje	neispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
propisanih	propisati	Agpmpgy
Pravilnikom	pravilnik	Ncmsi
;	;	Z

g	g	Npmsn
)	)	Z
korištenja	korištenje	Ncnsg
ulaganja	ulaganje	Ncnsg
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
namjenom	namjena	Ncfsi
;	;	Z

h	h	I
)	)	Z
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
prethodno	prethodan	Agpnsny
financiranje	financiranje	Ncnsn
troškova	trošak	Ncmpg
u	u	Sl
projektu	projekt	Ncmsl
iz	iz	Sg
drugih	drugi	Mlompg
izvora	izvor	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
predmet	predmet	Ncmsan
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
potpore	potpora	Ncfsg
;	;	Z

i	i	Cc
)	)	Z
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
utvrdi	utvrditi	Vmr3s
Završetak	završetak	Ncmsn
aktivnosti	aktivnost	Ncfsg
u	u	Sl
smislu	smisao	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
kriterija	kriterij	Ncmsg
prihvatljivosti	prihvatljivost	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
one	onaj	Agpfpay
aktivnosti	aktivnost	Ncfpa
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
podnesen	podnijeti	Appmsnn
Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
Odlukom	odluka	Ncfsi
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
odobrena	odobriti	Appfsny
potpora	potpora	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
80	80	Mdc
%	%	Z
,	,	Z
a	a	Cc
administrativnom	administrativan	Agpfsiy
kontrolom	kontrola	Ncfsi
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
pojedina	pojedini	Agpfsny
aktivnost	aktivnost	Ncfsn
ili	ili	Cc
cijeli	cijel	Agpmsayn
projekt	projekt	Ncmsan
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
14.	14.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
odnosno	odnosno	Rgp
da	da	Cs
projekt	projekt	Ncmsn
nije	biti	Var3s
izveden	izvesti	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
Odlukom	odluka	Ncfsi
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
poništenju	poništenje	Ncnsl
projekta	projekt	Ncmsg
te	te	Cc
postupiti	postupiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
člankom	članak	Ncmsi
34.	34.	Mdo
stavkom	stavka	Ncfsi
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
Agencija	agencija	Ncfpg
za	za	Sa
