ostvaruju	ostvarivati	Vmr3p
dodatna	dodatan	Agpnpay
prava	pravo	Ncnpa
za	za	Sa
upis	upis	Ncmsan
Završetak	završetak	Ncmsan
unosa	unos	Ncmsg
rezultata	rezultat	Ncmpg
s	sa	Sg
popravnih	popravni	Agpmpgy
ispita	ispit	Ncmpg
Brisanje	brisanje	Ncnsn
s	sa	Sg
lista	list	Ncmsg
kandidata	kandidat	Ncmpg
koji	koji	Pi-mpn
nisu	biti	Var3p
zadovoljili	zadovoljiti	Vmp-pm
preduvjete	preduvjet	Ncmpa
26.	26.	Mdo
8.	8.	Mdo
2016.	2016.	Mdo

Zaključavanje	zaključavanje	Ncnsn
odabira	odabir	Ncmsg
obrazovnih	obrazovni	Agpmpgy
programa	program	Ncmpg
Početak	početak	Ncmsn
ispisa	ispis	Ncmsg
prijavnica	prijavnica	Ncfsn
29.	29.	Mdo
8.	8.	Mdo
2016.	2016.	Mdo

Krajnji	krajnji	Agpmsny
rok	rok	Ncmsn
za	za	Sa
zaprimanje	zaprimanje	Ncnsa
potpisanih	potpisan	Agpfpgy
prijavnica	prijavnica	Ncfpg
(	(	Z
učenici	učenik	Ncmpn
donose	donositi	Vmr3p
razrednicima	razrednik	Ncmpi
,	,	Z
a	a	Cc
ostali	ostali	Agpmpny
kandidati	kandidat	Ncmpn
šalju	slati	Vmr3p
Središnjem	središnji	Agpmsly
prijavnom	prijavni	Agpmsly
uredu	ured	Ncmsl
)	)	Z
Brisanje	brisanje	Ncnsn
s	sa	Sg
lista	list	Ncmsg
kandidata	kandidat	Ncmpg
koji	koji	Pi-mpn
nisu	biti	Var3p
zadovoljili	zadovoljiti	Vmp-pm
preduvjete	preduvjet	Ncmpa
ili	ili	Cc
dostavili	dostaviti	Vmp-pm
prijavnice	prijavnica	Ncfpa
31.	31.	Mdo
8.	8.	Mdo
2016.	2016.	Mdo

Objava	objava	Ncfsn
konačnih	konačan	Agpfpgy
ljestvica	ljestvica	Ncfpg
poretka	poredak	Ncmsg
1.	1.	Mdo
9.	9.	Mdo
2016.	2016.	Mdo

Dostava	dostava	Ncfsn
dokumenata	dokument	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
uvjet	uvjet	Ncmsan
za	za	Sa
upis	upis	Ncmsan
u	u	Sa
određeni	određen	Agpmsayn
program	program	Ncmsan
obrazovanja	obrazovanje	Ncnsg
(	(	Z
potvrda	potvrda	Ncfsn
liječnika	liječnik	Ncmpg
školske	školski	Agpfsgy
medicine	medicina	Ncfsg
,	,	Z
liječnička	liječnički	Agpfsny
svjedodžba	svjedodžba	Ncfsn
medicine	medicina	Ncfsg
rada	rad	Ncmsg
,	,	Z
ugovor	ugovor	Ncmsan
o	o	Sl
naukovanju	naukovanje	Ncnsl
i	i	Cc
ostali	ostali	Agpmpny
dokumenti	dokument	Ncmpn
kojima	koji	Pi-mpd
su	biti	Var3p
ostvarena	ostvariti	Appnpny
dodatna	dodatan	Agpnpny
prava	pravo	Ncnpn
za	za	Sa
upis	upis	Ncmsan
)	)	Z
srednje	srednji	Agpfsgy
škole	škola	Ncfsg
.	.	Z

Dostava	dostava	Ncfsn
potpisanog	potpisan	Agpmsgy
obrasca	obrazac	Ncmsg
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
I.	I.	Pi-msan
razred	razred	Ncmsan
srednje	srednji	Agpfsgy
škole	škola	Ncfsg
(	(	Z
upisnice	upisnica	Ncfpn
)	)	Z
u	u	Sa
srednju	srednji	Agpfsay
školu	škola	Ncfsa
u	u	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
učenik	učenik	Ncmsn
upisao	upisati	Vmp-sm
2.	2.	Mdo
9.	9.	Mdo
2016.	2016.	Mdo

Objava	objava	Ncfsn
slobodnih	slobodan	Agpnpgy
upisnih	upisni	Agpnpgy
mjesta	mjesto	Ncnpg
nakon	nakon	Sg
jesenskog	jesenski	Agpmsgy
roka	rok	Ncmsg
3.	3.	Mdo
9.	9.	Mdo
