fizičkim	fizički	Agpfpiy
ili	ili	Cc
pravnim	pravni	Agpfpiy
osobama	osoba	Ncfpi
,	,	Z

9.	9.	Mdo
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
priznavanju	priznavanje	Ncnsl
i	i	Cc
kategorizaciji	kategorizacija	Ncfsl
oblika	oblik	Ncmsg
trajne	trajan	Agpfsgy
izobrazbe	izobrazba	Ncfsg
,	,	Z

10.	10.	Mdo
donosi	donositi	Vmr3s
Pravila	pravilo	Ncnsg
postupanja	postupanje	Ncnsg
za	za	Sa
provjeru	provjera	Ncfsa
stručnosti	stručnost	Ncfsg
liječnika	liječnik	Ncmpg
,	,	Z

11.	11.	Mdo
koordinira	koordinirati	Vmr3s
svoj	svoj	Px-msan
rad	rad	Ncmsan
s	sa	Si
ostalim	ostali	Agpmpiy
tijelima	tijelo	Ncmpi
Komore	komora	Ncfsg
,	,	Z

12.	12.	Mdo
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Agpmpay
poslove	posao	Ncmpa
određene	određen	Agpmpay
zakonom	zakon	Ncmsi
,	,	Z
ovim	ovaj	Pd-msi
Statutom	statut	Ncmsi
te	te	Cc
drugim	drugi	Agpmpiy
općim	opći	Agpmpiy
aktima	akt	Ncmpi
Komore	Komora	Npfsg
.	.	Z

4.	4.	Mdo
Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
primarnu	primaran	Agpfsay
zdravstvenu	zdravstven	Agpfsay
zaštitu	zaštita	Ncfsa

Članak	članak	Ncmsn
28.	28.	Mdo

Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
primarnu	primaran	Agpfsay
zdravstvenu	zdravstven	Agpfsay
zaštitu	zaštita	Ncfsa
obavlja	obavljati	Vmr3s
sljedeće	sljedeći	Agpmpay
poslove	posao	Ncmpa
:	:	Z

1.	1.	Mdo
brine	brinuti	Vmr3s
se	sebe	Px--sa
o	o	Sl
kvaliteti	kvaliteta	Ncfsl
,	,	Z
organizaciji	organizacija	Ncfsl
i	i	Cc
dostupnosti	dostupnost	Ncfsg
primarne	primaran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
te	te	Cc
njezinoj	njezin	Agpfsly
integraciji	integracija	Ncfsl
u	u	Sa
cjelokupni	cjelokupan	Agpmsayn
sustav	sustav	Ncmsan
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z

2.	2.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
pripremi	priprema	Ncfsl
i	i	Cc
donošenju	donošenje	Ncnsl
standarda	standard	Ncmpg
i	i	Cc
normativa	normativ	Ncmpg
te	te	Cc
mjera	mjera	Ncfpg
i	i	Cc
mreže	mreža	Ncfsg
primarne	primaran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
u	u	Sl
osnovnoj	osnovan	Agpfsly
mreži	mreža	Ncfsl
primarne	primaran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z

3.	3.	Mdo
zastupa	zastupati	Vmr3s
interese	interes	Ncmpa
privatnih	privatan	Agpmpgy
liječnika	liječnik	Ncmpg
primarne	primaran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
kod	kod	Sg
ugovaranja	ugovaranje	Ncnsg
s	sa	Si
HZZO-om	HZZO	Npmsi
i	i	Cc
drugim	drugi	Mlompl
osiguravajućim	osiguravajući	Agpnply
društvima	društvo	Ncnpl
te	te	Cc
pred	pred	Si
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
zdravstvo	zdravstvo	Ncnsa
,	,	Z

4.	4.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
davanja	davanje	Ncnsg
mišljenja	mišljenje	Ncnsg
o	o	Sl
opravdanosti	opravdanost	Ncfsl
osnivanja	osnivanje	Ncnsg
,	,	Z
proširenja	proširenje	Ncnsg
i	i	Cc
promjene	promjena	Ncfsg
djelatnosti	djelatnost	Ncfsg
pružatelja	pružatelj	Ncmpg
zdravstvenih	zdravstven	Agpfpgy
usluga	usluga	Ncfpg
u	u	Sl
mreži	mreža	Ncfsl
zdravstvene	zdravstven	Agpfsgy
djelatnosti	djelatnost	Ncfsg
na	na	Sl
primarnoj	primaran	Agpfsly
razini	razina	Ncfsl
,	,	Z

5.	5.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
davanju	davanje	Ncnsl
mišljenje	mišljenje	Ncnsa
Komore	komora	Ncfsg
na	na	Sa
prijedloge	prijedlog	Ncmpa
zakonskih	zakonski	Agpfpgy
i	i	Cc
podzakonskih	podzakonski	Agpmpgy
akata	akt	Ncmpg
koji	koji	Pi-mpn
utječu	utjecati	Vmr3p
na	na	Sa
rad	rad	Ncmsan
liječnika	liječnik	Ncmpg
na	na	Sl
području	područje	Ncnsl
primarne	primaran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z

6.	6.	Mdo
podnosi	podnositi	Vmr3s
izvješća	izvješće	Ncnsg
Izvršnom	izvršan	Agpmsly
odboru	odbor	Ncmsl
Komore	komora	Ncfsg
o	o	Sl
pojedinim	pojedini	Agpfply
nepravilnostima	nepravilnost	Ncfpl
ili	ili	Cc
problemima	problem	Ncmpi
te	te	Cc
o	o	Sl
pojedinim	pojedini	Agpnply
pitanjima	pitanje	Ncnpl
iz	iz	Sg
primarne	primaran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z

7.	7.	Mdo
priprema	pripremati	Vmr3s
prijedlog	prijedlog	Ncmsan
godišnjeg	godišnji	Agpmsgy
plana	plan	Ncmsg
potrebnih	potreban	Agpfpgy
specijalizacija	specijalizacija	Ncfpg
koji	koji	Pi-msn
Komora	komora	Ncfsn
daje	davati	Vmr3s
ministarstvu	ministarstvo	Ncnsd
nadležnom	nadležan	Agpfsiy
za	za	Sa
zdravstvo	zdravstvo	Ncnsa
,	,	Z

8.	8.	Mdo
svoj	svoj	Px-msan
rad	rad	Ncmsan
koordinira	koordinirati	Vmr3s
s	sa	Si
ostalim	ostali	Agpnpiy
tijelima	tijelo	Ncmpi
Komore	komora	Ncfsg
,	,	Z

9.	9.	Mdo
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Agpmpay
poslove	posao	Ncmpa
određene	određen	Agpmpay
zakonom	zakon	Ncmsi
,	,	Z
ovim	ovaj	Pd-msi
Statutom	statut	Ncmsi
ili	ili	Cc
drugim	drugi	Mlomsi
općim	opći	Agpmpiy
aktima	akt	Ncmpi
Komore	Komora	Npfsg
.	.	Z

5.	5.	Mdo
Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
bolničku	bolnički	Agpfsay
djelatnost	djelatnost	Ncfsa

Članak	članak	Ncmsn
29.	29.	Mdo

Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
bolničku	bolnički	Agpfsay
djelatnost	djelatnost	Ncfsa
