niža	nizak	Agcfsny
razina	razina	Ncfsn
međunarodnih	međunarodni	Agpfpgy
pričuva	pričuva	Ncfpg
kao	kao	Cs
posljedica	posljedica	Ncfsn
konverzije	konverzija	Ncfsg
bi	biti	Vaa3s
mogla	moći	Vmp-sf
narušiti	narušiti	Vmn
funkcionalnu	funkcionalan	Agpfsay
nezavisnost	nezavisnost	Ncfsa
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
(	(	Z
HNB	HNB	Npmsn
)	)	Z
,	,	Z
posebice	posebice	Rgp
mogućnost	mogućnost	Ncfsn
središnje	središnji	Agpfsgy
banke	banka	Ncfsg
da	da	Cs
postavi	postaviti	Vmr3s
instrumente	instrument	Ncmpa
svoje	svoj	Px-fpa
politike	politika	Ncfpa
s	sa	Si
namjerom	namjera	Ncfsi
postizanja	postizanje	Ncnsg
svojih	svoj	Px-mpg
ciljeva	cilj	Ncmpg
.	.	Z

3.1.2	3.1.2	Mdc
Prijedlog	prijedlog	Ncmsn
zakona	zakon	Ncmsg
bi	biti	Vaa3s
također	također	Rgp
mogao	moći	Vmp-sm
imati	imati	Vmn
negativne	negativan	Agpfpay
posljedice	posljedica	Ncfpa
ako	ako	Cs
bi	biti	Vaa3s
doveo	dovesti	Vmp-sm
do	do	Sg
narušavanja	narušavanje	Ncnsg
naklonosti	naklonost	Ncfsg
stranih	stran	Agpmpgy
investitora	investitor	Ncmpg
zbog	zbog	Sg
zamijećenog	zamijetiti	Agpmsgy
porasta	porast	Ncmsg
pravne	pravni	Agpfsgy
nesigurnosti	nesigurnost	Ncfsg
i	i	Cc
rizika	rizik	Ncmsg
države	država	Ncfsg
.	.	Z

Stoga	stoga	Rgp
ESB	ESB	Npmsn
predlaže	predlagati	Vmr3s
da	da	Cs
hrvatska	hrvatski	Agpnpay
nadležna	nadležan	Agpnpay
tijela	tijelo	Ncnpa
provedu	provesti	Vmr3p
temeljitu	temeljit	Agpfsay
analizu	analiza	Ncfsa
mogućih	moguć	Agpmpgy
učinaka	učinak	Ncmpg
koje	koji	Pi-mpa
bi	biti	Vaa3p
na	na	Sa
gospodarstvo	gospodarstvo	Ncnsa
mogle	moći	Vmp-pf
imati	imati	Vmn
predložene	predložen	Agpfpay
mjere	mjera	Ncfpa
.	.	Z

3.2	3.2	Mdc
Povratno	povratan	Agpnsny
djelovanje	djelovanje	Ncnsn

3.2.1	3.2.1	Mdc
Primajući	primati	Rr
na	na	Sa
znanje	znanje	Ncnsa
da	da	Cs
se	sebe	Px--sa
Direktiva	direktiva	Ncfsn
2014/17	2014/17	Mdc
/	/	Z
EU	E	Npmsg
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
[	[	Z
6	6	Mdc
]	]	Z
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
ugovore	ugovor	Ncmpa
o	o	Sl
kreditu	kredit	Ncmsl
koji	koji	Pi-mpn
