Ostala	ostali	Agpnpay
prava	pravo	Ncnpa
iz	iz	Sg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
radnici	radnik	Ncmpn
koji	koji	Pi-mpn
rade	raditi	Vmr3p
nepuno	nepun	Agpnsay
radno	radni	Agpnsay
vrijeme	vrijeme	Ncnsa
ostvaruju	ostvarivati	Vmr3p
proporcionalno	proporcionalno	Rgp
udjelu	udjel	Ncmsd
nepunog	nepun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
u	u	Sl
fondu	fond	Ncmsl
sati	sat	Ncmpg
punog	pun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
.	.	Z

Prekovremeni	prekovremeni	Agpmsny
rad	rad	Ncmsn

Članak	članak	Ncmsn
36.	36.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
više	mnogo	Rgc
sile	sila	Ncfsg
,	,	Z
izvanrednog	izvanredan	Agpnsgy
povećanja	povećanje	Ncnsg
opsega	opseg	Ncmsg
posla	posao	Ncmsg
i	i	Cc
u	u	Sl
drugim	drugi	Agpmply
sličnim	sličan	Agpmply
slučajevima	slučaj	Ncmpl
prijeke	prijek	Agpfsgy
potrebe	potreba	Ncfsg
,	,	Z
radnik	radnik	Ncmsn
na	na	Sa
zahtjev	zahtjev	Ncmsan
Poslodavca	poslodavac	Ncmsg
mora	morati	Vmr3s
raditi	raditi	Vmn
duže	dugo	Rgc
od	od	Sg
punog	pun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
najviše	mnogo	Rgs
kako	kako	Cs
je	biti	Var3s
to	taj	Pd-nsn
određeno	odrediti	Appnsny
sukladno	sukladan	Agpnsny
Zakonu	zakon	Ncmsl
o	o	Sl
radu	rad	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prekovremeni	prekovremeni	Agpmsny
rad	rad	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
narediti	narediti	Vmn
radniku	radnik	Ncmsd
kod	kod	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
utvrđena	utvrditi	Appfsny
profesionalna	profesionalan	Agpfsny
nesposobnost	nesposobnost	Ncfsn
za	za	Sa
rad	rad	Ncmsan
ili	ili	Cc
neposredna	neposredan	Agpfsny
opasnost	opasnost	Ncfsn
od	od	Sg
nastanka	nastanak	Ncmsg
invalidnosti	invalidnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Trudnica	trudnica	Ncfsn
,	,	Z
majka	majka	Ncfsn
s	sa	Si
djetetom	dijete	Ncnsi
do	do	Sg
3	3	Mdc
(	(	Z
tri	tri	Mlc
)	)	Z
godine	godina	Ncfsg
starosti	starost	Ncfsg
,	,	Z
roditelj	roditelj	Ncmsn
ili	ili	Cc
posvojitelj	posvojitelj	Ncmsn
koji	koji	Pi-msn
radi	raditi	Vmr3s
polovicu	polovica	Ncfsa
punog	pun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
zbog	zbog	Sg
njege	njega	Ncfsg
djeteta	dijete	Ncnsg
s	sa	Si
težim	težak	Agcfpiy
smetnjama	smetnja	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
,	,	Z
samohrani	samohran	Agpmsny
roditelj	roditelj	Ncmsn
s	sa	Si
djetetom	dijete	Ncnsi
do	do	Sg
6	6	Mdc
(	(	Z
šest	šest	Mlc
)	)	Z
godina	godina	Ncfsn
starosti	starost	Ncfsg
može	moći	Vmr3s
raditi	raditi	Vmn
prekovremeno	prekovremeno	Rgp
samo	samo	Rgp
uz	uz	Sa
pisani	pisan	Agpmsayn
pristanak	pristanak	Ncmsan
na	na	Sa
prekovremeni	prekovremeni	Agpmsayn
rad	rad	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
radi	radi	Sg
izbjegavanja	izbjegavanje	Ncnsg
prekovremenog	prekovremeni	Agpmsgy
rada	rad	Ncmsg
provoditi	provoditi	Vmn
mjere	mjera	Ncfpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
:	:	Z
raspored	raspored	Ncmsn
radnika	radnik	Ncmpg
iz	iz	Sg
drugih	drugi	Mlofpg
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
,	,	Z
sezonsko	sezonski	Agpnsny
zapošljavanje	zapošljavanje	Ncnsn
i	i	Cc
slično	sličan	Agpnsny
,	,	Z
a	a	Cc
sukladno	sukladno	Rgp
Zakonu	Zakon	Npmsd
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
radniku	radnik	Ncmsd
unaprijed	unaprijed	Rgp
izdati	izdati	Vmn
pisani	pisati	Appmpny
(	(	Z
dopisom	dopis	Ncmsi
,	,	Z
e-poštom	e-pošta	Ncfsi
ili	ili	Cc
sms	sms	Mlcfsi
porukom	poruka	Ncfsi
)	)	Z
ili	ili	Cc
usmeni	usmen	Agpmsny
nalog	nalog	Ncmsn
za	za	Sa
prekovremeni	prekovremeni	Agpmsayn
rad	rad	Ncmsan
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
hitnog	hitan	Agpmsgy
prekovremenog	prekovremeni	Agpmsgy
rada	rad	Ncmsg
.	.	Z

Potvrdu	potvrda	Ncfsa
o	o	Sl
obavljenom	obaviti	Agpmsly
prekovremenom	prekovremeni	Agpmsly
radu	rad	Ncmsl
Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
izdati	izdati	Vmn
radniku	radnik	Ncmsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
4	4	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
prekovremeni	prekovremeni	Agpmsny
rad	rad	Ncmsn
izvršen	izvršiti	Appmsnn
,	,	Z
a	a	Cc
obavezno	obavezno	Rgp
prije	prije	Sg
obračuna	obračun	Ncmsg
plaće	plaća	Ncfsg
za	za	Sa
mjesec	mjesec	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
radnik	radnik	Ncmsn
radio	raditi	Vmp-sm
prekovremeno	prekovremeno	Rgp
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Za	za	Sa
sate	sat	Ncmpa
ostvarene	ostvariti	Appmpay
u	u	Sl
prekovremenom	prekovremeni	Agpmsly
radu	rad	Ncmsl
,	,	Z
radnik	radnik	Ncmsn
ostvaruje	ostvarivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
povećanu	povećan	Agpfsay
plaću	plaća	Ncfsa
,	,	Z
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
ovog	ovaj	Pd-msg
Ugovora	ugovor	Ncmsg
ili	ili	Cc
pravo	pravo	Ncnsa
na	na	Sa
slobodne	slobodan	Agpmpay
sate	sat	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
slobodne	slobodan	Agpmpay
dane	dan	Ncmpa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Radnik	radnik	Ncmsn
neće	htjeti	Var3s
ostvariti	ostvariti	Vmn
pravo	pravo	Ncnsa
na	na	Sa
povećanu	povećan	Agpfsay
plaću	plaća	Ncfsa
po	po	Sl
osnovi	osnova	Ncfsl
prekovremenog	prekovremeni	Agpmsgy
rada	rad	Ncmsg
ako	ako	Cs
izričito	izričito	Rgp
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
da	da	Cs
privolu	privola	Ncfsa
da	da	Cs
umjesto	umjesto	Sg
plaćenog	platiti	Appnsgy
prekovremenog	prekovremeni	Agpmsgy
rada	rad	Ncmsg
želi	željeti	Vmr3s
koristiti	koristiti	Vmn
slobodne	slobodan	Agpmpay
sate	sat	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
slobodne	slobodan	Agpmpay
dane	dan	Ncmpa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Svaki	svaki	Pi-msn
sat	sat	Ncmsn
proveden	provesti	Appmsnn
u	u	Sl
prekovremenom	prekovremeni	Agpmsly
radu	rad	Ncmsl
računat	računati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
kao	kao	Cs
1	1	Mdc
sat	sat	Ncmsn
i	i	Cc
30	30	Mdc
minuta	minuta	Ncfpg
slobodnih	slobodan	Agpmpgy
sati	sat	Ncmpg
.	.	Z

