bilo	bilo	Qo
kakve	kakav	Pi-fsg
naknadne	naknadan	Agpfsgy
veće	velik	Agcfsgy
izmjene	izmjena	Ncfsg
tog	taj	Pd-msg
modela	model	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uprava	uprava	Ncfsn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odgovorna	odgovoran	Agpfsny
je	biti	Var3s
za	za	Sa
uspostavu	uspostava	Ncfsa
,	,	Z
a	a	Cc
nadzorni	nadzorni	Agpmsny
odbor	odbor	Ncmsn
za	za	Sa
nadzor	nadzor	Ncmsan
sustava	sustav	Ncmsg
koji	koji	Pi-msn
osigurava	osiguravati	Vmr3s
kontinuirano	kontinuiran	Agpnsay
i	i	Cc
pravilno	pravilan	Agpnsny
funkcioniranje	funkcioniranje	Ncnsn
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
.	.	Z

Povratak	povratak	Ncmsn
na	na	Sa
standardnu	standardan	Agpfsay
formulu	formula	Ncfsa

Članak	članak	Ncmsn
147.	147.	Mdo

Nakon	nakon	Sg
dobivanja	dobivanje	Ncnsg
odobrenja	odobrenje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
143.	143.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
vratiti	vratiti	Vmn
na	na	Sa
izračun	izračun	Ncmsan
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
ili	ili	Cc
nekog	neki	Pi-msg
njegova	njegov	Ps3msg
dijela	dio	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
standardnom	standardan	Agpfsiy
formulom	formula	Ncfsi
,	,	Z
osim	osim	Cs
u	u	Sl
primjereno	primjereno	Rgp
opravdanim	opravdati	Agpfply
okolnostima	okolnost	Ncfpl
i	i	Cc
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
za	za	Sa
to	taj	Pd-nsa
dobije	dobiti	Vmr3s
odobrenje	odobrenje	Ncnsa
Agencije	agencija	Ncfsg
.	.	Z

Neusklađenost	neusklađenost	Ncfsn
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg

Članak	članak	Ncmsn
148.	148.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsa
nakon	nakon	Sg
dobivanja	dobivanje	Ncnsg
odobrenja	odobrenje	Ncnsg
Agencije	agencija	Ncfsg
za	za	Sa
uporabu	uporaba	Ncfsa
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
prestane	prestati	Vmr3s
ispunjavati	ispunjavati	Vmn
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
članaka	članak	Ncmpg
150.	150.	Mdo
–	–	Z
155.	155.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
dužno	dužan	Agpnsny
je	biti	Var3s
bez	bez	Sg
odgađanja	odgađanje	Ncnsg
Agenciji	Agencija	Npfsd
dostaviti	dostaviti	Vmn
plan	plan	Ncmsan
za	za	Sa
ponovno	ponovan	Agpnsay
uspostavljanje	uspostavljanje	Ncnsa
usklađenosti	usklađenost	Ncfsg
s	sa	Si
navedenim	naveden	Agpmpiy
zahtjevima	zahtjev	Ncmpi
u	u	Sl
razumnom	razuman	Agpnsly
razdoblju	razdoblje	Ncnsl
ili	ili	Cc
dostaviti	dostaviti	Vmn
dokaze	dokaz	Ncmpa
da	da	Cs
učinak	učinak	Ncmsn
neusklađenosti	neusklađenost	Ncfsg
nije	biti	Var3s
značajan	značajan	Agpmsnn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
provede	provesti	Vmr3s
plan	plan	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
