Županja	Županja	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
9.3.2.4.	9.3.2.4.	Y

Odjel	odjel	Ncmsn
–	–	Z
područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
fitosanitarne	fitosanitarni	Agpfsgy
inspekcije	inspekcija	Ncfsg
Rijeka	Rijeka	Npfsn
1	1	Mdc
Ispostava	ispostava	Ncfpg
Rijeka	Rijeka	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Poreč	Poreč	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
9.3.2.5.	9.3.2.5.	Y

Odjel	odjel	Ncmsn
–	–	Z
područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
fitosanitarne	fitosanitarni	Agpfsgy
inspekcije	inspekcija	Ncfsg
Split	Split	Npmsn
1	1	Mdc
Ispostava	ispostava	Ncfsn
Split	Split	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	ispostava	Ncfpg
Nova	nov	Agpnpny
Sela	selo	Ncnpn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Ploče	ploča	Ncfsg
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	ispostava	Ncfsn
Karasovići	Karasovići	Npfsl
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	ispostava	Ncfsn
Zadar	Zadar	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
UKUPNO	ukupan	Agpnsny
106	106	Mdc
10.	10.	Mdo

UPRAVA	uprava	Ncfsn
ZA	za	Sa
