seroloških	serološki	Agpmpgy
testova	test	Ncmpg
navedenih	naveden	Agpfpgy
u	u	Sl
točki	točka	Ncfsl
10.	10.	Mdo
ovoga	ovaj	Pd-nsg
Poglavlja	poglavlje	Ncnsg
.	.	Z

b	b	X
)	)	Z
sva	sav	Agpnpay
goveda	govedo	Ncnpa
koja	koji	Pi-npn
ulaze	ulaziti	Vmr3p
u	u	Sa
stado	stado	Ncnsa
moraju	morati	Vmr3p
biti	biti	Van
iz	iz	Sg
stada	stado	Ncnsg
koja	koji	Pi-npn
imaju	imati	Vmr3p
status	status	Ncmsan
službeno	službeno	Rgp
slobodnih	slobodan	Agpmpgy
od	od	Sg
bruceloze	bruceloza	Ncfsg
goveda	govedo	Ncnsg
,	,	Z
a	a	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
goveda	govedo	Ncnsg
starijih	star	Agcfpgy
od	od	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
moraju	morati	Vmr3p
pokazati	pokazati	Vmn
titar	titar	Ncmsan
Brucelle	Brucella	Npfsg
manji	mali	Agcmsny
od	od	Sg
30	30	Mdc
IU	i	Ncmpg
aglutinacije	aglutinacija	Ncfsg
po	po	Sl
ml	ml	Ncmsl
kad	kad	Cs
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
serum	serum	Ncmsn
aglutinacijski	aglutinacijski	Agpmsny
test	test	Ncmsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Dodatkom	dodatak	Ncmsi
C	C	Npmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ili	ili	Cc
ako	ako	Cs
im	oni	Pp3-pd
je	biti	Var3s
reakcija	reakcija	Ncfsn
negativna	negativan	Agpfsny
na	na	Sa
svaki	svaki	Pi-msan
drugi	drugi	Mlomsan
test	test	Ncmsan
odobren	odobriti	Appmsnn
u	u	Sl
posebnom	poseban	Agpmsly
postupku	postupak	Ncmsl
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
tijekom	tijekom	Sg
30	30	Mdc
dana	dan	Ncmpg
prije	prija	Cs
ili	ili	Cs
30	30	Mdc
dana	dan	Ncmpg
