F21B	F21B	Pd-mpn
Ostali	ostali	Agpmpny
operativni	operativan	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
cirkulacijskom	cirkulacijski	Agpmsly
sustavu	sustav	Ncmsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
1,09	1,09	Mdc
20.437,50	20.437,50	Mdc
F40Z	F40Z	Pi-fsn
Dijagnoza	dijagnoza	Ncfsn
u	u	Sl
vezi	veza	Ncfsl
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
potporom	potpora	Ncfsi
disanju	disanje	Ncnsd
2,86	2,86	Mdc
53.625,00	53.625,00	Mdc
F41A	f41a	Agpmsny
Poremećaj	poremećaj	Ncmsn
cirkulacije	cirkulacija	Ncfsg
s	sa	Si
akutnim	akutan	Agpmsiy
infarktom	infarkt	Ncmsi
miokarda	miokard	Ncmsg
,	,	Z
s	sa	Si
invazivnom	invazivan	Agpfsiy
dijagnostikom	dijagnostika	Ncfsi
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
te	te	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,66	1,66	Mdc
31.125,00	31.125,00	Mdc
F41B	f41b	Agpmsny
Poremećaj	poremećaj	Ncmsn
cirkulacije	cirkulacija	Ncfsg
s	sa	Si
akutnim	akutan	Agpmsiy
infarktom	infarkt	Ncmsi
miokarda	miokard	Ncmsg
,	,	Z
s	sa	Si
invazivnom	invazivan	Agpfsiy
dijagnostikom	dijagnostika	Ncfsi
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,4	1,4	Mdc
26.250,00	26.250,00	Mdc
F42A	f42	Ncmpg
Poremećaj	poremećaj	Ncmsn
cirkulacije	cirkulacija	Ncfsg
bez	bez	Sg
akutnog	akutan	Agpmsgy
infarkta	infarkt	Ncmsg
miokarda	miokard	Ncmsg
,	,	Z
s	sa	Si
invazivnom	invazivan	Agpfsiy
dijagnostikom	dijagnostika	Ncfsi
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
sa	sa	Si
složenim	složen	Agpfpiy
dijagnozama	dijagnoza	Ncfpi
/	/	Z
postupcima	postupak	Ncmpi
1,13	1,13	Mdc
21.187,50	21.187,50	Mdc
F42B	f42b	Agpmsny
Poremećaj	poremećaj	Ncmsn
cirkulacije	cirkulacija	Ncfsg
bez	bez	Sg
akutnog	akutan	Agpmsgy
infarkta	infarkt	Ncmsg
miokarda	miokard	Ncmsg
,	,	Z
s	sa	Si
invazivnom	invazivan	Agpfsiy
dijagnostikom	dijagnostika	Ncfsi
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
bez	bez	Sg
složenih	složen	Agpfpgy
dijagnoza	dijagnoza	Ncfpg
/	/	Z
postupaka	postupak	Ncmpg
0,85	0,85	Mdc
15.937,50	15.937,50	Mdc
F60A	f60a	Agpmsny
Poremećaj	poremećaj	Ncmsn
cirkulacije	cirkulacija	Ncfsg
s	sa	Si
akutnim	akutan	Agpmsiy
infarktom	infarkt	Ncmsi
miokarda	miokarda	Ncfpg
,	,	Z
bez	bez	Sg
invazivne	invazivan	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,75	1,75	Mdc
32.812,50	32.812,50	Mdc
F60B	f60b	Agpmsny
Poremećaj	poremećaj	Ncmsn
cirkulacije	cirkulacija	Ncfsg
s	sa	Si
akutnim	akutan	Agpmsiy
infarktom	infarkt	Ncmsi
miokarda	miokarda	Ncfpg
,	,	Z
bez	bez	Sg
invazivne	invazivan	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,81	0,81	Mdc
15.187,50	15.187,50	Mdc
F60C	f60c	Agpmsny
Poremećaj	poremećaj	Ncmsn
cirkulacije	cirkulacija	Ncfsg
s	sa	Si
akutnim	akutan	Agpmsiy
infarktom	infarkt	Ncmsi
miokarda	miokarda	Ncfpg
,	,	Z
bez	bez	Sg
invazivne	invazivan	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
sa	sa	Si
smrtnim	smrtan	Agpmsiy
ishodom	ishod	Ncmsi
1	1	Mdc
18.750,00	18.750,00	Mdc
F61Z	f61z	Agpmsny
