izmjenama	izmjena	Ncfpi
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
sigurnosti	sigurnost	Ncfsl
prometa	promet	Ncmsg
na	na	Sl
cestama	cesta	Ncfpl
koji	koji	Pi-msn
je	biti	Var3s
objavljen	objaviti	Appmsnn
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
broj	broj	Ncmsn
64	64	Mdc
od	od	Sg
10.	10.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ZID	zid	Ncmsn
ZSPNC-a	ZSPNC	Npmsg
/	/	Z
15	15	Mdc
)	)	Z
.	.	Z

Člankom	članak	Ncmsi
7.	7.	Mdo
ZID-a	zid-	Ncmsg
ZSPNC-a	ZSPNC	Npmsg
/	/	Z
15	15	Mdc
propisano	propisati	Appnsny
je	biti	Var3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
7.	7.	Mdo

U	u	Sl
članku	članak	Ncmsl
221.	221.	Mdo
stavci	stavak	Ncmpn
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z
«	«	Z

Člankom	članak	Ncmsi
16.	16.	Mdo

ZID-a	ZID	Npmsg
ZSPNC-a	ZSPNC	Npmsg
/	/	Z
15	15	Mdc
propisano	propisati	Appnsny
je	biti	Var3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
16.	16.	Mdo

U	u	Sl
članku	članak	Ncmsl
285.	285.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točka	točka	Ncfsn
3.	3.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Dosadašnje	dosadašnji	Agpfsgy
točke	točka	Ncfsg
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
postaju	postaja	Ncfsa
točke	točka	Ncfsg
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
«	«	Z

Člankom	članak	Ncmsi
18.	18.	Mdo

