programskog	programski	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Plan	plan	Ncmsn
vrednovanja	vrednovanje	Ncnsg
treba	trebati	Vmr3s
obavezno	obavezno	Rgp
sadržavati	sadržavati	Vmn
indikativan	indikativan	Agpmsann
popis	popis	Ncmsan
vrednovanja	vrednovanje	Ncnsg
koja	koji	Pi-fsn
će	htjeti	Var3s
se	sebe	Px--sa
provesti	provesti	Vmn
,	,	Z
njihov	njihov	Ps3msan
sadržaj	sadržaj	Ncmsan
i	i	Cc
svrhovitost	svrhovitost	Ncfsa
,	,	Z
vremenski	vremenski	Agpmsny
raspored	raspored	Ncmsn
vrednovanja	vrednovanje	Ncnsg
,	,	Z
metode	metoda	Ncfpn
koje	koji	Pi-fpn
će	htjeti	Var3s
se	sebe	Px--sa
koristiti	koristiti	Vmn
za	za	Sa
pojedina	pojedini	Agpnpay
vrednovanja	vrednovanje	Ncnpa
i	i	Cc
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
će	htjeti	Var3p
se	sebe	Px--sa
tražiti	tražiti	Vmn
,	,	Z
dostupnost	dostupnost	Ncfsn
odnosno	odnosno	Rgp
način	način	Ncmsan
prikupljanja	prikupljanje	Ncnsg
podataka	podatak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
određena	određen	Agpnpay
vrednovanja	vrednovanje	Ncnpa
te	te	Cc
okvirni	okviran	Agpmsny
proračun	proračun	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
plana	plan	Ncmsg
vrednovanja	vrednovanje	Ncnsg
.	.	Z

Opis	opis	Ncmsn
poslova	posao	Ncmpg
za	za	Sa
provedbu	provedba	Ncfsa
vrednovanja	vrednovanje	Ncnsg

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Opis	opis	Ncmsn
poslova	posao	Ncmpg
za	za	Sa
provedbu	provedba	Ncfsa
vrednovanja	vrednovanje	Ncnsg
definira	definirati	Vmr3s
svrhu	svrha	Ncfsa
i	i	Cc
djelokrug	djelokrug	Ncmsan
vrednovanja	vrednovanje	Ncnsg
,	,	Z
opisuje	opisivati	Vmr3s
metode	metoda	Ncfpa
koje	koji	Pi-fpn
će	htjeti	Var3s
se	sebe	Px--sa
koristiti	koristiti	Vmn
tijekom	tijekom	Sg
vrednovanja	vrednovanje	Ncnsg
,	,	Z
utvrđuje	utvrđivati	Vmr3s
resurse	resurs	Ncmpa
te	te	Cc
potrebno	potreban	Agpnsny
vrijeme	vrijeme	Ncnsn
za	za	Sa
provedbu	provedba	Ncfsa
vrednovanja	vrednovanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Opisu	opis	Ncmsl
poslova	posao	Ncmpg
navodi	navoditi	Vmr3s
se	sebe	Px--sa
točan	točan	Agpmsnn
sadržaj	sadržaj	Ncmsn
aktivnosti	aktivnost	Ncfpg
koje	koji	Pi-fpn
će	htjeti	Var3s
se	sebe	Px--sa
vrednovati	vrednovati	Vmn
,	,	Z
informacije	informacija	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
dostupne	dostupan	Agpfpny
i	i	Cc
bit	biti	Van
će	htjeti	Var3s
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
izvršitelju	izvršitelj	Ncmsl
vrednovanja	vrednovanje	Ncnsg
,	,	Z
pitanja	pitanje	Ncnpn
na	na	Sa
koje	koji	Pi-mpa
postupak	postupak	Ncmsan
vrednovanja	vrednovanje	Ncnsg
mora	morati	Vmr3s
odgovoriti	odgovoriti	Vmn
te	taj	Pd-fpa
faze	faza	Ncfpa
i	i	Cc
rokove	rok	Ncmpa
kojih	koji	Pi-mpg
se	sebe	Px--sa
u	u	Sl
procesu	proces	Ncmsl
vrednovanja	vrednovanje	Ncnsg
izvršitelji	izvršitelj	Ncmpn
vrednovanja	vrednovanje	Ncnsg
trebaju	trebati	Vmr3p
pridržavati	pridržavati	Vmn
.	.	Z

Ustrojavanje	ustrojavanje	Ncnsn
Upravljačke	upravljački	Agpfsgy
skupine	skupina	Ncfsg

