Zagrebu	zagrepsti	Vmr3p
broj	broj	Ncmsan
:	:	Z
14	14	Mdc
Su-3	Su-	Npmpg
/	/	Z
13	13	Mdc
-	-	Z
1050	1050	Mdc
od	od	Sg
27.	27.	Mdo
rujna	rujan	Ncmsg
2013.	2013.	Mdo
odvjetnica	odvjetnica	Ncfsn
dr.	dr.	Y
sc.	sc.	Y
Laura	Laura	Npfsn
Valković	Valković	Npfsn
postavljena	postaviti	Appfsny
je	biti	Var3s
za	za	Sa
braniteljicu	braniteljica	Ncfsa
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
podnositelju	podnositelj	Ncmsl
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
.	.	Z

Braniteljica	braniteljica	Ncfsn
Valković	Valković	Npmsn
je	biti	Var3s
4.	4.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo

Županijskom	županijski	Agpmsdy
sudu	sud	Ncmsd
u	u	Sl
Zagrebu	Zagreb	Npmsl
podnijela	podnijeti	Vmp-sf
žalbu	žalba	Ncfsa
protiv	protiv	Sg
rješenja	rješenje	Ncnsg
o	o	Sl
određivanju	određivanje	Ncnsl
istražnog	istražni	Agpmsgy
zatvora	zatvor	Ncmsg
podnositelju	podnositelj	Ncmsd
.	.	Z

Žalba	žalba	Ncfsn
je	biti	Var3s
,	,	Z
sa	sa	Si
cjelokupnim	cjelokupan	Agpmsiy
spisom	spis	Ncmsi
,	,	Z
10.	10.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo
dostavljena	dostaviti	Appfsny
na	na	Sa
odlučivanje	odlučivanje	Ncnsa
izvanraspravnom	izvanraspravni	Agpnsly
vijeću	vijeće	Ncnsl
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
.	.	Z

Izvanraspravno	izvanraspravni	Agpnsny
vijeće	vijeće	Ncnsn
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
je	biti	Var3s
,	,	Z
uz	uz	Sa
dopis	dopis	Ncmsan
broj	broj	Ncmsan
:	:	Z
10-II	10-ia	Ncfsl
-	-	Z
Kv-Us-181	Kv-Us-181	Mdc
/	/	Z
13	13	Mdc
-	-	Z
2	2	Mdc
,	,	Z
11.	11.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo
vratilo	vratilo	Ncnsa
spis	spis	Ncmsn
sucu	sudac	Ncmsl
istrage	istraga	Ncfsg
u	u	Sl
kaznenom	kazneni	Agpmsly
predmetu	predmet	Ncmsl
protiv	protiv	Sg
podnositelja	podnositelj	Ncmpg
.	.	Z

Uvidom	uvid	Ncmsi
u	u	Sa
spis	spis	Ncmsan
predmeta	predmet	Ncmsg
predsjednica	predsjednica	Ncfsn
vijeća	vijeće	Ncnsg
Županijskog	županijski	Agpmsgy
