kontrole	kontrola	Ncfpn
upravnih	upravan	Agpmpgy
akata	akt	Ncmpg
(	(	Z
članak	članak	Ncmsn
19.	19.	Mdo
st.	sta	Ncfsg
2.	2.	Mdo
Ustava	ustav	Ncmsg
)	)	Z
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
podrazumijeva	podrazumijevati	Vmr3s
stvarnu	stvaran	Agpfsay
i	i	Cc
učinkovitu	učinkovit	Agpfsay
,	,	Z
neovisnu	neovisan	Agpfsay
i	i	Cc
nepristranu	nepristran	Agpfsay
sudsku	sudski	Agpfsay
zaštitu	zaštita	Ncfsa
od	od	Sg
nezakonitih	nezakonit	Agpmpgy
akata	akt	Ncmpg
javnopravnih	javnopravni	Agpnpgy
tijela	tijelo	Ncnpg
(	(	Z
v.	v.	Sa
odluku	odluka	Ncfsa
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
broj	broj	Ncmsn
:	:	Z
U-III-4261	U-III-4261	X
/	/	Z
2012	2012	Mdc
od	od	Sg
28.	28.	Mdo
svibnja	svibanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
točka	točka	Ncfsn
17.	17.	Mdo
)	)	Z
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
osobite	osobit	Agpfpay
okolnosti	okolnost	Ncfpa
konkretnog	konkretan	Agpmsgy
slučaja	slučaj	Ncmsg
,	,	Z
u	u	Sl
osporenoj	osporiti	Agpfsly
presudi	presuda	Ncfsl
Upravnog	upravan	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
nisu	biti	Var3p
navedeni	navesti	Appmpny
nikakvi	nikakav	Pi-mpn
,	,	Z
a	a	Cc
kamoli	kamoli	Agpmsny
dostatni	dostatan	Agpmsny
,	,	Z
relevantni	relevantan	Agpmpny
i	i	Cc
ozbiljni	ozbiljan	Agpmpny
razlozi	razlog	Ncmpn
za	za	Sa
odbijanje	odbijanje	Ncnsa
podnositeljeve	podnositeljev	Agpfsgy
tužbe	tužba	Ncfsg
protiv	protiv	Sg
odluke	odluka	Ncfsg
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
a	a	Cc
u	u	Sl
osporenoj	osporiti	Agpfsly
presudi	presuda	Ncfsl
Visokog	visok	Agpmsgy
Upravnog	upravan	Agpmsgy
suda	sud	Ncmsg
ponovno	ponovno	Rgp
nisu	biti	Var3p
navedeni	navesti	Appmpny
nikakvi	nikakav	Pi-mpn
,	,	Z
a	a	Cc
kamoli	kamoli	Agpmsny
dostatni	dostatan	Agpmsny
,	,	Z
relevantni	relevantan	Agpmpny
i	i	Cc
ozbiljni	ozbiljan	Agpmpny
razlozi	razlog	Ncmpn
za	za	Sa
odbijanje	odbijanje	Ncnsa
podnositeljeve	podnositeljev	Agpfsgy
žalbe	žalba	Ncfsg
protiv	protiv	Sg
prvostupanjske	prvostupanjski	Agpfsgy
presude	presuda	Ncfsg
Upravnog	upravan	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
.	.	Z

Zbog	zbog	Sg
toga	taj	Pd-nsg
je	biti	Var3s
podnositelju	podnositelj	Ncmsl
povrijeđeno	povrijediti	Appnsny
i	i	Cc
njegovo	njegov	Ps3nsn
ustavno	ustavan	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
obrazloženu	obrazložiti	Agpfsay
sudsku	sudski	Agpfsay
odluku	odluka	Ncfsa
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
29.	29.	Mdo
st.	sta	Ncfsg
1.	1.	Mdo
Ustava	ustav	Ncmsg
i	i	Cc
članka	članak	Ncmsg
6.	6.	Mdo
st.	st.	Y
1.	1.	Mdo
Konvencije	konvencija	Ncfsg
(	(	Z
v.	v.	Mro
presudu	presuda	Ncfsa
Velikog	velik	Agpnsgy
vijeća	vijeće	Ncnsg
ESLJP-a	ESLJP	Npmsg
Gorou	Goroe	Npnsg
protiv	protiv	Sg
Grčke	Grčka	Npfsg
(	(	Z
br.	br.	Y
2	2	Mdc
)	)	Z
zahtjev	zahtjev	Ncmsan
br.	br.	Y
12686/03	12686/03	Mdc
,	,	Z
20.	20.	Mdo
ožujka	ožujak	Ncmsg
2009.	2009.	Mdo
godine	godina	Ncfsg
,	,	Z
§	§	Z
37.	37.	Mdo
)	)	Z
.	.	Z

Što	što	Pi3n-n
se	sebe	Px--sa
tiče	ticati	Vmr3s
odluke	odluka	Ncfsg
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
(	(	Z
nastavno	nastavni	Agpnsny
:	:	Z
Povjerenstvo	povjerenstvo	Ncnsn
)	)	Z
,	,	Z
ona	on	Pp3fsn
se	sebe	Px--sa
ni	ni	Qz
u	u	Sl
kom	koji	Pi-msl
aspektu	aspekt	Ncmsl
ne	ne	Qz
može	moći	Vmr3s
smatrati	smatrati	Vmn
'	'	Z
zakonitom	zakonit	Agpnsly
'	'	Z
u	u	Sl
značenju	značenje	Ncnsl
koje	koji	Pi-nsa
'	'	Z
zakonitost	zakonitost	Ncfsn
'	'	Z
(	(	Z
lawfulness	lawfulness	Xf
)	)	Z
ima	imati	Vmr3s
u	u	Sl
praksi	praksa	Ncfsl
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
(	(	Z
nastavno	nastavno	Rgp
:	:	Z
ESLJP	ESLJP	Npmsn
)	)	Z
,	,	Z
a	a	Cc
koju	koji	Pi-fsa
je	biti	Var3s
prihvatio	prihvatiti	Vmp-sm
i	i	Qo
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
obuhvaćajući	obuhvaćajući	Agpmsny
je	biti	Var3s
pojmom	pojam	Ncmsi
vladavine	vladavina	Ncfsg
prava	pravo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
Ustava	ustav	Ncmsg
.	.	Z

Postupanje	postupanje	Ncnsn
Povjerenstva	povjerenstvo	Ncnsg
u	u	Sl
konkretnom	konkretan	Agpmsly
je	biti	Var3s
slučaju	slučaj	Ncmsl
bilo	biti	Vap-sn
