prilaže	prilagati	Vmr3s
:	:	Z

–		Agcmsayn
zahtjev	zahtjev	Ncmsan
korisnika	korisnik	Ncmpg
za	za	Sa
bolničku	bolnički	Agpfsay
medicinsku	medicinski	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
(	(	Z
Obrazac	Obrazac	Npmsn
MR	MR	Npmsn
)	)	Z

–	–	Sa
odgovarajuću	odgovarajući	Agpfsay
medicinsku	medicinski	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
presliku	preslika	Ncfsa
ovjerene	ovjeriti	Appfpny
od	od	Sg
nadležnog	nadležan	Agpmsgy
doktora	doktor	Ncmsg
medicine	medicina	Ncfsg

–	–	Sa
presliku	preslika	Ncfsa
zadnjeg	zadnji	Agpnsgy
odobrenja	odobrenje	Ncnsg
HZZO-a	HZZO	Npmsg
i	i	Cc
medicinsku	medicinski	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
zdravstvene	zdravstven	Agpfsgy
ustanove	ustanova	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
provedena	provesti	Appfsny
medicinska	medicinski	Agpfsny
rehabilitacija	rehabilitacija	Ncfsn
temeljem	temelj	Sg
odobrenja	odobrenje	Ncnsg
HZZO-a	HZZO	Npmsg

–	–	Sa
presliku	preslika	Ncfsa
pravomoćnog	pravomoćan	Agpnsgy
rješenja	rješenje	Ncnsg
o	o	Sl
priznavanju	priznavanje	Ncnsl
statusa	status	Ncmsg
žrtve	žrtva	Ncfsg
seksualnog	seksualan	Agpnsgy
nasilja	nasilje	Ncnsg
i	i	Cc

–	i	Agpnsay
mišljenje	mišljenje	Ncnsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmpg
odgovarajuće	odgovarajući	Agpfsgy
specijalnosti	specijalnost	Ncfsg
o	o	Sl
potrebi	potreba	Ncfsl
liječenja	liječenje	Ncnsg
bolničkom	bolnički	Agpfsiy
medicinskom	medicinski	Agpfsiy
rehabilitacijom	rehabilitacija	Ncfsi
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prijedlog	prijedlog	Ncmsn
za	za	Sa
bolničku	bolnički	Agpfsay
medicinsku	medicinski	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
zajedno	zajedno	Rgp
s	sa	Si
prilozima	prilog	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
upućuje	upućivati	Vmr3s
se	sebe	Px--sa
Povjerenstvu	povjerenstvo	Ncnsd
za	za	Sa
medicinsku	medicinski	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
koje	koji	Pi-nsn
