jedna	jedan	Mlcfsn
ili	ili	Cc
više	mnogo	Rgc
provjerenih	provjeriti	Agpfpgy
sigurnosnih	sigurnosni	Agpfpgy
komponenti	komponenta	Ncfpg
nisu	biti	Var3p
sukladne	sukladan	Agpfpny
,	,	Z
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
mora	morati	Vmr3s
poduzeti	poduzeti	Vmn
odgovarajuće	odgovarajući	Agpfpay
mjere	mjera	Ncfpa
.	.	Z

Točke	točka	Ncfpn
koje	koji	Pi-fpa
treba	trebati	Vmr3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
kod	kod	Sg
provjere	provjera	Ncfsg
sigurnosnih	sigurnosni	Agpfpgy
komponenti	komponenta	Ncfpg
definirat	definirati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
zajedničkim	zajednički	Agpmsiy
sporazumom	sporazum	Ncmsi
između	između	Sg
svih	sav	Agpnpgy
prijavljenih	prijaviti	Agpnpgy
tijela	tijelo	Ncnpg
odgovornih	odgovoran	Agpnpgy
za	za	Sa
ovaj	ovaj	Pd-msan
postupak	postupak	Ncmsan
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
osnovna	osnovan	Agpnpay
obilježja	obilježje	Ncnpa
sigurnosnih	sigurnosni	Agpfpgy
komponenti	komponenta	Ncfpg
za	za	Sa
dizala	dizalo	Ncnpa
.	.	Z

Prijavljeno	prijaviti	Agpnsny
tijelo	tijelo	Ncnsn
mora	morati	Vmr3s
izdati	izdati	Vmn
potvrdu	potvrda	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
s	sa	Si
tipom	tip	Ncmsi
na	na	Sl
temelju	temelj	Ncmsl
provedenih	provesti	Agpmpgy
pregleda	pregled	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
.	.	Z

Prijavljeno	prijaviti	Agpnsny
tijelo	tijelo	Ncnsn
Komisiji	komisija	Ncfsd
i	i	Cc
državama	država	Ncfpl
članicama	članica	Ncfpl
na	na	Sa
zahtjev	zahtjev	Ncmsan
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
primjerak	primjerak	Ncmsan
potvrde	potvrda	Ncfsg
o	o	Sl
sukladnosti	sukladnost	Ncfsl
s	sa	Si
tipom	tip	Ncmsi
.	.	Z

5.	5.	Mdo
Oznaka	oznaka	Ncfsn
CE	CE	Npmsn
i	i	Cc
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl

5.1.	5.1.	Mdo

Proizvođač	proizvođač	Ncmsn
mora	morati	Vmr3s
staviti	staviti	Vmn
oznaku	oznaka	Ncfsa
CE	CE	Npmsn
i	i	Cc
,	,	Z
pod	pod	Si
odgovornošću	odgovornost	Ncfsi
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
,	,	Z
njegov	njegov	Ps3msn
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
na	na	Sa
svaku	svaki	Pi-fsa
pojedinu	pojedini	Agpfsay
sigurnosnu	sigurnosni	Agpfsay
komponentu	komponenta	Ncfsa
za	za	Sa
dizala	dizalo	Ncnpa
koja	koji	Pi-npa
zadovoljava	zadovoljavati	Vmr3s
uvjete	uvjet	Ncmpa
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo

5.2.	5.2.	Mdo

Proizvođač	proizvođač	Ncmsn
mora	morati	Vmr3s
sastaviti	sastaviti	Vmn
pisanu	pisan	Agpfsay
EU	E	Npmsd
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
za	za	Sa
svaku	svaki	Pi-fsa
sigurnosnu	sigurnosni	Agpfsay
komponentu	komponenta	Ncfsa
za	za	Sa
dizala	dizalo	Ncnpa
i	i	Cc
čuvati	čuvati	Vmn
njezin	njezin	Agpmsayn
primjerak	primjerak	Ncmsan
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
nacionalnim	nacionalan	Agpnply
tijelima	tijelo	Ncnpl
tijekom	tijekom	Sg
10	10	Mdc
godina	godina	Ncfpg
od	od	Sg
stavljanja	stavljanje	Ncnsg
sigurnosne	sigurnosni	Agpfsgy
komponente	komponenta	Ncfsg
za	za	Sa
dizala	dizalo	Ncnpa
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

U	u	Sl
EU	E	Npmsl
izjavi	izjava	Ncfsl
o	o	Sl
sukladnosti	sukladnost	Ncfsl
navodi	navoditi	Vmr3s
se	sebe	Px--sa
sigurnosna	sigurnosni	Agpfsny
komponenta	komponenta	Ncfsn
za	za	Sa
dizala	dizalo	Ncnpa
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
ta	taj	Pd-fsn
izjava	izjava	Ncfsn
sastavljena	sastaviti	Appfsny
.	.	Z

6.	6.	Mdo
Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn

Obveze	obveza	Ncfpn
proizvođača	proizvođač	Ncmsg
može	moći	Vmr3s
,	,	Z
u	u	Sa
njegovo	njegov	Agpnsay
ime	ime	Ncnsa
i	i	Cc
na	na	Sa
njegovu	njegov	Ps3fsa
odgovornost	odgovornost	Ncfsa
,	,	Z
ispuniti	ispuniti	Vmn
njegov	njegov	Ps3msn
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
ako	ako	Cs
su	biti	Var3p
one	onaj	Pd-fpn
navedene	navesti	Appfpny
u	u	Sl
ovlaštenju	ovlaštenje	Ncnsl
.	.	Z

Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
ne	ne	Qz
smije	smjeti	Vmr3s
ispuniti	ispuniti	Vmn
obveze	obveza	Ncfpa
proizvođača	proizvođač	Ncmpg
iz	iz	Sg
točke	točka	Ncfsg
2.	2.	Mdo

PRILOG	prilog	Ncmsn
X.	X.	Y

SUKLADNOST	sukladnost	Ncfsn
S	sa	Si
TIPOM	tip	Ncmsi
NA	na	Sl
TEMELJU	temelj	Ncmsl
OSIGURANJA	osiguranje	Ncnsg
KVALITETE	kvaliteta	Ncfsg
PROIZVODA	proizvod	Ncmpg
ZA	za	Sa
DIZALA	dizalo	Ncnpa
(	(	Z
modul	modul	Ncmsan
E	e	X
)	)	Z

1.	1.	Mdo
Sukladnost	sukladnost	Ncfsn
s	sa	Si
tipom	tip	Ncmsi
na	na	Sl
temelju	temelj	Ncmsl
osiguranja	osiguranje	Ncnsg
kvalitete	kvaliteta	Ncfsg
proizvoda	proizvod	Ncmpg
dio	dio	Ncmsn
je	biti	Var3s
postupka	postupak	Ncmsg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
pri	pri	Sl
kojemu	koji	Ncmsl
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
ocjenjuje	ocjenjivati	Vmr3s
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
proizvoda	proizvod	Ncmpg
ugraditelja	ugraditelj	Ncmpg
kako	kako	Cs
bi	biti	Vaa3s
osiguralo	osigurati	Vmp-sn
da	da	Cs
su	biti	Var3p
dizala	dizalo	Ncnpn
sukladna	sukladan	Agpfsny
s	sa	Si
odobrenim	odobren	Agpmsiy
tipom	tip	Ncmsi
opisanim	opisati	Appfply
u	u	Sl
potvrdi	potvrda	Ncfsl
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
ili	ili	Cc
s	sa	Si
dizalom	dizalo	Ncnsi
koje	koji	Pi-nsn
je	biti	Var3s
projektirano	projektirati	Appnsny
i	i	Cc
proizvedeno	proizvesti	Appnsny
primjenjujući	primjenjivati	Rr
potpuni	potpun	Agpmsayn
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
odobren	odobriti	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Prilogom	prilog	Ncmsi
XI	XI	Npmsn
.	.	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
da	da	Cs
zadovoljavaju	zadovoljavati	Vmr3p
primjenjive	primjenjiv	Agpfpny
bitne	bitan	Agpfpny
zdravstvene	zdravstven	Agpmpay
i	i	Cc
sigurnosne	sigurnosni	Agpmpay
zahtjeve	zahtjev	Ncmpa
utvrđene	utvrditi	Appfpny
u	u	Sl
Prilogu	Prilog	Npmsl
I.	ia	Ncfsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

2.	2.	Mdo
Obveze	obveza	Ncfpn
ugraditelja	ugraditelj	Ncmpg

Ugraditelj	ugraditelj	Ncmsn
mora	morati	Vmr3s
provoditi	provoditi	Vmn
odobreni	odobren	Agpmsayn
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
za	za	Sa
završnu	završan	Agpfsay
provjeru	provjera	Ncfsa
i	i	Cc
ispitivanje	ispitivanje	Ncnsa
dizala	dizalo	Ncnsg
kao	kao	Cs
što	što	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
točkom	točka	Ncfsi
3.	3.	Mdo
te	te	Cc
se	sebe	Px--sa
nad	nad	Si
njim	on	Pp3msi
provodi	provoditi	Vmr3s
nadzor	nadzor	Ncmsan
kako	kako	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
točki	točka	Ncfsl
4.	4.	Mdo

3.	3.	Mdo
Sustav	sustav	Ncmsn
kvalitete	kvaliteta	Ncfsg

3.1.	3.1.	Mdo

Ugraditelj	ugraditelj	Ncmsn
mora	morati	Vmr3s
podnijeti	podnijeti	Vmn
