ugašenih	ugasiti	Appmpgy
uvjeta	uvjet	Ncmpg
i	i	Cc
uklanjanje	uklanjanje	Ncnsa
ostatne	ostatni	Agpfsgy
topline	toplina	Ncfsg
iz	iz	Sg
jezgre	jezgra	Ncfsg
i	i	Cc
skladištenje	skladištenje	Ncnsa
istrošenog	istrošiti	Agpnsgy
goriva	gorivo	Ncnsg
te	te	Cc
praćenje	praćenje	Ncnsa
ključnih	ključan	Agpmpgy
parametara	parametar	Ncmpg
postrojenja	postrojenje	Ncnsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
uvjete	uvjet	Ncmpa
pohrane	pohrana	Ncfsg
istrošenog	istrošiti	Agpnsgy
goriva	gorivo	Ncnsg
.	.	Z

1.10	1.1i	Agpnsny
Energetsko	energetski	Agpnsny
napajanje	napajanje	Ncnsn
tijekom	tijekom	Sg
izvanredne	izvanredan	Agpfsgy
situacije	situacija	Ncfsg

Izvor	izvor	Ncmsn
energetskog	energetski	Agpnsgy
napajanja	napajanje	Ncnsg
tijekom	tijekom	Sg
izvanredne	izvanredan	Agpfsgy
situacije	situacija	Ncfsg
treba	trebati	Vmr3s
biti	biti	Van
u	u	Sl
mogućnosti	mogućnost	Ncfsl
opskrbiti	opskrbiti	Vmn
potrebnu	potreban	Agpfsay
energiju	energija	Ncfsa
sigurnosno	sigurnosno	Rgp
vezanom	vezan	Agpmsly
sustavu	sustav	Ncmsl
i	i	Cc
komponentama	komponenta	Ncfpl
u	u	Sl
svim	sav	Agpnply
stanjima	stanje	Ncnpl
postrojenja	postrojenje	Ncnsg
i	i	Cc
tijekom	tijekom	Sg
projektom	projekt	Ncmsi
predviđenog	predvidjeti	Agpmsgy
događaja	događaj	Ncmsg
.	.	Z

Isto	isti	Agpnsny
je	biti	Var3s
potrebno	potreban	Agpnsny
postići	postići	Vmn
u	u	Sl
slučaju	slučaj	Ncmsl
jednostrukog	jednostruk	Agpmsgy
kvara	kvar	Ncmsg
i	i	Cc
ukupnog	ukupan	Agpmsgy
gubitka	gubitak	Ncmsg
vanjskog	vanjski	Agpnsgy
napajanja	napajanje	Ncnsg
.	.	Z

1.11	1.11	Pd-mpn
Sustavi	sustav	Ncmpn
za	za	Sa
rukovanje	rukovanje	Ncnsa
radioaktivnim	radioaktivan	Agpmsiy
otpadom	otpad	Ncmsi

(	(	Z
1	1	Mdc
)	)	Z
Projektom	projekt	Ncmsi
je	biti	Var3s
potrebno	potreban	Agpnsny
omogućiti	omogućiti	Vmn
pohranu	pohrana	Ncfsa
istrošenog	istrošiti	Agpnsgy
goriva	gorivo	Ncnsg
i	i	Cc
procedure	procedura	Ncfpn
uključene	uključiti	Appfpny
u	u	Sa
prijevoz	prijevoz	Ncmsan
gorivih	goriv	Agpmpgy
elemenata	element	Ncmpg
iz	iz	Sg
postrojenja	postrojenje	Ncnsg
.	.	Z

Potrebno	potreban	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
hlađenje	hlađenje	Ncnsa
ozračenog	ozračiti	Agpnsgy
goriva	gorivo	Ncnsg
.	.	Z

U	u	Sl
svakom	svaki	Pi-msl
trenutku	trenutak	Ncmsl
treba	trebati	Vmr3s
biti	biti	Van
dostupna	dostupan	Agpfsny
mogućnost	mogućnost	Ncfsn
uklanjanja	uklanjanje	Ncnsg
cjelokupne	cjelokupan	Agpfsgy
jezgre	jezgra	Ncfsg
iz	iz	Sg
reaktora	reaktor	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Projektom	projekt	Ncmsi
je	biti	Var3s
potrebno	potreban	Agpnsny
osigurati	osigurati	Vmn
skladištenje	skladištenje	Ncnsa
ozračenog	ozračiti	Agpnsgy
goriva	gorivo	Ncnsg
na	na	Sa
duži	dužiti	Vmr3s
vremenski	vremenski	Agpmsayn
period	period	Ncmsan
.	.	Z

Projekt	projekt	Ncmsn
sustava	sustav	Ncmsg
za	za	Sa
rukovanje	rukovanje	Ncnsa
istrošenim	istrošiti	Ncnsg
gorivom	goriv	Agpfsiy
i	i	Cc
radioaktivnim	radioaktivan	Agpmsiy
otpadom	otpad	Ncmsi
treba	trebati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
spriječiti	spriječiti	Vmn
