reosiguranja	reosiguranje	Ncnsg
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
omjer	omjer	Ncmsn
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
1.	1.	Mdo

Oblik	oblik	Ncmsn
i	i	Cc
sadržaj	sadržaj	Ncmsan
izvještaja	izvještaj	Ncmsg
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
ovisno	ovisan	Agpnsny
o	o	Sl
vrsti	vrsta	Ncfsl
poslova	posao	Ncmpg
koje	koji	Pi-mpa
obavlja	obavljati	Vmr3s
sastavljati	sastavljati	Vmn
sljedeće	sljedeći	Agpmpay
izvještaje	izvještaj	Ncmpa
:	:	Z

1.	1.	Mdo
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
životnih	životan	Agpnpgy
osiguranja	osiguranje	Ncnpg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
GS	gs	Ncmsn
–	–	Z
ŽO	ŽO	Npmsn
)	)	Z

2.	2.	Mdo
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
dopunskih	dopunski	Agpnpgy
osiguranja	osiguranje	Ncnpg
uz	uz	Sa
osiguranje	osiguranje	Ncnsa
života	život	Ncmsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
GSDO	GSDO	Npmsn
)	)	Z
:	:	Z

–	–	Z
POM	P	Npmsi
–	–	Z
GSDO	GSDO	Npmsn
Pomoćni	pomoćan	Agpmsny
izvještaj	izvještaj	Ncmsn
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
dopunskih	dopunski	Agpnpgy
osiguranja	osiguranje	Ncnpg
uz	uz	Sa
