hrvatskog	hrvatski	Agpmsgy
državljanina	državljanin	Ncmsg
,	,	Z
koji	koji	Pi-msn
nije	biti	Var3s
državljanin	državljanin	Ncmsn
države	država	Ncfsg
članice	članica	Ncfsg
EGP-a	EGP	Npmsg
,	,	Z
u	u	Sl
Obrascu	obrazac	Ncmsl
4	4	Mdc
b	b	Y
u	u	Sa
rubriku	rubrika	Ncfsa
:	:	Z
»	»	Z
vrsta	vrsta	Ncfsn
dozvole	dozvola	Ncfsg
«	«	Z
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
privremeni	privremen	Agpmsayn
boravak	boravak	Ncmsan
«	«	Z
ako	ako	Cs
mu	on	Pp3msd
je	biti	Var3s
odobren	odobriti	Appmsnn
privremeni	privremen	Agpmsny
boravak	boravak	Ncmsn
,	,	Z
a	a	Cc
ako	ako	Cs
mu	on	Pp3msd
je	biti	Var3s
odobren	odobriti	Appmsnn
stalni	stalan	Agpmsny
boravak	boravak	Ncmsn
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
stalni	stalan	Agpmsayn
boravak	boravak	Ncmsan
«	«	Z
,	,	Z
a	a	Cc
u	u	Sl
rubrici	rubrika	Ncfsl
:	:	Z
»	»	Z
napomene	napomena	Ncfpn
«	«	Z
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
član	član	Ncmsn
obitelji	obitelj	Ncfsg
državljanina	državljanin	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
«	«	Z
.	.	Z

Na	na	Sl
obrascu	obrazac	Ncmsl
4	4	Mdc
b	b	X
,	,	Z
u	u	Sl
donjem	donji	Agpmsly
dijelu	dio	Ncmsl
,	,	Z
upisat	upisati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
engleskom	engleski	Agpmsly
jeziku	jezik	Ncmsl
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
RESIDENCE	RESIDENCE	Xf
CARD	card	Ncmsn
«	«	Z
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

U	u	Sl
članku	članak	Ncmsl
16.	16.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Državljaninu	državljanin	Ncmsl
države	država	Ncfsg
članice	članica	Ncfsg
EGP-a	EGP	Npmsg
i	i	Cc
članu	član	Ncmsl
obitelji	obitelj	Ncfsg
koji	koji	Pi-msn
nije	biti	Var3s
državljanin	državljanin	Ncmsn
države	država	Ncfsg
članice	članica	Ncfsg
EGP-a	EGP	Npmsg
na	na	Sl
stalnom	stalan	Agpmsly
boravku	boravak	Ncmsl
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
boravišna	boravišni	Agpfsny
iskaznica	iskaznica	Ncfsn
s	sa	Si
rokom	rok	Ncmsi
važenja	važenje	Ncnsg
od	od	Sg
10	10	Mdc
godina	godina	Ncfpg
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
3.	3.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

U	u	Sl
članku	članak	Ncmsl
24.	24.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
boravišnim	boravišni	Agpfpiy
iskaznicama	iskaznica	Ncfpi
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
i	i	Cc
zbirku	zbirka	Ncfsa
podataka	podatak	Ncmpg
o	o	Sl
izdanim	izdan	Agpfply
potvrdama	potvrda	Ncfpl
o	o	Sl
prijavi	prijava	Ncfsl
privremenog	privremen	Agpmsgy
boravka	boravak	Ncmsg
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
zbirka	zbirka	Ncfsn
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
zbirke	zbirka	Ncfpn
«	«	Z
,	,	Z
a	a	Cc
riječ	riječ	Ncfsn
»	»	Z
vodi	voditi	Vmr3s
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
vode	voda	Ncfsg
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Zbirka	zbirka	Ncfsn
podataka	podatak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
