Šesti	šesti	Mlomsn
stupac	stupac	Ncmsn
Ukupno	ukupno	Rgp
predstavlja	predstavljati	Vmr3s
zbroj	zbroj	Ncmsan
troškova	trošak	Ncmpg
provođenja	provođenje	Ncnsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
iz	iz	Sg
Izvora	izvor	Ncmsg
1	1	Mdc
,	,	Z
2	2	Mdc
i	i	Cc
8	8	Mdc
te	te	Cc
Ostalih	ostali	Agpmpgy
izvora	izvor	Ncmpg
.	.	Z

Popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sl
četvrti	četvrt	Ncfsl
i	i	Cc
peti	peta	Ncfsl
stupac	stupac	Ncmsn
.	.	Z

Sedmi	sedmi	Mlomsn
stupac	stupac	Ncmsn
Ukupni	ukupan	Agpmsny
trošak	trošak	Ncmsn
provedbe	provedba	Ncfsg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
)	)	Z
predstavlja	predstavljati	Vmr3s
ukupni	ukupan	Agpmsayn
trošak	trošak	Ncmsan
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
)	)	Z
,	,	Z
a	a	Cc
dobiva	dobivati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
zbroj	zbroj	Ncmsn
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
provedbu	provedba	Ncfsa
postojećeg	postojeći	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
3	3	Mdc
)	)	Z
i	i	Cc
procjene	procjena	Ncfpa
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
kao	kao	Cs
rezultata	rezultat	Ncmpg
